ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
8.787,3.225,4.029,0.04436451,0.066080466,0.023181455,0.0,8.5370455,3.0161414,3.7672436,0.24995422,0.20885849,0.26175618,-0.28635624,-0.47531477,-0.642158,2017-01-11 19:37:49,65.26343463429546
8.875,3.186,4.201,0.10205169,-0.121636026,0.014255263,0.0,8.919567,2.8460305,2.9175036,-0.04456711,0.33996964,1.2834966,-0.29732865,-0.5126835,-0.59675837,2017-01-11 19:37:50,68.48439417314053
8.803,3.272,4.35,0.16866507,-0.12057021,0.041699972,0.0,9.161501,2.3895934,2.554826,-0.35850048,0.8824067,1.7951739,-0.2946914,-0.53188074,-0.54755795,2017-01-11 19:37:51,65.03076403526303
8.681,3.261,4.089,0.14321876,-0.066080466,0.09032774,0.0,9.363616,2.1117074,2.008426,-0.68261623,1.1492925,2.0805743,-0.2970748,-0.5561882,-0.5073208,2017-01-11 19:37:52,56.19926345497603
8.624,3.325,4.652,0.083000265,-0.037969623,0.05755396,0.0,9.44535,1.9225007,1.805476,-0.8213501,1.4024993,2.846524,-0.2890195,-0.5695736,-0.47804183,2017-01-11 19:37:53,68.82547105729687
8.684,3.294,4.324,0.075006664,-0.041167066,0.06448175,0.0,9.430999,1.9963574,1.8003286,-0.7469988,1.2976425,2.5236712,-0.27571478,-0.5763594,-0.46849045,2017-01-11 19:37:54,68.86277461013194
8.708,3.294,4.52,0.1031175,-0.08033573,0.08140154,0.0,9.395409,1.9945959,1.9794664,-0.68740845,1.299404,2.5405335,-0.2695867,-0.5713128,-0.46918732,2017-01-11 19:37:55,63.40565240885492
8.787,3.332,4.644,0.14321876,-0.04063416,0.099387154,0.0,9.23927,2.092252,2.5354965,-0.4522705,1.239748,2.1085036,-0.2605334,-0.5503163,-0.48940495,2017-01-11 19:37:56,67.66891613601602
8.605,3.342,4.336,0.10205169,-0.10831335,0.11577405,0.0,9.017462,2.3722677,3.0377803,-0.41246223,0.9697323,1.2982197,-0.25963795,-0.5269767,-0.53057677,2017-01-11 19:37:57,69.99884277305114
8.64,3.318,4.527,0.1120437,-0.109379165,0.058086865,0.0,8.894249,2.5464962,3.2523985,-0.25424862,0.7715039,1.2746015,-0.26120695,-0.5156983,-0.5548251,2017-01-11 19:37:58,64.76313519331299
8.679,3.272,4.053,0.113109514,-0.06767919,0.06927791,0.0,8.727754,2.7498596,3.526326,-0.04875374,0.5221405,0.52667403,-0.25766,-0.50380427,-0.57866186,2017-01-11 19:37:59,62.223113835281
8.396,3.249,4.429,-1.6309619,1.6795896,-0.37223554,0.0,7.870723,3.0035408,5.020045,0.52527714,0.24545932,-0.5910449,-0.24167608,-0.43086147,-0.6677542,2017-01-11 19:38:00,67.12768553919327
8.214,3.356,5.375,0.693312,-0.14481749,0.19504397,0.0,7.1506553,2.4395106,6.2519836,1.0633445,0.91648936,-0.87698364,-0.24562335,-0.34771642,-0.73273426,2017-01-11 19:38:01,66.91297374054015
8.327,3.284,5.846,0.11364242,-0.07340794,0.07607248,0.0,7.6437716,2.9639983,5.38125,0.683228,0.3200016,0.4647503,-0.2423401,-0.4085387,-0.69220877,2017-01-11 19:38:02,66.18094807504556
8.142,3.313,5.308,-0.2897682,0.1882494,0.21569411,0.0,7.735281,3.002214,5.2270966,0.4067192,0.310786,0.08090353,-0.237431,-0.42085484,-0.6769419,2017-01-11 19:38:03,68.93925549448643
