ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
5.8322754,7.2209125,-3.964798,51.0,2017-01-29 09:34:11,NaN
5.8801594,7.2209125,-3.964798,52.0,2017-01-29 09:34:12,NaN
5.93762,7.1826053,-3.9839516,52.0,2017-01-29 09:34:13,NaN
5.9759274,7.1155677,-3.964798,53.0,2017-01-29 09:34:14,NaN
5.985504,7.144298,-3.9935284,54.0,2017-01-29 09:34:15,NaN
5.9759274,7.1347213,-4.012682,52.0,2017-01-29 09:34:16,NaN
6.0046577,7.1251445,-3.964798,52.0,2017-01-29 09:34:17,NaN
6.6175733,7.0485296,-2.1260512,58.0,2017-01-29 09:34:18,NaN
4.3861775,4.367024,8.169016,61.0,2017-01-29 09:34:19,NaN
4.4244847,-0.9768343,7.6231384,57.0,2017-01-29 09:34:20,NaN
7.2687964,1.1971009,6.6750345,63.0,2017-01-29 09:34:21,NaN
-0.38307226,-0.05746084,9.662998,43.0,2017-01-29 09:34:22,NaN
-0.40222588,-0.047884032,9.662998,43.0,2017-01-29 09:34:23,NaN
-0.38307226,-0.05746084,9.662998,44.0,2017-01-29 09:34:24,NaN
-0.37349546,-0.047884032,9.672575,43.0,2017-01-29 09:34:25,NaN
-0.37349546,-0.047884032,9.662998,44.0,2017-01-29 09:34:27,NaN
-0.38307226,-0.047884032,9.653421,43.0,2017-01-29 09:34:28,NaN
-0.37349546,-0.047884032,9.672575,43.0,2017-01-29 09:34:29,NaN
-0.37349546,-0.05746084,9.672575,43.0,2017-01-29 09:34:30,NaN
-0.37349546,-0.038307227,9.662998,43.0,2017-01-29 09:34:31,NaN
-0.37349546,-0.047884032,9.662998,44.0,2017-01-29 09:34:32,NaN
-0.37349546,-0.047884032,9.662998,43.0,2017-01-29 09:34:33,NaN
-0.37349546,-0.047884032,9.682152,43.0,2017-01-29 09:34:34,NaN
-0.38307226,-0.038307227,9.662998,43.0,2017-01-29 09:34:35,NaN
-0.38307226,-0.047884032,9.653421,43.0,2017-01-29 09:34:36,NaN
-0.36391866,-0.038307227,9.662998,45.0,2017-01-29 09:34:37,NaN
-0.38307226,-0.05746084,9.672575,45.0,2017-01-29 09:34:38,NaN
-0.40222588,-0.05746084,9.672575,44.0,2017-01-29 09:34:39,NaN
-0.41180268,-0.076614454,9.662998,45.0,2017-01-29 09:34:40,NaN
-0.41180268,-0.076614454,9.672575,44.0,2017-01-29 09:34:41,NaN
-0.41180268,-0.06703765,9.682152,45.0,2017-01-29 09:34:42,NaN
-0.41180268,-0.076614454,9.672575,45.0,2017-01-29 09:34:43,NaN
-0.41180268,-0.05746084,9.662998,45.0,2017-01-29 09:34:44,NaN
-0.40222588,-0.05746084,9.672575,45.0,2017-01-29 09:34:45,NaN
-0.39264908,-0.076614454,9.672575,46.0,2017-01-29 09:34:46,NaN
-0.39264908,-0.047884032,9.653421,45.0,2017-01-29 09:34:47,NaN
-0.41180268,-0.06703765,9.672575,46.0,2017-01-29 09:34:48,NaN
-0.40222588,-0.05746084,9.672575,45.0,2017-01-29 09:34:49,NaN
-0.40222588,-0.06703765,9.672575,44.0,2017-01-29 09:34:50,NaN
-0.41180268,-0.06703765,9.672575,44.0,2017-01-29 09:34:51,NaN
-0.40222588,-0.05746084,9.653421,43.0,2017-01-29 09:34:52,NaN
-0.41180268,-0.06703765,9.662998,43.0,2017-01-29 09:34:53,NaN
-0.41180268,-0.06703765,9.662998,44.0,2017-01-29 09:34:55,NaN
-0.40222588,-0.06703765,9.672575,43.0,2017-01-29 09:34:56,NaN
-0.41180268,-0.06703765,9.682152,46.0,2017-01-29 09:34:57,NaN
-0.41180268,-0.05746084,9.672575,52.0,2017-01-29 09:34:58,NaN
-0.41180268,-0.05746084,9.672575,54.0,2017-01-29 09:34:59,NaN
-0.41180268,-0.05746084,9.672575,54.0,2017-01-29 09:35:00,NaN
-0.41180268,-0.05746084,9.672575,54.0,2017-01-29 09:35:01,NaN
-0.40222588,-0.06703765,9.662998,55.0,2017-01-29 09:35:02,NaN
-0.40222588,-0.047884032,9.662998,59.0,2017-01-29 09:35:03,NaN
-0.40222588,-0.05746084,9.672575,59.0,2017-01-29 09:35:04,NaN
-0.41180268,-0.06703765,9.672575,58.0,2017-01-29 09:35:05,NaN
-0.40222588,-0.06703765,9.672575,64.0,2017-01-29 09:35:06,NaN
-0.40222588,-0.05746084,9.662998,64.0,2017-01-29 09:35:07,NaN
-0.41180268,-0.06703765,9.662998,71.0,2017-01-29 09:35:08,NaN
-0.40222588,-0.06703765,9.672575,71.0,2017-01-29 09:35:09,NaN
-0.41180268,-0.06703765,9.672575,74.0,2017-01-29 09:35:10,NaN
-0.40222588,-0.06703765,9.682152,98.0,2017-01-29 09:35:11,NaN
-0.39264908,-0.06703765,9.672575,100.0,2017-01-29 09:35:12,NaN
-0.41180268,-0.05746084,9.672575,102.0,2017-01-29 09:35:13,NaN
-0.40222588,-0.06703765,9.662998,100.0,2017-01-29 09:35:14,NaN
-0.39264908,-0.05746084,9.662998,102.0,2017-01-29 09:35:15,NaN
-0.40222588,-0.05746084,9.662998,101.0,2017-01-29 09:35:16,NaN
-0.40222588,-0.05746084,9.662998,102.0,2017-01-29 09:35:17,NaN
-0.40222588,-0.06703765,9.662998,102.0,2017-01-29 09:35:18,NaN
-0.39264908,-0.047884032,9.662998,100.0,2017-01-29 09:35:19,NaN
-0.41180268,-0.06703765,9.662998,102.0,2017-01-29 09:35:20,NaN
-0.40222588,-0.05746084,9.682152,99.0,2017-01-29 09:35:21,NaN
-0.4213795,-0.06703765,9.691729,96.0,2017-01-29 09:35:22,NaN
-0.40222588,-0.06703765,9.691729,96.0,2017-01-29 09:35:23,NaN
-0.4213795,-0.08619126,9.682152,94.0,2017-01-29 09:35:24,NaN
-0.41180268,-0.06703765,9.672575,94.0,2017-01-29 09:35:25,NaN
-0.41180268,-0.06703765,9.691729,93.0,2017-01-29 09:35:26,NaN
-0.40222588,-0.06703765,9.672575,93.0,2017-01-29 09:35:28,NaN
-0.41180268,-0.05746084,9.672575,95.0,2017-01-29 09:35:29,NaN
-0.40222588,-0.047884032,9.662998,95.0,2017-01-29 09:35:30,NaN
-0.41180268,-0.076614454,9.672575,94.0,2017-01-29 09:35:31,NaN
-0.40222588,-0.06703765,9.682152,94.0,2017-01-29 09:35:32,NaN
-0.40222588,-0.076614454,9.672575,92.0,2017-01-29 09:35:33,NaN
-0.4213795,-0.06703765,9.682152,90.0,2017-01-29 09:35:34,NaN
-0.41180268,-0.076614454,9.691729,90.0,2017-01-29 09:35:35,NaN
-0.41180268,-0.05746084,9.672575,91.0,2017-01-29 09:35:36,NaN
-0.4213795,-0.076614454,9.672575,92.0,2017-01-29 09:35:37,NaN
-0.41180268,-0.076614454,9.682152,93.0,2017-01-29 09:35:38,NaN
-0.4213795,-0.076614454,9.682152,95.0,2017-01-29 09:35:39,NaN
-0.4309563,-0.076614454,9.691729,94.0,2017-01-29 09:35:40,NaN
-0.41180268,-0.076614454,9.682152,91.0,2017-01-29 09:35:41,NaN
-0.41180268,-0.05746084,9.672575,93.0,2017-01-29 09:35:42,NaN
-0.40222588,-0.05746084,9.662998,90.0,2017-01-29 09:35:43,NaN
