ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.141,3.102,9.921,285.0,2017-06-17 08:19:58,53.1312420146988
3.601,2.796,9.232,361.0,2017-06-17 08:19:59,41.182952497191046
3.447,2.873,9.692,358.0,2017-06-17 08:20:00,40.41419345795336
3.332,2.911,8.925,356.0,2017-06-17 08:20:01,42.04726217090852
3.371,2.949,9.692,355.0,2017-06-17 08:20:02,47.1948053954042
3.371,2.988,9.653,352.0,2017-06-17 08:20:03,40.60842071060335
3.256,3.102,9.768,345.0,2017-06-17 08:20:04,40.19597222897272
3.141,3.179,9.577,342.0,2017-06-17 08:20:05,42.69018979045424
3.639,3.294,10.113,345.0,2017-06-17 08:20:06,41.820115833940136
4.75,2.49,8.925,376.0,2017-06-17 08:20:07,40.725423707136926
0.076,-4.75,7.929,341.0,2017-06-17 08:20:08,38.115282393602136
4.328,-6.014,6.818,142.0,2017-06-17 08:20:09,50.248954735155394
0.536,-0.498,12.526,353.0,2017-06-17 08:20:10,38.98330714121592
1.57,1.225,9.845,154.0,2017-06-17 08:20:11,36.204978773020656
1.494,0.919,9.96,145.0,2017-06-17 08:20:12,37.23959828445965
1.494,-0.383,9.845,148.0,2017-06-17 08:20:13,36.43413685008011
0.804,-3.486,9.96,440.0,2017-06-17 08:20:14,36.67301521745987
0.727,-3.409,10.036,378.0,2017-06-17 08:20:15,49.03824281524049
2.26,-1.302,9.807,362.0,2017-06-17 08:20:16,37.518110282698174
2.221,1.225,10.266,141.0,2017-06-17 08:20:17,45.04469853642118
1.225,1.264,10.611,115.0,2017-06-17 08:20:19,36.8095871094569
0.383,2.988,9.385,115.0,2017-06-17 08:20:20,40.72391545676059
5.248,3.256,7.47,248.0,2017-06-17 08:20:21,39.185860183371595
2.451,-3.677,8.159,145.0,2017-06-17 08:20:22,42.9855644579109
-0.114,-0.191,8.466,10.0,2017-06-17 08:20:23,49.06153731333346
0.114,0.076,10.381,20.0,2017-06-17 08:20:24,64.45121568109639
