ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
7.9609957,5.5408964,-2.9212468,1973.0,6.6476436,6.660758,-2.7592614,0.90093184,-0.917562,-0.13478494,0.7500903,0.2793703,0.54489887,2017-07-09 18:25:22,25.79683583082793
7.5999117,-4.3309755,-4.536113,1999.0,8.482858,-3.0972857,-3.8233929,-0.6125088,-1.4146965,-1.3416941,-0.8233667,0.028148832,-0.546354,2017-07-09 18:25:23,45.88521861954841
6.9212465,-5.4548464,-4.8154473,1087.0,6.4396133,-5.2654147,-5.1939554,0.030222893,-0.117549896,0.0906024,-0.8661621,0.10878879,-0.41354173,2017-07-09 18:25:24,42.922259840655116
6.903287,-5.415143,-4.957468,1030.0,6.558218,-5.288928,-5.0187054,0.015381813,0.034902573,-0.091594696,-0.82767314,0.26466197,-0.4614167,2017-07-09 18:25:25,19.133004725096775
7.1235323,-5.4217653,-4.7279787,1109.0,6.7175145,-5.2633653,-4.8313947,0.031977654,0.0112781525,-0.003572464,-0.80254483,0.31977236,-0.48327392,2017-07-09 18:25:26,53.707874265754256
7.1887484,-5.350873,-4.6377015,1063.0,6.7639446,-5.2376103,-4.7944636,3.13282E-4,0.012872696,0.0641098,-0.7992877,0.32596925,-0.48595566,2017-07-09 18:25:27,44.78303639044655
7.1102877,-5.4293184,-4.722346,1099.0,6.778759,-5.2507615,-4.7590246,-0.026284218,-0.0036811829,-0.048984528,-0.79780984,0.32579467,-0.4887402,2017-07-09 18:25:28,7.501225267834001
7.115018,-5.3433046,-4.8220367,1072.0,6.793676,-5.214605,-4.7774734,-0.024974823,0.0054569244,-0.10624838,-0.80073833,0.31642154,-0.48901674,2017-07-09 18:25:29,43.162458881610846
6.4845552,-5.712888,-5.125816,1120.0,6.576946,-5.6392927,-4.594839,-0.33857727,0.05702591,-0.5123925,-0.8030806,0.29888645,-0.48379207,2017-07-09 18:25:30,34.39258906852106
6.812543,-5.4349947,-5.0816183,1217.0,6.4019847,-5.359649,-5.143845,0.041847706,0.08828735,-0.04620123,-0.8196896,0.30061963,-0.4587711,2017-07-09 18:25:31,46.898154763213014
6.7917604,-5.2865877,-5.292281,1278.0,6.3840127,-5.2023644,-5.324488,0.030722618,0.07679415,-0.068927765,-0.8154936,0.3246635,-0.4565642,2017-07-09 18:25:32,37.19517857813213
6.967557,-5.346143,-4.9706316,1245.0,6.5220175,-5.197674,-5.1592503,0.009540558,-0.024969578,0.038393974,-0.80852914,0.3293265,-0.46810815,2017-07-09 18:25:33,33.73286213668768
6.8796663,-5.110791,-5.377882,1221.0,6.5163093,-5.0680118,-5.2937093,-0.01717329,0.13790798,-0.20327806,-0.8137097,0.32829952,-0.46132743,2017-07-09 18:25:34,51.02065237421517
6.7662325,-5.9492006,-4.447703,1220.0,6.445722,-5.5239224,-4.9101257,0.02403593,-0.29689312,0.42428875,-0.7952069,0.33794662,-0.47901797,2017-07-09 18:25:35,39.047300801091794
6.8257875,-5.8206453,-4.533289,1315.0,6.489031,-5.5559325,-4.816065,0.04605007,-0.0654459,0.121763706,-0.8087087,0.30255762,-0.47383305,2017-07-09 18:25:36,42.393014346992274
6.376813,-5.93974,-5.1878986,1283.0,6.09333,-5.4955835,-5.3703146,-0.059041023,-0.22620869,0.05026722,-0.8183189,0.32274452,-0.44540897,2017-07-09 18:25:37,50.25431180576004
6.114972,-6.335782,-4.851188,1362.0,5.8279004,-5.9902067,-5.1306324,-0.06830168,-0.2122488,0.16607475,-0.80572474,0.3352567,-0.4488059,2017-07-09 18:25:38,46.415606292357594
6.507245,-5.8263063,-5.031773,1351.0,6.079869,-5.8143024,-5.039789,-0.034780502,0.08273554,-0.16659641,-0.80557364,0.33040896,-0.4585472,2017-07-09 18:25:39,38.98822588757269
6.317258,-5.6769686,-5.346848,1258.0,6.000899,-5.577528,-5.3898773,-0.04204464,0.04904461,-0.09594107,-0.81295484,0.337508,-0.44489902,2017-07-09 18:25:40,40.88760270624432
6.4533663,-5.565442,-5.4296103,1222.0,6.0296836,-5.5330043,-5.4036255,0.02692318,-0.2612195,0.39866114,-0.80828315,0.35198647,-0.44687483,2017-07-09 18:25:41,36.77375231074067
6.357892,-5.481305,-5.6449943,1214.0,6.0489016,-5.7370443,-5.1640587,0.027585506,0.1712408,-0.33763552,-0.79563963,0.34877837,-0.46449468,2017-07-09 18:25:42,38.264121411524584
6.606488,-6.15051,-4.476869,1348.0,6.3733854,-5.766785,-4.721709,-0.08851957,-0.18827105,0.0941906,-0.797906,0.32262394,-0.47809014,2017-07-09 18:25:43,49.89536245237502
6.6339083,-6.050336,-4.5238905,1321.0,6.356009,-5.8621607,-4.6267276,0.02286148,-0.061792374,0.15792084,-0.80596966,0.2931774,-0.4750039,2017-07-09 18:25:44,40.68261427515425
6.286069,-5.8225374,-5.120183,1213.0,5.994188,-5.656977,-5.3140106,-0.051267624,-0.03950405,0.07771635,-0.810012,0.33885062,-0.44787952,2017-07-09 18:25:45,37.52656346714914
6.440137,-6.2318087,-4.4749866,1351.0,6.0857434,-6.0016584,-4.8077245,0.056356907,-0.13865185,0.2543397,-0.80566794,0.30645406,-0.4635614,2017-07-09 18:25:46,32.834344512853406
6.3909883,-6.327283,-4.4740453,1408.0,6.0271044,-6.209109,-4.6142573,0.008327484,0.00889349,0.011030674,-0.79673,0.31699052,-0.46947137,2017-07-09 18:25:47,38.73761685186996
6.3919344,-6.2516603,-4.524832,1381.0,6.026706,-6.1279182,-4.7220573,0.051976204,0.0018715858,0.10115814,-0.8019391,0.31249264,-0.4644584,2017-07-09 18:25:48,38.17499055265448
6.445813,-6.209134,-4.587841,1384.0,6.0765815,-6.1155777,-4.673891,0.019017696,0.027227879,-0.041445732,-0.8012373,0.3095089,-0.46732244,2017-07-09 18:25:49,38.07382055230638
6.419339,-6.1287813,-4.7129326,1368.0,6.080013,-6.009216,-4.8055344,-0.014609337,0.016156673,-0.02857542,-0.8050079,0.31141028,-0.46302384,2017-07-09 18:25:50,44.62411428996903
6.477948,-6.0465517,-4.7580867,1326.0,6.103883,-5.9306455,-4.8724165,0.014375687,0.018300533,-0.0050935745,-0.79843235,0.33306143,-0.46656963,2017-07-09 18:25:51,49.10033033157202
6.4978,-6.0437136,-4.748673,1322.0,6.1406717,-5.908511,-4.853044,-0.04203987,-0.094184875,0.07504797,-0.79750514,0.3334153,-0.4687071,2017-07-09 18:25:52,44.67602695365269
6.6688814,-5.8310366,-4.7862964,1257.0,6.2967935,-5.7151666,-4.884429,0.017029285,0.029395103,-0.025537014,-0.8065424,0.31388837,-0.46780467,2017-07-09 18:25:53,43.164923454795655
6.715192,-5.5455904,-5.0327144,1286.0,6.3191886,-5.509199,-5.0879235,0.028978348,0.08513355,-0.052903175,-0.8122692,0.31564325,-0.46136424,2017-07-09 18:25:54,39.68226177772409
6.570569,-5.6401186,-5.157791,1249.0,6.2476473,-5.475832,-5.210811,-0.02575016,-0.008918285,-0.06092024,-0.80969,0.33178243,-0.45782986,2017-07-09 18:25:55,38.81571517278601
6.592313,-5.5805635,-5.155908,1246.0,6.2038393,-5.4804425,-5.2580905,0.013418198,-0.008578777,0.017442226,-0.8096021,0.33605474,-0.4555357,2017-07-09 18:25:56,6.846209780269678
6.692502,-5.5796175,-5.072205,1233.0,6.2670226,-5.426322,-5.2392597,0.05807638,0.052310467,-0.005188942,-0.81002355,0.33433205,-0.45671564,2017-07-09 18:25:57,32.304026154539244
6.80972,-5.447278,-5.0703225,1195.0,6.435849,-5.319955,-5.142792,0.010632992,0.034365177,-0.042269707,-0.80870783,0.3289393,-0.46521226,2017-07-09 18:25:58,38.651509083478224
7.0119905,-5.4926577,-4.704476,1158.0,6.6354914,-5.305259,-4.8984556,0.11355209,0.16143465,-0.054368973,-0.8083632,0.31206825,-0.47603637,2017-07-09 18:25:59,36.03647351113219
6.972287,-5.503049,-4.788179,1137.0,6.6579757,-5.30118,-4.8722925,-0.032110214,-0.03558731,-0.025382519,-0.80337614,0.3209432,-0.48029596,2017-07-09 18:26:00,44.4580486244747
7.0696535,-5.4236574,-4.750556,1285.0,6.6834817,-5.2584877,-4.883622,0.029557228,0.023992538,0.023190498,-0.8070835,0.31312302,-0.47862726,2017-07-09 18:26:01,23.522699713887597
6.9420443,-5.55882,-4.7514973,1291.0,6.575589,-5.3740654,-4.9042263,-4.1675568E-4,0.005783081,-6.046295E-4,-0.809449,0.30878937,-0.47405118,2017-07-09 18:26:02,-9.549216252648119
6.9845705,-5.4539003,-4.802284,1280.0,6.61092,-5.3230295,-4.9123807,-0.011936665,-0.028825283,0.004541874,-0.81109256,0.30418804,-0.47420624,2017-07-09 18:26:03,30.22704743836677
6.993085,-5.4973726,-4.7214046,1278.0,6.645866,-5.3417177,-4.844472,0.0013456345,-0.022970676,-0.012495995,-0.8055201,0.3133455,-0.4795773,2017-07-09 18:26:04,45.87751958743789
7.0403566,-5.476575,-4.7072997,1262.0,6.644784,-5.30377,-4.8874593,0.04873371,0.051439285,-0.031509876,-0.8059479,0.3144487,-0.47897962,2017-07-09 18:26:05,43.86000930239071
6.9741793,-5.5295076,-4.7552624,1252.0,6.662219,-5.3006096,-4.8671107,-0.03913021,-0.047733307,0.001844883,-0.80531186,0.31563643,-0.47964728,2017-07-09 18:26:06,43.38798390797153
7.0422487,-5.4642916,-4.7298617,1254.0,6.683722,-5.291181,-4.84785,-0.0035042763,-0.0017333031,0.0036153793,-0.8065836,0.3107965,-0.48008877,2017-07-09 18:26:07,43.64554542155925
7.0441256,-5.4255495,-4.8107557,1255.0,6.741305,-5.2320337,-4.832289,-0.04569769,-0.020731926,-0.071000576,-0.8065401,0.30963087,-0.48207942,2017-07-09 18:26:08,39.58325006336961
7.1377077,-5.381116,-4.706343,1245.0,6.72762,-5.235578,-4.8474984,0.041115284,0.028192997,0.029524326,-0.8018446,0.3227985,-0.4834496,2017-07-09 18:26:09,35.954662528189175
