ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.4816465,-1.7001824,7.1191587,-2.208027,-1.0438592,-2.073737,29.0,5.228338,1.9207484,8.071154,-0.74669164,-3.620931,-0.9519945,-0.022366833,-0.29661757,-0.39569125,2017-10-30 02:07:55,-Infinity
2.5758617,-0.38576576,9.601946,0.0022335933,0.012708871,0.0023379892,35.0,3.5697548,0.46013564,9.122208,-0.99389297,-0.84590137,0.47973818,-0.012281343,-0.18640232,-0.18940769,2017-10-30 02:07:56,-Infinity
2.4058735,-0.40252516,9.54209,0.0042509376,0.0073311497,0.004353203,38.0,3.1630397,0.23193829,9.279477,-0.75716627,-0.6344634,0.262614,-0.019176796,-0.16279817,-0.18676405,2017-10-30 02:07:58,-Infinity
2.4058735,-0.41689038,9.616311,-1.704423E-5,0.0051974254,0.0022154837,39.0,2.8877065,0.06658874,9.371504,-0.4818331,-0.4834791,0.24480712,-0.02439962,-0.14692298,-0.18448298,2017-10-30 02:07:59,-Infinity
2.3364415,-0.39294836,9.680955,-0.0010543455,0.002014415,0.0011787151,39.0,2.692579,-0.048482586,9.4295635,-0.3561375,-0.34446576,0.25139117,-0.02799302,-0.13579002,-0.18250494,2017-10-30 02:08:00,-Infinity
2.3124995,-0.39773676,9.712079,0.0018309233,-0.002130529,-1.6644757E-4,39.0,2.5659857,-0.1340753,9.46398,-0.2534861,-0.26366147,0.24809915,-0.030893171,-0.12850988,-0.18110688,2017-10-30 02:08:01,-Infinity
2.269404,-0.35942954,9.652225,-0.00136487,-0.002130529,-0.0012317119,39.0,2.491466,-0.20635025,9.482535,-0.2220622,-0.15307927,0.16968904,-0.033730023,-0.1240304,-0.18039592,2017-10-30 02:08:02,-Infinity
2.2670097,-0.38576576,9.642648,4.3276369E-4,-6.9907977E-4,3.9947417E-4,39.0,2.4322097,-0.25573066,9.496751,-0.16519992,-0.13003507,0.14589667,-0.0356033,-0.12054242,-0.18003492,2017-10-30 02:08:04,-Infinity
2.257433,-0.36182374,9.700109,-0.0012650015,0.0022636869,-0.0017310547,39.0,2.3662195,-0.2995745,9.512013,-0.10878654,-0.062249243,0.18809447,-0.037128866,-0.11677554,-0.17955695,2017-10-30 02:08:05,-Infinity
2.245462,-0.3522469,9.594764,8.6552737E-4,0.0011984225,-6.657903E-4,39.0,2.3258173,-0.31827918,9.5214405,-0.08035539,-0.033967737,0.07332243,-0.037625812,-0.11454837,-0.17909162,2017-10-30 02:08:06,-Infinity
