ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.992,0.155,11.824,-0.4636291,-2.6213696,0.31841195,24.0,5.468,0.995,8.079,-0.006,-0.045,0.282,-0.248277,-0.162526,-0.879738,2016-11-06 12:17:46,46.53659951470636
3.972,0.587,8.901,0.0762057,-0.1254996,-0.002664535,122.0,4.055,0.746,8.897,-0.054,-0.14,0.072,-0.187128,-0.106455,-0.922209,2016-11-06 12:17:47,75.27190567937366
4.276,0.999,8.627,0.08473221,0.03557154,-0.018651744,146.0,4.338,1.075,8.728,-0.082,-0.135,-0.19,-0.190958,-0.136015,-0.90428,2016-11-06 12:17:48,75.90908005532182
4.227,0.626,8.725,0.015054623,-0.18531841,-0.016120438,146.0,4.325,0.927,8.752,-0.046,0.061,-0.194,-0.191447,-0.130797,-0.900421,2016-11-06 12:17:49,70.72344975885494
3.972,0.685,8.99,0.038369305,0.33986145,-0.060085267,26.0,3.866,1.03,8.952,0.065,-0.012,-0.041,-0.155437,-0.139149,-0.872046,2016-11-06 12:17:50,73.2158831793863
3.579,0.636,9.166,0.16293631,0.10644817,0.061817214,129.0,4.102,0.43,8.896,-0.477,0.145,0.251,-0.188382,-0.104371,-0.898911,2016-11-06 12:17:51,76.23689471465808
3.648,0.587,8.99,-0.004263256,-0.0094591,-0.016120438,129.0,3.781,0.602,9.027,-0.153,-0.045,-0.057,-0.168536,-0.106272,-0.900838,2016-11-06 12:17:52,77.51113645397507
3.736,0.44,8.911,0.008926192,0.03690381,-0.0075939246,127.0,3.87,0.575,8.992,-0.134,-0.165,-0.13,-0.173465,-0.106969,-0.899813,2016-11-06 12:17:53,63.06839391710162
4.168,0.351,8.95,0.15067945,0.08326672,-0.012523315,85.0,4.242,0.349,8.834,0.062,-0.497,0.919,-0.196942,-0.103804,-0.896888,2016-11-06 12:17:54,78.1490390289151
4.266,0.106,8.705,-0.011590728,1.3322676E-4,7.993605E-4,24.0,4.283,0.263,8.817,-0.076,-0.352,0.064,-0.201015,-0.100086,-0.897335,2016-11-06 12:17:55,78.06797079596939
2.481,0.45,8.725,-0.7140954,-0.74127364,0.016653344,45.0,3.245,1.471,9.136,-1.696,-0.766,-0.882,-0.117668,-0.142621,-0.882688,2016-11-06 12:17:56,74.09477728160051
4.58,2.274,8.234,0.23128164,-0.23301359,0.023980815,18.0,4.372,2.69,8.355,0.011,-0.152,0.084,-0.142758,-0.231547,-0.859346,2016-11-06 12:17:57,69.36666661469825
4.246,1.832,8.509,-0.27058354,-0.060751397,-0.016120438,24.0,4.24,2.569,8.461,0.02,-0.609,0.002,-0.139149,-0.221901,-0.862195,2016-11-06 12:17:58,72.61417893557903
3.942,1.803,8.882,-0.12030376,-0.044897415,-0.019850787,21.0,3.939,2.327,8.673,-0.085,-0.612,-0.046,-0.130808,-0.201607,-0.869118,2016-11-06 12:17:59,69.65222434366906
4.001,1.548,8.725,0.0065281107,-0.006927791,-0.011324274,37.0,3.904,2.147,8.735,0.184,-0.53,-0.04,-0.133096,-0.192047,-0.870419,2016-11-06 12:18:00,68.78758173843664
4.158,1.607,8.636,0.041966427,-9.3258725E-4,-0.006394884,45.0,4.118,2.185,8.627,0.078,-0.549,0.018,-0.141543,-0.200261,-0.865371,2016-11-06 12:18:01,73.02769364551332
4.168,1.744,8.764,-0.005462297,0.002664535,-0.0039968025,45.0,4.06,2.306,8.623,0.109,-0.562,0.139,-0.13471,-0.205372,-0.862601,2016-11-06 12:18:02,70.08229414156486
4.031,1.823,8.636,0.07007727,-9.3258725E-4,-0.0137223555,37.0,3.833,2.424,8.694,0.157,-0.533,0.118,-0.121298,-0.204905,-0.86483,2016-11-06 12:18:03,73.73723124264399
4.05,1.881,8.676,-0.047029044,0.018518519,-0.006394884,39.0,3.858,2.523,8.655,0.2,-0.619,0.009,-0.119435,-0.210763,-0.862322,2016-11-06 12:18:04,73.06395711421919
4.129,1.881,8.45,0.17266187,-0.054622967,-0.016120438,75.0,3.895,2.558,8.628,0.174,-0.726,-0.011,-0.120232,-0.213577,-0.861345,2016-11-06 12:18:05,72.57880113410008
4.187,1.126,8.774,-0.25472954,0.03810285,-0.014921396,26.0,3.931,2.107,8.733,0.354,-0.432,0.03,-0.133055,-0.192419,-0.865193,2016-11-06 12:18:06,73.0233691308279
3.952,0.469,9.019,-0.011590728,0.25179857,-0.018651744,21.0,3.746,1.424,8.95,0.274,-0.612,-0.098,-0.14272,-0.152648,-0.878111,2016-11-06 12:18:07,73.17008869903063
3.579,0.616,8.99,0.00532907,0.04423128,-0.03690381,24.0,3.444,1.465,9.064,0.252,-0.672,0.003,-0.127045,-0.147368,-0.880258,2016-11-06 12:18:08,66.1431544868851
3.128,0.744,9.303,-0.009192646,-0.06927791,0.0019984012,21.0,2.772,1.608,9.267,0.306,-0.864,-0.13,-0.091819,-0.137973,-0.884565,2016-11-06 12:18:09,46.858978550758565
3.383,1.273,9.009,0.01638689,0.07474021,-0.029576339,24.0,3.02,2.181,9.071,0.372,-0.937,-0.023,-0.09023,-0.171321,-0.878789,2016-11-06 12:18:10,46.33476671510762
3.217,1.313,9.097,0.01638689,-0.002131628,-0.002664535,24.0,2.849,2.278,9.102,0.386,-0.956,-0.024,-0.079744,-0.171812,-0.879067,2016-11-06 12:18:11,80.16152164025402
3.285,1.322,9.039,0.018784972,-0.022915002,0.003197442,24.0,2.889,2.248,9.097,0.317,-0.994,-0.029,-0.08215,-0.171478,-0.878433,2016-11-06 12:18:12,72.19162939539544
3.334,1.342,9.029,3.9968026E-4,0.024646949,-0.008792966,24.0,2.95,2.305,9.063,0.383,-0.983,-0.044,-0.08339,-0.175875,-0.876823,2016-11-06 12:18:13,69.86027739004193
3.069,1.352,9.166,-0.02504663,-0.003330669,-2.664535E-4,29.0,2.596,2.388,9.149,0.404,-0.938,-0.012,-0.065136,-0.170999,-0.879512,2016-11-06 12:18:14,77.74226425438037
3.011,1.509,9.254,0.05169198,-0.0094591,-0.027178258,29.0,2.539,2.365,9.171,0.294,-0.994,0.19,-0.063465,-0.168333,-0.881281,2016-11-06 12:18:15,79.58786156453701
2.971,1.313,9.156,0.022382094,0.01971756,-0.023447908,29.0,2.546,2.418,9.156,0.522,-1.007,-0.019,-0.06317,-0.170811,-0.882358,2016-11-06 12:18:16,79.28875548832157
2.971,1.381,9.205,-0.017719159,0.002664535,-0.006394884,29.0,2.523,2.446,9.155,0.457,-1.075,0.01,-0.061841,-0.171439,-0.883277,2016-11-06 12:18:17,80.29167492030255
2.932,1.391,9.274,0.015054623,0.02584599,-0.0051958435,29.0,2.508,2.38,9.176,0.433,-1.116,0.028,-0.06285,-0.167851,-0.884461,2016-11-06 12:18:18,78.76949999705624
2.962,1.411,9.137,0.001598721,1.3322676E-4,-0.008792966,29.0,2.506,2.441,9.161,0.415,-1.001,0.033,-0.061515,-0.17066,-0.884443,2016-11-06 12:18:19,78.81048842283155
2.971,1.352,9.186,-0.009192646,0.023980815,-0.0027977617,26.0,2.535,2.317,9.185,0.386,-0.975,-0.048,-0.065821,-0.165397,-0.885399,2016-11-06 12:18:20,71.81139690563222
2.971,1.44,9.421,0.013855582,-2.664535E-4,-0.001598721,29.0,2.56,2.231,9.199,0.263,-1.124,-0.445,-0.068769,-0.161924,-0.885464,2016-11-06 12:18:21,65.26577461963346
3.011,1.411,9.235,-5.32907E-4,-0.04276579,0.013056221,24.0,2.613,2.236,9.183,0.416,-0.796,-0.027,-0.070767,-0.163569,-0.884015,2016-11-06 12:18:22,51.19377351146849
3.638,1.411,8.754,-0.050626166,0.10125233,0.0019984012,24.0,3.151,2.055,9.055,0.408,-0.772,-0.095,-0.101563,-0.1672,-0.884315,2016-11-06 12:18:23,72.62911030278669
3.315,1.352,9.137,-0.03117506,-0.028110845,0.008126832,26.0,2.748,1.959,9.207,0.409,-0.627,-0.002,-0.084551,-0.152954,-0.888099,2016-11-06 12:18:24,76.30038324910515
3.226,1.313,9.068,-0.001065814,-0.005861977,0.002664535,26.0,2.672,1.859,9.25,0.552,-0.542,-0.182,-0.083332,-0.146312,-0.889644,2016-11-06 12:18:25,70.92535690807587
3.197,1.322,9.097,-6.6613377E-4,-0.0051958435,0.0013322675,26.0,2.749,1.781,9.243,0.447,-0.478,-0.146,-0.088513,-0.144549,-0.888877,2016-11-06 12:18:26,75.87454295690227
3.246,1.332,9.039,9.3258725E-4,0.012523315,-9.3258725E-4,26.0,2.825,1.728,9.23,0.44,-0.435,-0.211,-0.093033,-0.143993,-0.887938,2016-11-06 12:18:27,75.43191581850012
3.305,1.214,9.195,0.04156675,-0.124966696,0.028910205,26.0,2.886,1.592,9.236,0.372,-0.374,-0.027,-0.098847,-0.139,-0.887928,2016-11-06 12:18:28,72.47805557048783
3.727,-0.235,9.078,0.22475353,-0.13602452,0.011723954,26.0,3.188,-0.126,9.272,0.361,-0.559,-0.126,-0.151842,-0.064523,-0.89171,2016-11-06 12:18:29,72.05788767695654
4.884,0.342,8.352,0.0061284304,-0.15067945,0.017852385,24.0,4.629,0.84,8.604,0.313,-0.557,-0.33,-0.203875,-0.140498,-0.883114,2016-11-06 12:18:30,75.86721172948755
4.129,-0.166,8.45,-0.09392486,0.11910471,0.05702105,102.0,3.952,0.213,8.972,0.45,-0.37,-0.522,-0.181266,-0.098413,-0.883851,2016-11-06 12:18:31,71.14038800801464
3.854,-0.676,8.931,0.024380496,0.064215295,0.10711431,13.0,3.258,-0.58,9.23,0.242,-0.213,-0.446,-0.165371,-0.044727,-0.891154,2016-11-06 12:18:32,72.66640521414024
5.894,0.41,7.42,-0.29176658,-0.31441513,1.0660805,24.0,5.411,1.346,8.066,0.18,-0.506,-0.497,-0.210839,-0.210371,-0.818549,2016-11-06 12:18:33,74.62111689595719
5.531,-1.873,7.901,0.2773781,-0.14335199,-0.058886223,34.0,5.413,-1.382,8.059,-0.176,-0.853,-0.413,-0.266769,-0.13392,-0.720538,2016-11-06 12:18:34,76.89190210361221
4.129,-0.568,8.715,0.00492939,0.65307754,-0.5182521,24.0,4.073,-0.191,8.918,0.376,-0.485,-0.345,-0.182923,-0.108673,-0.815711,2016-11-06 12:18:35,75.40761722374722
0.186,0.018,9.715,-0.0059952037,-0.030908607,0.0019984012,18.0,-0.679,0.227,9.78,0.455,-0.452,2.455,0.036199,0.005175,-0.892962,2016-11-06 12:18:36,68.1808187613914
0.069,0.038,9.745,-0.001598721,-0.0011990408,-1.3322676E-4,117.0,-0.281,0.208,9.8,0.379,-0.151,-0.026,0.017581,-0.003049,-0.893635,2016-11-06 12:18:37,74.37187981778473
0.069,0.047,9.745,0.0,-9.3258725E-4,-1.3322676E-4,183.0,-0.137,0.155,9.804,0.2,-0.106,-0.059,0.009832,-0.003948,-0.894459,2016-11-06 12:18:38,78.84685655001797
-0.704,-0.392,9.745,-0.00532907,0.007460698,0.045297097,181.0,-0.094,0.13,9.805,-0.011,-0.326,-0.119,0.007214,-0.003896,-0.900633,2016-11-06 12:18:39,73.64772201839443
0.078,0.057,9.715,5.32907E-4,1.3322676E-4,0.0013322675,159.0,-0.072,0.13,9.805,0.148,-0.071,-0.09,0.006306,-0.004234,-0.891327,2016-11-06 12:18:40,73.55443069328408
0.108,0.057,9.754,-0.0014654943,0.0011990408,-0.0018651745,129.0,-0.03,0.111,9.805,0.108,-0.073,-0.07,0.003973,-0.004365,-0.892021,2016-11-06 12:18:41,74.23657448622289
0.078,0.067,9.774,9.3258725E-4,-0.001065814,5.32907E-4,141.0,-0.006,0.095,9.806,0.084,-0.077,-0.042,0.002488,-0.004171,-0.892742,2016-11-06 12:18:42,76.89578667751618
0.078,0.038,9.764,5.32907E-4,0.003330669,7.993605E-4,144.0,0.011,0.086,9.806,0.106,-0.048,-0.052,0.001462,-0.004217,-0.893417,2016-11-06 12:18:43,74.06916106304058
0.088,0.018,9.784,-5.32907E-4,1.3322676E-4,6.6613377E-4,144.0,0.016,0.083,9.806,0.052,-0.016,-0.042,0.001171,-0.004178,-0.894055,2016-11-06 12:18:44,75.13644842340555
-0.028,-0.108,9.715,6.6613377E-4,0.0014654943,0.008659739,139.0,0.026,0.077,9.806,-0.053,-0.185,-0.091,5.34E-4,-0.004145,-0.894607,2016-11-06 12:18:45,75.14746714929436
0.078,0.038,9.774,0.0018651745,0.0019984012,-5.32907E-4,186.0,0.03,0.074,9.806,0.057,-0.036,-0.042,2.92E-4,-0.004111,-0.895442,2016-11-06 12:18:46,77.44997266938026
0.098,0.028,9.774,0.0018651745,5.32907E-4,0.0018651745,100.0,0.034,0.067,9.806,0.053,-0.059,-0.061,-3.6E-5,-0.003865,-0.895891,2016-11-06 12:18:47,76.8253674044509
0.098,0.038,9.774,7.993605E-4,0.0018651745,-3.9968026E-4,77.0,0.039,0.064,9.806,0.048,-0.026,-0.052,-3.54E-4,-0.003828,-0.896406,2016-11-06 12:18:48,74.98066075194349
0.088,0.038,9.764,2.664535E-4,-7.993605E-4,-1.3322676E-4,75.0,0.042,0.063,9.806,0.035,-0.025,-0.042,-5.37E-4,-0.003862,-0.896887,2016-11-06 12:18:49,71.66746342210062
0.088,0.028,9.754,-0.001065814,2.664535E-4,-5.32907E-4,67.0,0.048,0.059,9.806,0.039,-0.032,-0.052,-8.99E-4,-0.003825,-0.897327,2016-11-06 12:18:50,74.74933160640037
0.088,0.047,9.764,2.664535E-4,-6.6613377E-4,2.664535E-4,67.0,0.05,0.059,9.806,0.027,-0.021,-0.052,-9.5E-4,-0.00385,-0.897726,2016-11-06 12:18:51,75.62792721262225
0.147,0.008,9.735,0.0013322675,0.001598721,0.0029309886,80.0,0.053,0.058,9.806,0.024,-0.011,-0.042,-0.001111,-0.003879,-0.896232,2016-11-06 12:18:52,74.27450250518609
0.088,0.028,9.745,-5.32907E-4,5.32907E-4,-9.3258725E-4,75.0,0.056,0.055,9.806,0.021,-0.017,-0.042,-0.001305,-0.003828,-0.896586,2016-11-06 12:18:53,74.17739495647635
0.098,0.028,9.754,0.0019984012,-3.9968026E-4,-6.6613377E-4,67.0,0.058,0.054,9.806,0.019,-0.007,-0.012,-0.001434,-0.003793,-0.896978,2016-11-06 12:18:54,78.55699188825189
0.088,0.028,9.764,0.0019984012,-2.664535E-4,2.664535E-4,70.0,0.059,0.053,9.806,0.018,-0.006,-0.052,-0.001531,-0.003779,-0.897347,2016-11-06 12:18:55,75.32774699461417
-0.341,0.126,9.754,-0.004396483,0.0022648547,0.037969623,70.0,0.06,0.051,9.806,-0.401,0.073,-0.052,-0.0016,-0.003735,-0.897599,2016-11-06 12:18:56,64.69470174756472
0.098,0.018,9.774,0.009192646,0.007860378,-0.0017319478,62.0,0.084,0.033,9.806,0.013,-0.034,-0.11,-0.003112,-0.003414,-0.89731,2016-11-06 12:18:57,74.54400566389367
0.088,0.008,9.754,0.0,0.001065814,3.9968026E-4,72.0,0.076,0.04,9.806,0.021,-0.022,-0.032,-0.002589,-0.003568,-0.897824,2016-11-06 12:18:58,75.0639884635182
0.108,0.028,9.774,-0.0019984012,-9.3258725E-4,-9.3258725E-4,80.0,0.076,0.04,9.806,0.001,-0.05,-0.032,-0.002587,-0.003552,-0.898124,2016-11-06 12:18:59,46.55542011018943
0.088,0.028,9.764,-3.9968026E-4,-3.9968026E-4,2.664535E-4,82.0,0.077,0.039,9.806,0.01,-0.01,-0.042,-0.002675,-0.003523,-0.898431,2016-11-06 12:19:00,74.17596577961531
0.088,0.038,9.745,-6.6613377E-4,3.9968026E-4,-9.3258725E-4,90.0,0.077,0.038,9.806,-0.017,-0.137,-0.052,-0.002681,-0.003497,-0.898708,2016-11-06 12:19:01,76.6388283635522
0.078,0.057,9.764,6.6613377E-4,-0.001598721,-0.0034638955,85.0,0.079,0.037,9.806,0.018,-0.009,-0.032,-0.002828,-0.003489,-0.898926,2016-11-06 12:19:02,74.64461036920882
