ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
-1.6749835,8.885362,2.3208082,535.0,-4.4947147,8.131348,3.1735408,0.27240694,-0.2043052,-0.91256326,2016-11-12 12:01:37,42.63525446973921
4.3200974,8.578903,2.15292,47.0,-2.383561,9.166493,2.5742457,5.8431287,0.16344418,-2.2201166,2016-11-12 12:01:38,74.05595151577104
4.3679814,8.550173,1.4714912,41.0,2.6014864,9.302697,1.7297841,1.334794,-0.7627395,-0.19068487,2016-11-12 12:01:39,79.85472466231795
4.004063,8.416098,1.7183857,52.0,4.154206,8.785125,1.3620348,0.013620348,-0.25878662,-0.31326798,2016-11-12 12:01:40,62.33583365112043
7.4038296,3.005202,5.8168344,60.0,4.33127,8.66254,1.5390993,0.5448139,-3.2280223,1.5118586,2016-11-12 12:01:41,41.65873752634474
4.645709,0.55353945,5.925468,372.0,6.020194,5.638824,5.3119354,-0.25878662,-5.1893525,2.5333848,2016-11-12 12:01:42,46.25861853739974
1.1597513,-0.14556746,9.826401,623.0,4.6172976,0.99428535,8.594439,-3.963521,-1.1168685,1.1032481,2016-11-12 12:01:43,46.905918333066936
1.2650962,-0.16472107,9.826401,668.0,1.6616825,-0.040861044,9.670446,-0.3405087,-0.05448139,0.095342435,2016-11-12 12:01:44,55.42864989197797
1.3129802,-0.28921956,9.56963,808.0,1.1985906,-0.095342435,9.738548,0.05448139,0.51757324,0.24516624,2016-11-12 12:01:45,50.11101682848461
1.9546263,0.017238256,9.737519,88.0,1.4028958,-0.12258312,9.711308,0.62653595,0.05448139,0.040861044,2016-11-12 12:01:46,48.420461463061514
1.9642031,-0.040222585,9.806649,78.0,1.8659877,-0.040861044,9.629586,0.040861044,0.040861044,0.08172209,2016-11-12 12:01:47,55.08000548497631
1.9546263,-0.021068972,9.658513,77.0,1.9340893,0.0,9.615966,0.040861044,0.0,0.05448139,2016-11-12 12:01:48,63.36726306580126
1.9737799,-0.08810662,9.658513,77.0,1.9340893,-0.013620348,9.615966,0.027240695,-0.05448139,0.027240695,2016-11-12 12:01:49,43.17556416712918
1.9833567,0.007661449,9.747395,75.0,1.9340893,-0.013620348,9.615966,0.040861044,0.0,0.027240695,2016-11-12 12:01:50,44.57070383476571
1.9642031,-0.030645778,9.767146,80.0,1.9340893,-0.013620348,9.615966,0.0,-0.040861044,-0.040861044,2016-11-12 12:01:51,59.57910679196324
1.9737799,-0.07852981,9.648637,75.0,1.9340893,-0.013620348,9.615966,0.040861044,-0.013620348,0.12258312,2016-11-12 12:01:52,64.25581737197834
2.012087,-0.001915358,9.6387615,75.0,1.9340893,-0.013620348,9.615966,0.040861044,-0.013620348,0.040861044,2016-11-12 12:01:53,57.46941565821662
1.9642031,-0.08810662,9.678265,78.0,1.9340893,-0.013620348,9.615966,0.0,0.0,0.13620347,2016-11-12 12:01:54,52.926188070763004
1.9067422,-0.021068972,9.698016,77.0,1.9340893,-0.027240695,9.615966,0.0,-0.013620348,0.08172209,2016-11-12 12:01:55,49.79757021511869
1.9258958,-0.04979939,9.628885,80.0,1.9068487,-0.040861044,9.629586,0.027240695,0.013620348,0.05448139,2016-11-12 12:01:56,61.29457307803236
1.9450494,-0.07852981,9.68814,77.0,1.9068487,-0.027240695,9.629586,0.05448139,-0.040861044,0.068101734,2016-11-12 12:01:57,65.0790672951618
1.9546263,-0.04979939,9.727643,77.0,1.920469,-0.013620348,9.615966,0.0,0.013620348,0.36774936,2016-11-12 12:01:58,60.12163129660959
1.9450494,-0.040222585,9.668388,80.0,1.9340893,-0.040861044,9.615966,0.068101734,0.013620348,0.068101734,2016-11-12 12:01:59,63.20908430751223
1.9833567,-0.04979939,9.510375,77.0,1.9340893,-0.027240695,9.615966,0.027240695,0.027240695,0.040861044,2016-11-12 12:02:00,58.45856246312029
1.8875886,-0.040222585,9.707891,77.0,1.9340893,-0.013620348,9.615966,-0.013620348,0.013620348,0.05448139,2016-11-12 12:02:01,60.073775386986306
2.0025103,-0.040222585,9.846152,77.0,1.920469,-0.013620348,9.629586,0.013620348,-0.013620348,0.027240695,2016-11-12 12:02:02,56.70533354737458
1.9737799,-0.04979939,9.599257,75.0,1.9340893,-0.027240695,9.615966,0.0,0.0,0.027240695,2016-11-12 12:02:03,28.2125962446749
1.9258958,-0.021068972,9.737519,75.0,1.9340893,-0.027240695,9.615966,0.068101734,0.027240695,-0.12258312,2016-11-12 12:02:05,55.39620161607274
1.9546263,-0.011492165,9.727643,77.0,1.9340893,-0.013620348,9.615966,0.013620348,0.013620348,0.040861044,2016-11-12 12:02:06,44.326045296909115
1.9642031,-0.021068972,9.668388,75.0,1.920469,-0.027240695,9.615966,0.013620348,0.013620348,0.027240695,2016-11-12 12:02:07,52.99404872362817
1.9450494,-0.040222585,9.6387615,77.0,1.9068487,-0.027240695,9.629586,0.0,0.0,0.05448139,2016-11-12 12:02:08,51.47713883873408
1.9546263,-0.0593762,9.68814,79.0,1.9340893,-0.013620348,9.615966,0.040861044,-0.013620348,-0.10896278,2016-11-12 12:02:09,59.48525920992655
1.9642031,-0.030645778,9.757271,75.0,1.920469,-0.013620348,9.615966,0.05448139,-0.027240695,0.095342435,2016-11-12 12:02:10,60.39597056318559
1.9929335,-0.040222585,9.727643,77.0,1.920469,-0.013620348,9.615966,0.05448139,0.0,0.08172209,2016-11-12 12:02:11,60.76264637894213
1.9067422,-0.04979939,9.668388,77.0,1.9340893,-0.013620348,9.615966,0.027240695,0.013620348,0.040861044,2016-11-12 12:02:12,29.991285014475263
1.9642031,-0.040222585,9.68814,75.0,1.9340893,-0.013620348,9.615966,0.05448139,0.0,0.068101734,2016-11-12 12:02:13,30.364816773152285
1.9642031,-0.04979939,9.707891,75.0,1.920469,-0.013620348,9.615966,0.0,-0.013620348,0.08172209,2016-11-12 12:02:14,29.316707702699055
1.9258958,-0.011492165,9.777022,75.0,1.9477097,-0.013620348,9.615966,0.027240695,0.0,0.040861044,2016-11-12 12:02:15,43.504253230887215
1.9450494,-0.030645778,9.599257,77.0,1.9340893,-0.013620348,9.615966,-0.013620348,-0.040861044,0.10896278,2016-11-12 12:02:16,63.75870793861949
1.9450494,-0.04979939,9.628885,77.0,1.9340893,-0.027240695,9.615966,0.027240695,0.0,0.027240695,2016-11-12 12:02:17,50.30291979267623
1.9450494,-0.040222585,9.648637,75.0,1.9340893,-0.027240695,9.615966,0.05448139,-0.013620348,0.068101734,2016-11-12 12:02:18,47.1427249543737
1.9642031,-0.06895301,9.668388,75.0,1.9340893,-0.013620348,9.615966,0.0,-0.040861044,0.095342435,2016-11-12 12:02:19,59.35743066023977
1.916319,-0.021068972,9.540003,75.0,1.9340893,-0.027240695,9.615966,0.08172209,0.0,0.12258312,2016-11-12 12:02:20,59.70855262386583
1.916319,-0.06895301,9.61901,77.0,1.9340893,-0.013620348,9.615966,0.013620348,-0.013620348,0.027240695,2016-11-12 12:02:21,64.14466800765533
1.9546263,-0.06895301,9.668388,75.0,1.920469,-0.027240695,9.615966,0.013620348,0.0,0.19068487,2016-11-12 12:02:22,60.95760686890387
1.9737799,-0.021068972,9.68814,75.0,1.920469,-0.027240695,9.615966,0.05448139,0.013620348,0.095342435,2016-11-12 12:02:23,62.0700238019247
1.9450494,-0.011492165,10.132549,77.0,1.9340893,-0.027240695,9.615966,0.027240695,0.0,0.13620347,2016-11-12 12:02:24,62.3552798491708
1.9450494,-0.07852981,9.707891,75.0,1.920469,-0.013620348,9.629586,-0.013620348,0.013620348,0.013620348,2016-11-12 12:02:25,56.815161342556536
1.9642031,-0.021068972,9.56963,77.0,1.9340893,-0.013620348,9.615966,0.05448139,0.0,-0.068101734,2016-11-12 12:02:26,52.73286314543747
1.9833567,0.017238256,9.737519,75.0,1.9340893,-0.027240695,9.615966,0.040861044,-0.040861044,0.068101734,2016-11-12 12:02:27,57.567365070359
1.9450494,-0.040222585,9.559754,75.0,1.920469,-0.013620348,9.615966,0.05448139,-0.040861044,0.19068487,2016-11-12 12:02:28,55.30463433589034
1.9258958,-0.030645778,9.668388,75.0,1.9340893,-0.013620348,9.615966,-0.027240695,0.0,0.027240695,2016-11-12 12:02:29,55.36786042314806
1.9546263,-0.0593762,9.658513,75.0,1.9340893,-0.013620348,9.615966,0.0,0.013620348,0.05448139,2016-11-12 12:02:30,50.29981839735227
1.916319,-0.001915358,9.717768,75.0,1.9340893,-0.013620348,9.615966,-0.027240695,0.0,0.10896278,2016-11-12 12:02:31,54.06117351850337
1.9067422,-0.011492165,9.717768,75.0,1.9068487,-0.013620348,9.629586,-0.013620348,-0.013620348,0.05448139,2016-11-12 12:02:32,53.14520476410812
1.7535133,-0.06895301,9.658513,73.0,1.9068487,-0.013620348,9.629586,0.0,-0.027240695,0.068101734,2016-11-12 12:02:33,47.48252378767124
3.209188,0.773806,10.023916,545.0,1.879608,-0.013620348,9.629586,-0.47671217,-0.31326798,0.5448139,2016-11-12 12:02:34,59.381714401173184
8.486009,4.02992,-0.64192563,77.0,4.195067,2.165635,8.594439,3.405087,2.5742457,-10.3242235,2016-11-12 12:02:35,61.78306315270742
8.476432,2.804089,4.4144735,131.0,8.267551,4.4947147,2.73769,0.8853226,-1.7025435,0.58567494,2016-11-12 12:02:36,53.493320446417485
7.8922462,2.1241357,5.0366473,151.0,8.594439,3.1463003,3.52767,-0.36774936,-0.84446156,1.6889231,2016-11-12 12:02:37,41.66036106008001
7.1931396,1.1568782,6.616772,191.0,8.158588,2.315459,4.930566,-0.8853226,-0.99428535,1.4301364,2016-11-12 12:02:38,37.835469524773664
8.629661,0.34284967,4.809505,173.0,7.7091165,1.2530719,5.924851,1.1032481,-0.87170225,-1.0487667,2016-11-12 12:02:39,42.06295286238416
9.434113,0.71634513,3.2590072,160.0,8.444615,0.57205456,4.9578066,0.92618364,0.17706451,-1.6889231,2016-11-12 12:02:40,45.29697855889758
9.395805,0.6588843,3.3281376,139.0,9.125632,0.58567494,3.5412903,0.25878662,0.027240695,-0.14982383,2016-11-12 12:02:41,37.23628683190612
6.7430296,-0.1934515,6.6068964,139.0,9.193734,0.667397,3.3506055,-1.6208212,-0.7627395,3.0373375,2016-11-12 12:02:42,34.39883355701874
