ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37818006,0.20368792,0.19657585,2016-11-22 10:47:03,18.4984631901613
1.367,5.184,7.587,-1.7313433,-0.040511727,2.4541578,2000.0,2.4156806,6.263343,7.148805,-0.73765993,0.2603321,0.58472633,0.35445246,0.09937726,0.5563446,2016-11-22 10:47:04,42.76747774921724
3.293,4.567,8.09,0.09701493,-0.14392324,0.03304904,800.0,3.7968636,4.616047,7.774722,-0.062325716,0.044898033,-0.1466608,0.31876898,0.044562135,0.6968869,2016-11-22 10:47:05,68.73125469472727
3.729,4.439,7.841,-0.012793177,-0.036247335,0.0053304904,800.0,4.147268,4.5924926,7.6078615,-0.1719985,0.016944885,-0.02476883,0.3333518,0.031362053,0.69425935,2016-11-22 10:47:06,60.93725525817453
4.201,3.351,7.832,-0.12899786,0.028784648,0.06609808,550.0,5.0131764,3.4220097,7.7024846,0.36101484,0.27744746,0.1849227,0.32603118,-0.031403348,0.7256988,2016-11-22 10:47:07,56.74563000753082
0.942,0.071,9.07,-0.081023455,0.1641791,-0.020255864,120.0,2.0496125,0.062455732,9.589869,-0.65688324,0.15800263,-0.91163635,0.08668062,-0.059491728,0.8024017,2016-11-22 10:47:08,75.76476873906297
-0.557,-0.312,10.131,0.039445627,0.08848614,0.039445627,120.0,0.106664814,-0.32758674,9.800596,-0.39679417,0.18595535,0.10975075,-0.004935333,-0.0168606,0.8254675,2016-11-22 10:47:09,80.54191448768051
-0.472,-0.257,10.035,-0.0031982942,0.10554371,0.0031982942,120.0,0.24895442,-0.16549698,9.802093,-0.24339987,0.036435142,0.015570641,0.006370648,-0.013848629,0.850878,2016-11-22 10:47:10,75.0234648182137
-0.437,-0.272,10.055,0.0,0.012793177,0.0010660981,120.0,0.1363082,-0.15114275,9.804537,-0.1337464,0.034650475,-0.0030345917,0.0019587632,-0.010191117,0.85562533,2016-11-22 10:47:11,74.3948448107638
-0.436,-0.274,10.053,0.0,0.0010660981,0.0010660981,120.0,0.11013505,-0.14498606,9.804958,-0.1045805,-2.3663044E-4,0.004324913,9.793842E-4,-0.009231751,0.8556397,2016-11-22 10:47:13,76.1908947804862
-0.406,-0.245,10.056,0.0,0.0010660981,0.0021321962,80.0,0.12895842,-0.14661719,9.804705,-0.096469104,-0.0063866526,0.011162758,0.0014842747,-0.009585932,0.85907114,2016-11-22 10:47:14,75.79074102254438
-0.424,-0.26,10.061,0.0010660981,0.0,0.0,80.0,0.11203562,-0.14282142,9.804969,-0.0819405,0.03710305,-0.005262375,0.0012074262,-0.009176305,0.8605604,2016-11-22 10:47:15,48.41990479770381
-0.402,-0.229,10.076,0.0010660981,-0.0021321962,0.0010660981,80.0,0.10239899,-0.14187445,9.80509,-0.09085894,0.03735318,0.0077848434,8.3515304E-4,-0.008882079,0.8620497,2016-11-22 10:47:16,75.34805381749348
-0.421,-0.275,10.052,0.0010660981,0.0,0.0,80.0,0.10239899,-0.14187445,9.80509,-0.074698076,-0.007538095,-0.0053834915,8.3515304E-4,-0.008882079,0.8620497,2016-11-22 10:47:17,52.2237680198464
-0.4,-0.261,10.046,0.0010660981,0.009594883,0.0010660981,80.0,0.11891617,-0.142829,9.804889,-0.07804715,0.018555574,-0.003985405,0.0015796137,-0.009343688,0.8643722,2016-11-22 10:47:18,73.8828286780463
-0.405,-0.245,10.053,0.0010660981,-0.0010660981,0.0,80.0,0.11588506,-0.142829,9.804925,-0.07561459,0.037709184,7.6675415E-4,0.001446006,-0.009265975,0.86437243,2016-11-22 10:47:19,68.0334233410508
-0.429,-0.249,10.063,0.0010660981,0.0,0.0,80.0,0.11588506,-0.142829,9.804925,-0.09057835,0.049680196,0.007949829,0.001446006,-0.009265975,0.86437243,2016-11-22 10:47:20,72.79372082133082
-0.429,-0.284,10.07,0.0,-0.0031982942,0.0,120.0,0.11588506,-0.142829,9.804925,-0.08519139,0.04728599,0.007949829,0.001446006,-0.009265975,0.86437243,2016-11-22 10:47:21,69.92915140433533
-0.426,-0.284,10.067,0.0,0.0010660981,0.0,80.0,0.11588506,-0.142829,9.804925,-0.078607336,0.035314985,0.0073509216,0.001446006,-0.009265975,0.86437243,2016-11-22 10:47:22,51.44885287649764
-0.334,-0.228,10.056,0.0010660981,-0.0010660981,0.069296375,80.0,0.11554996,-0.14310023,9.804925,-0.08784905,0.02720651,0.015730858,0.0018843603,-0.009533113,0.8653315,2016-11-22 10:47:23,75.68244514557219
-0.434,-0.274,10.056,0.0010660981,0.0010660981,0.0,80.0,0.120970175,-0.14327593,9.804857,-0.115415625,0.014812648,0.012805939,0.001676701,-0.0094128605,0.8653319,2016-11-22 10:47:24,56.97654411160202
-0.416,-0.259,10.082,0.0,0.058635395,0.023454158,80.0,0.109781064,-0.14371897,9.804983,-0.11021202,0.0080730915,0.018665314,0.0011653804,-0.009130946,0.86625755,2016-11-22 10:47:25,75.0396110263521
-0.429,-0.235,10.054,0.0,-0.0010660981,0.0,80.0,0.11008275,-0.14371896,9.804979,-0.0925572,0.046380296,0.0037059784,0.0012018676,-0.009151985,0.8662575,2016-11-22 10:47:26,63.05838741174571
-0.44,-0.237,10.062,0.0021321962,-0.0021321962,0.0,80.0,0.11008275,-0.14371896,9.804979,-0.11410501,0.03979624,0.0108881,0.0012018676,-0.009151985,0.8662575,2016-11-22 10:47:27,68.13008319337891
