ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.996,8.504,-4.711,0.0,2016-12-12 16:38:05,-Infinity
0.268,8.849,-4.252,0.0,2016-12-12 16:38:05,-Infinity
0.919,8.81,-4.405,0.0,2016-12-12 16:38:05,-Infinity
0.996,8.734,-4.673,0.0,2016-12-12 16:38:06,-Infinity
0.919,8.657,-4.558,0.0,2016-12-12 16:38:07,-Infinity
0.957,8.81,-4.367,0.0,2016-12-12 16:38:08,-Infinity
0.727,8.619,-4.597,0.0,2016-12-12 16:38:09,-Infinity
0.919,8.619,-4.826,0.0,2016-12-12 16:38:10,-Infinity
0.804,8.657,-4.405,0.0,2016-12-12 16:38:11,-Infinity
0.766,8.581,-4.482,0.0,2016-12-12 16:38:12,-Infinity
0.651,8.696,-4.443,0.0,2016-12-12 16:38:13,-Infinity
0.727,8.772,-4.558,0.0,2016-12-12 16:38:14,-Infinity
0.612,8.849,-4.367,0.0,2016-12-12 16:38:15,-Infinity
0.459,8.887,-4.213,0.0,2016-12-12 16:38:16,-Infinity
0.344,8.964,-4.022,0.0,2016-12-12 16:38:17,-Infinity
0.191,9.04,-3.792,0.0,2016-12-12 16:38:18,-Infinity
0.0,9.117,-3.984,0.0,2016-12-12 16:38:19,-Infinity
0.0,9.155,-4.099,0.0,2016-12-12 16:38:20,-Infinity
0.268,9.347,-3.141,0.0,2016-12-12 16:38:21,-Infinity
0.689,8.657,-4.405,0.0,2016-12-12 16:38:22,-Infinity
0.804,8.734,-4.673,0.0,2016-12-12 16:38:23,-Infinity
0.612,8.772,-4.558,0.0,2016-12-12 16:38:24,-Infinity
0.727,8.657,-4.558,0.0,2016-12-12 16:38:26,-Infinity
0.727,8.772,-4.558,0.0,2016-12-12 16:38:27,-Infinity
0.574,8.772,-4.443,0.0,2016-12-12 16:38:28,-Infinity
0.651,8.734,-4.597,0.0,2016-12-12 16:38:29,-Infinity
0.612,8.734,-4.443,0.0,2016-12-12 16:38:30,-Infinity
0.612,8.734,-4.52,0.0,2016-12-12 16:38:31,-Infinity
0.459,8.849,-4.673,0.0,2016-12-12 16:38:32,-Infinity
0.536,8.81,-4.443,0.0,2016-12-12 16:38:33,-Infinity
0.651,8.657,-4.558,0.0,2016-12-12 16:38:34,-Infinity
0.689,8.734,-4.52,0.0,2016-12-12 16:38:35,-Infinity
0.574,8.772,-4.405,0.0,2016-12-12 16:38:36,-Infinity
0.612,8.734,-4.443,0.0,2016-12-12 16:38:37,-Infinity
0.574,8.734,-4.405,0.0,2016-12-12 16:38:38,-Infinity
0.536,8.696,-4.443,0.0,2016-12-12 16:38:39,-Infinity
0.421,8.849,-4.367,0.0,2016-12-12 16:38:40,-Infinity
0.306,8.81,-4.367,0.0,2016-12-12 16:38:41,-Infinity
0.268,8.925,-4.29,0.0,2016-12-12 16:38:42,-Infinity
0.038,9.079,-3.984,0.0,2016-12-12 16:38:43,-Infinity
0.268,8.81,-3.984,0.0,2016-12-12 16:38:44,-Infinity
0.038,9.117,-4.252,0.0,2016-12-12 16:38:45,-Infinity
-0.038,9.002,-4.022,0.0,2016-12-12 16:38:46,-Infinity
0.766,8.619,-5.133,0.0,2016-12-12 16:38:47,-Infinity
0.459,8.657,-4.673,0.0,2016-12-12 16:38:48,-Infinity
0.306,8.772,-4.635,0.0,2016-12-12 16:38:49,-Infinity
0.421,8.619,-4.673,0.0,2016-12-12 16:38:50,-Infinity
0.498,8.657,-4.558,0.0,2016-12-12 16:38:51,-Infinity
0.421,8.657,-4.673,0.0,2016-12-12 16:38:52,-Infinity
0.536,8.657,-4.597,0.0,2016-12-12 16:38:53,-Infinity
0.536,8.619,-4.826,0.0,2016-12-12 16:38:54,-Infinity
0.421,8.619,-4.711,0.0,2016-12-12 16:38:55,-Infinity
0.498,8.657,-4.52,0.0,2016-12-12 16:38:56,-Infinity
0.306,8.581,-4.635,0.0,2016-12-12 16:38:57,-Infinity
0.727,8.351,-4.711,0.0,2016-12-12 16:38:58,-Infinity
0.344,8.657,-4.482,0.0,2016-12-12 16:38:59,-Infinity
0.421,8.657,-4.75,0.0,2016-12-12 16:39:00,-Infinity
0.383,8.619,-4.597,0.0,2016-12-12 16:39:01,-Infinity
0.536,8.581,-4.673,0.0,2016-12-12 16:39:02,-Infinity
0.536,8.542,-4.903,0.0,2016-12-12 16:39:03,-Infinity
0.612,8.466,-5.018,0.0,2016-12-12 16:39:04,-Infinity
0.612,8.389,-4.903,0.0,2016-12-12 16:39:05,-Infinity
0.498,8.466,-4.903,0.0,2016-12-12 16:39:06,-Infinity
0.574,8.389,-4.941,0.0,2016-12-12 16:39:07,-Infinity
0.536,8.466,-4.98,0.0,2016-12-12 16:39:08,-Infinity
0.651,8.389,-4.826,0.0,2016-12-12 16:39:09,-Infinity
0.421,8.466,-5.018,0.0,2016-12-12 16:39:10,-Infinity
0.383,8.389,-4.903,0.0,2016-12-12 16:39:11,-Infinity
1.225,8.849,-3.907,0.0,2016-12-12 16:39:12,-Infinity
1.34,8.657,-4.29,0.0,2016-12-12 16:39:13,-Infinity
0.957,8.772,-4.213,0.0,2016-12-12 16:39:14,-Infinity
1.034,8.696,-4.175,0.0,2016-12-12 16:39:16,-Infinity
0.842,8.849,-4.328,0.0,2016-12-12 16:39:17,-Infinity
0.919,8.849,-4.213,0.0,2016-12-12 16:39:18,-Infinity
1.034,8.696,-4.213,0.0,2016-12-12 16:39:19,-Infinity
0.842,8.772,-4.482,0.0,2016-12-12 16:39:20,-Infinity
0.651,9.079,-4.52,0.0,2016-12-12 16:39:21,-Infinity
1.072,8.734,-4.482,0.0,2016-12-12 16:39:22,-Infinity
0.957,8.925,-4.482,0.0,2016-12-12 16:39:23,-Infinity
1.034,8.427,-4.635,0.0,2016-12-12 16:39:24,-Infinity
0.766,8.696,-4.865,0.0,2016-12-12 16:39:25,-Infinity
0.957,8.466,-4.75,0.0,2016-12-12 16:39:26,-Infinity
0.842,8.504,-4.711,0.0,2016-12-12 16:39:27,-Infinity
0.957,8.466,-4.788,0.0,2016-12-12 16:39:28,-Infinity
