ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.019,3.069,8.72,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-16 16:02:23,5.382122997012235
3.515,0.627,8.638,0.08955224,-0.1098081,0.026652452,225.0,3.2884493,0.6278394,-1.038476,0.08431339,0.0022131791,0.99207145,2017-02-16 16:02:24,47.04406436319785
3.418,0.828,8.882,0.031982943,0.046908315,0.0031982942,225.0,0.3901081,0.09955114,-0.067928314,0.21075943,0.024217067,0.97320956,2017-02-16 16:02:25,29.882357423305983
3.161,0.679,8.925,-0.024520256,0.04584222,0.0021321962,225.0,0.3455367,0.047861934,0.13238335,0.20860946,0.021898516,0.97362125,2017-02-16 16:02:26,51.50186702218861
1.394,-0.147,9.512,-0.012793177,0.19402985,1.2302772,225.0,-1.8415821,0.041279122,0.30881977,-0.21208411,0.014612676,-0.9744647,2017-02-16 16:02:27,44.551660423434285
-0.835,0.761,10.224,0.1108742,-0.04584222,0.28144988,320.0,-0.083592035,0.13075888,0.29266453,0.015499345,-0.035137877,-0.76384634,2017-02-16 16:02:28,36.489623139702466
-0.499,-0.128,9.846,-0.0010660981,0.0010660981,0.0,320.0,0.10713154,0.040421564,0.008749008,-0.016468761,-0.008315842,-0.7604613,2017-02-16 16:02:29,56.412090686844756
-0.492,-0.129,9.839,0.0,-0.0010660981,0.0,320.0,0.08766472,0.03333525,0.001086235,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:30,47.10224521713264
-0.484,-0.128,9.844,0.0,-0.0010660981,0.0,320.0,0.09365022,0.037525102,0.005874634,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:31,40.69865623432355
-0.478,-0.128,9.844,0.0,-0.0010660981,0.0,320.0,0.09365022,0.03333525,0.008867264,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:32,54.2259158054964
-0.502,-0.116,9.858,0.0,-0.0010660981,-0.0010660981,320.0,0.080482125,0.029145397,0.02023983,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:33,50.6665140773117
-0.5,-0.129,9.851,0.0,0.0021321962,-0.0010660981,320.0,0.078686476,0.0315396,0.0076704025,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:34,21.43606328499056
-0.494,-0.132,9.866,0.0,-0.0010660981,0.0,320.0,0.085270524,0.036328003,0.022035599,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:35,56.56793544037931
-0.486,-0.125,9.856,0.0,-0.0010660981,0.0,320.0,0.08946037,0.036328003,0.012458801,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:36,36.802888493259324
-0.481,-0.128,9.853,0.0,-0.0010660981,0.0,320.0,0.084073424,0.03094105,0.0028820038,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:37,54.819949600799795
-0.493,-0.135,9.845,-0.0010660981,0.0,0.0,320.0,0.08826327,0.020765692,-7.095337E-4,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:38,51.72805031746626
-0.477,-0.132,9.841,0.0,-0.0010660981,0.0,320.0,0.085270524,0.04171496,0.008268356,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:39,56.13370054322884
-0.485,-0.141,9.864,-0.0010660981,0.0,0.0,320.0,0.07629228,0.039919306,0.013655663,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:40,48.37410550614144
-0.493,-0.124,9.854,0.0,-0.0010660981,-0.0010660981,320.0,0.085869074,0.021364242,0.009466171,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:42,15.485645480025717
-0.487,-0.137,9.846,0.0,-0.0010660981,0.0,320.0,0.09125602,0.038722206,0.0022830963,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:43,54.69734627850025
-0.49,-0.13,9.85,0.0,-0.0010660981,0.0010660981,320.0,0.078087926,0.027948298,0.008867264,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:44,53.1117097922412
-0.478,-0.125,9.844,0.0,-0.0010660981,0.0,320.0,0.1014314,0.039919306,0.0064735413,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:45,54.16808699203887
-0.506,-0.155,9.851,0.0,0.0,-0.0021321962,320.0,0.07030678,0.012984537,0.013655663,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:46,33.550208301342394
-0.493,-0.14,9.845,0.0,-0.0010660981,0.0,320.0,0.10442415,0.03213815,0.0028820038,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:47,57.51022479535915
-0.487,-0.133,9.84,0.0,0.0,-0.0010660981,320.0,0.083474874,0.034532353,-0.007891655,-0.017019635,-0.009341016,-0.76045567,2017-02-16 16:02:48,58.14264285535087
