ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.21068975,0.0,7.029376,30.0,2017-04-09 14:01:53,56.418039820714895
0.02873042,0.038307227,9.873688,32.0,2017-04-09 14:01:54,69.96950956503774
0.0,0.047884032,9.519346,32.0,2017-04-09 14:01:55,70.6101235285007
-1.340753,-1.4460979,10.850522,36.0,2017-04-09 14:01:56,65.86204790465624
-0.6512229,-0.4213795,9.375694,44.0,2017-04-09 14:01:57,64.99202114045994
0.009576807,0.18195933,9.682152,85.0,2017-04-09 14:01:58,66.35444612995272
0.16280572,0.29688102,10.180145,13.0,2017-04-09 14:01:59,65.33882163823077
3.8977604,1.5897499,8.523358,14.0,2017-04-09 14:02:00,64.67328064616133
1.8674773,0.58418524,9.394848,13.0,2017-04-09 14:02:01,66.45518358347466
0.15322891,0.10534488,9.097966,14.0,2017-04-09 14:02:02,68.42382402301047
0.22026655,0.095768064,10.084377,52.0,2017-04-09 14:02:03,65.14243461064935
0.076614454,0.1340753,9.050082,52.0,2017-04-09 14:02:04,59.25860438474522
0.1436521,0.08619126,9.212888,52.0,2017-04-09 14:02:05,59.17979734989476
0.1436521,0.095768064,9.892841,52.0,2017-04-09 14:02:06,59.73446735038696
0.15322891,0.095768064,9.959879,53.0,2017-04-09 14:02:07,57.854883257983154
0.1340753,0.095768064,9.739613,52.0,2017-04-09 14:02:08,52.64547662116741
0.076614454,0.05746084,7.97748,53.0,2017-04-09 14:02:09,57.86744665070496
0.1436521,-0.009576807,4.060566,54.0,2017-04-09 14:02:11,62.39778034419632
0.2681506,0.15322891,7.5465236,53.0,2017-04-09 14:02:12,63.05877698957599
