ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,-0.0074626864,-0.0042643924,1.1950959,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-12 11:01:40,24.20096022663681
9.047,-0.547,2.249,0.42324093,-0.3400853,0.10554371,80.0,0.114748955,-0.08590722,-0.06737161,0.08080887,-0.5906021,0.16190414,2017-05-12 11:01:41,46.47409295057361
8.591,0.277,4.238,0.0010660981,-0.05010661,0.0,80.0,0.102540016,-0.20890938,-0.08353686,0.15092926,-0.5219307,0.20960069,2017-05-12 11:01:42,78.9411855347789
8.574,0.304,4.351,-0.0010660981,0.0,0.0,80.0,0.02563095,-0.09582406,-0.19795895,0.14909995,-0.5315123,0.21093777,2017-05-12 11:01:43,80.15101118404289
8.612,0.291,4.24,0.0,-0.046908315,0.0,225.0,0.047969818,-0.070879295,-0.1678319,0.14876924,-0.53252393,0.21161075,2017-05-12 11:01:44,76.73092538911044
8.606,0.292,4.282,-0.0010660981,0.0010660981,0.0,225.0,0.007881165,-0.037927464,-0.1573124,0.1486611,-0.5374476,0.21172714,2017-05-12 11:01:45,55.855430805638015
8.566,0.289,4.352,-0.0010660981,-0.0063965884,0.0,120.0,-0.020709038,-0.039258182,-0.075553656,0.14867339,-0.5374895,0.21223834,2017-05-12 11:01:46,81.54635942195043
8.57,0.301,4.334,0.0,0.0053304904,0.0,120.0,-0.017903328,-0.036113374,-0.07873225,0.14865462,-0.538312,0.21197537,2017-05-12 11:01:47,79.52865882062238
8.581,0.302,4.312,0.0,0.0010660981,0.0,120.0,-0.017499924,-0.03376077,-0.08089709,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:48,78.60107118421328
8.602,0.307,4.314,0.0,0.0010660981,0.0,225.0,-0.012711525,-0.03555642,-0.08269262,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:49,74.79209434760222
8.603,0.28,4.306,-0.0010660981,0.0,0.0,320.0,-0.0198946,-0.028972365,-0.072517395,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:50,77.69206567712534
8.587,0.307,4.318,-0.0021321962,0.0,0.0,320.0,-0.017499924,-0.024782516,-0.07969999,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:51,60.90109309619449
8.591,0.298,4.319,-0.0021321962,-0.0010660981,0.0,225.0,-0.023485184,-0.043337576,-0.076707125,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:52,72.56578713063071
8.596,0.289,4.317,0.0,0.0010660981,0.0,225.0,-0.028273582,-0.02119121,-0.074312925,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:53,82.44486303839165
8.597,0.303,4.324,-0.0010660981,0.0,0.0,320.0,-0.004930496,-0.028972365,-0.06832743,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:54,80.38321379408906
8.578,0.298,4.325,0.0,0.0010660981,0.0,225.0,-0.030668259,-0.03316222,-0.071918726,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:56,70.2117164148164
8.58,0.305,4.297,-0.0010660981,0.0010660981,0.0,225.0,-0.028273582,-0.025381066,-0.09945202,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:57,76.79176219455383
8.587,0.299,4.312,0.0,0.0021321962,0.0,225.0,-0.018098831,-0.039147723,-0.08448839,0.14857915,-0.5387369,0.21202938,2017-05-12 11:01:58,75.30751343649857
8.563,0.304,4.35,0.0,-0.0010660981,0.0,120.0,-0.035237312,-0.035489164,-0.041711807,0.14873599,-0.5379699,0.21265994,2017-05-12 11:01:59,74.83219794225607
8.578,0.293,4.379,-0.0010660981,-0.0042643924,0.0,120.0,-0.03710842,-0.035488985,-0.013988733,0.14873818,-0.5379782,0.21265838,2017-05-12 11:02:00,76.47978286156751
8.582,0.316,4.364,0.0,0.0010660981,0.0,225.0,-0.026750565,-0.021298125,-0.06392217,0.1486735,-0.53818256,0.21255141,2017-05-12 11:02:01,80.02531206549676
8.579,0.293,4.35,0.0010660981,0.0010660981,0.0,225.0,-0.018370628,-0.033269137,-0.072301865,0.1486735,-0.53818256,0.21255141,2017-05-12 11:02:02,74.65934097016323
8.561,0.296,4.361,-0.0021321962,0.0010660981,0.0,120.0,-0.03428936,-0.03243415,-0.07911205,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:03,82.4731068000422
8.586,0.292,4.352,-0.0010660981,0.0,0.0,225.0,-0.021121025,-0.022258796,-0.08270335,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:04,69.33754747250889
8.578,0.318,4.358,0.0,0.0021321962,0.0,320.0,-0.023514748,-0.011484884,-0.05517006,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:05,74.5160342003957
8.581,0.296,4.351,-0.0010660981,0.0010660981,0.0,320.0,-0.028303146,-0.03243415,-0.06594396,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:06,51.46791466678575
8.593,0.297,4.342,-0.0010660981,0.0,0.0,320.0,-0.011544228,-0.029441394,-0.06594396,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:07,72.32109652795954
8.582,0.293,4.345,0.0,0.0010660981,0.0,225.0,-0.016332626,-0.030638501,-0.069535255,0.1486728,-0.53794515,0.21269976,2017-05-12 11:02:08,68.73719314885989
8.557,0.3,4.344,0.0,0.0010660981,0.0,225.0,-0.023468018,-0.021061711,-0.046633244,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:09,64.37215606379748
8.585,0.302,4.339,0.0,0.0010660981,0.0,225.0,-0.01987648,-0.031237073,-0.07476497,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:10,59.97239878913933
8.569,0.301,4.333,-0.0010660981,0.0,-0.0010660981,225.0,-0.032445908,-0.02166026,-0.078954935,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:11,75.95332218991031
8.602,0.293,4.352,0.0,0.0010660981,0.0,225.0,-0.025263786,-0.032434173,-0.06518817,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:12,72.14611247499838
8.587,0.299,4.357,0.0,0.0021321962,0.0,225.0,-0.017481804,-0.031237073,-0.080152035,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:13,68.86710182585327
8.587,0.303,4.348,-0.0010660981,0.0,-0.0010660981,225.0,-0.018080711,-0.033631273,-0.06219554,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:14,75.61332052578946
8.572,0.296,4.357,0.0,0.0021321962,0.0,320.0,-0.032445908,-0.038419675,-0.05621004,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:15,58.23407962722559
8.589,0.307,4.348,0.0,0.0010660981,0.0,320.0,-0.013292313,-0.022857368,-0.06399107,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:16,74.39558971867301
8.577,0.301,4.333,-0.0010660981,0.0021321962,0.0,225.0,-0.025263786,-0.028842866,-0.078356266,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:17,62.42055703216355
8.596,0.309,4.338,0.0,0.0010660981,0.0,120.0,-0.019277573,-0.034828372,-0.06458974,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:18,65.97220698845868
8.57,0.299,4.343,-0.0010660981,0.0,0.0,120.0,-0.014489174,-0.025251567,-0.05920267,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:19,53.50678865149867
8.578,0.292,4.336,0.0,0.0021321962,0.0,320.0,-0.01987648,-0.037222575,-0.06399107,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:20,63.010953611826764
8.547,0.302,4.336,0.0,0.0031982942,0.0010660981,225.0,-0.045614243,-0.036025476,-0.085538864,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:21,73.45521734125674
8.577,0.283,4.342,0.0,0.0010660981,0.0,225.0,-0.021073341,-0.031835623,-0.06638527,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:22,61.73473906610616
8.582,0.285,4.346,0.0,-0.0042643924,0.0,80.0,-0.01987648,-0.025850117,-0.07237077,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:23,68.67565426193319
8.576,0.305,4.333,-0.0010660981,0.0,0.0,550.0,-0.025263786,-0.031237073,-0.07117367,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:24,75.21890392919329
8.59,0.295,4.348,0.0,0.0010660981,0.0,550.0,-0.015088081,-0.022857368,-0.07715917,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:25,71.4905122083608
8.581,0.299,4.348,0.0,0.0010660981,0.0,550.0,-0.019277573,-0.034229822,-0.07296944,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:26,72.4155098587844
8.573,0.293,4.331,0.0,0.0010660981,0.0,550.0,-0.036037445,-0.035426922,-0.06518817,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:27,57.441090927129196
8.567,0.295,4.355,-0.0010660981,0.0010660981,0.0,550.0,-0.01688385,-0.034828372,-0.053217173,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:28,75.75021001905432
8.581,0.296,4.349,-0.0010660981,0.0,0.0,550.0,-0.021073341,-0.033032723,-0.06279397,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:29,62.14444937950149
8.563,0.302,4.342,0.0,0.0010660981,0.0,550.0,-0.022270203,-0.030039974,-0.06219554,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:30,43.523913966931815
8.58,0.299,4.34,-0.0021321962,0.0010660981,0.0,550.0,-0.018679619,-0.030638523,-0.07117367,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:31,73.32178130484485
8.576,0.298,4.335,0.0,0.0010660981,-0.0010660981,550.0,-0.027058601,-0.031237073,-0.06159687,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:32,73.92647855039293
8.588,0.294,4.365,0.0,0.0010660981,0.0,550.0,-0.022270203,-0.028244317,-0.06818104,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:33,73.94409414579283
8.586,0.302,4.338,0.0,0.0,-0.0010660981,550.0,-0.023468018,-0.035426922,-0.06638527,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:34,74.21526662309299
8.581,0.289,4.34,0.0,0.0010660981,0.0,550.0,-0.018679619,-0.034229822,-0.07476497,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:35,62.31167131205162
8.575,0.298,4.353,-0.0010660981,0.0,0.0,550.0,-0.02586174,-0.026448667,-0.052618742,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:36,75.52042369416186
8.59,0.313,4.341,-0.0010660981,0.0,0.0,550.0,-0.018080711,-0.016871862,-0.06937814,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:37,38.37498427610625
8.582,0.304,4.336,-0.0021321962,0.0010660981,0.0,550.0,-0.032445908,-0.024054468,-0.09152436,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:38,46.984998721746926
8.572,0.29,4.345,-0.0010660981,-0.0010660981,0.0,550.0,-0.033044815,-0.033631273,-0.07476497,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:39,69.53743600041808
8.582,0.295,4.319,0.0,0.0010660981,0.0,550.0,-0.018080711,-0.043208078,-0.06877947,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:40,69.00039845446857
8.569,0.293,4.339,0.0,0.0010660981,0.0,550.0,-0.035438538,-0.032434173,-0.05980134,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:41,79.32712854993197
8.579,0.304,4.355,0.0021321962,0.0010660981,0.0,550.0,-0.02586174,-0.025251567,-0.06578684,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:42,69.69990971786133
8.588,0.31,4.342,0.0010660981,0.0,0.0,550.0,-0.021672249,-0.025850117,-0.06458974,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:43,69.80335831882432
8.585,0.307,4.328,0.0,-0.0010660981,0.0,550.0,-0.021672249,-0.024054468,-0.084341764,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:44,72.996366728316
8.586,0.301,4.334,0.0,0.0010660981,0.0,550.0,-0.021672249,-0.023455918,-0.05740714,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:45,71.7838387076524
8.593,0.29,4.333,0.0,0.0010660981,0.0,550.0,-0.018679619,-0.033032723,-0.06997657,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:46,75.31882283441095
8.586,0.298,4.357,0.0,0.0,-0.0010660981,550.0,-0.01688385,-0.032434173,-0.054414272,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:47,60.59100086402043
8.585,0.298,4.346,0.0,0.0010660981,0.0,550.0,-0.0073070526,-0.027645767,-0.06638527,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:49,68.53722856713753
8.572,0.305,4.347,-0.0010660981,0.0,0.0,550.0,-0.016284943,-0.037821125,-0.06399107,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:50,53.60890501671254
8.584,0.305,4.34,-0.0010660981,0.0,0.0,550.0,-0.023468018,-0.036025476,-0.05680847,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:51,69.09342775285236
8.573,0.301,4.346,0.0,0.0010660981,-0.0010660981,550.0,-0.023468018,-0.023455918,-0.07057524,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:52,52.2267631543844
8.574,0.295,4.355,0.0,0.0010660981,0.0,550.0,-0.028256416,-0.042010978,-0.078954935,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:53,72.92818820687603
8.591,0.298,4.333,0.0,0.0010660981,0.0,550.0,-0.010897636,-0.031237073,-0.078356266,0.14868866,-0.53800493,0.21268867,2017-05-12 11:02:54,77.55653416090414
