ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
12.718,-0.239,2.882,9.0,2017-05-21 19:46:19,-Infinity
8.198,-4.606,-0.067,9.0,2017-05-21 19:46:19,-Infinity
8.581,-4.606,-0.22,9.0,2017-05-21 19:46:19,-Infinity
8.504,-4.223,-1.024,9.0,2017-05-21 19:46:20,-Infinity
7.929,-5.066,0.086,9.0,2017-05-21 19:46:21,-Infinity
8.466,-4.874,0.584,9.0,2017-05-21 19:46:22,-Infinity
8.696,-4.683,0.162,9.0,2017-05-21 19:46:23,-Infinity
8.466,-5.219,1.81,9.0,2017-05-21 19:46:24,-Infinity
8.81,-4.683,1.082,6.0,2017-05-21 19:46:25,-Infinity
9.002,-4.146,1.312,9.0,2017-05-21 19:46:26,-Infinity
8.619,-4.031,1.35,9.0,2017-05-21 19:46:27,-Infinity
9.155,-2.039,3.763,9.0,2017-05-21 19:46:28,-Infinity
2.03,-2.269,8.437,12.0,2017-05-21 19:46:29,-Infinity
-0.306,-0.086,9.854,24.0,2017-05-21 19:46:30,-Infinity
-0.268,-0.124,9.931,24.0,2017-05-21 19:46:31,-Infinity
-0.268,-0.009,9.816,24.0,2017-05-21 19:46:32,-Infinity
-0.344,-0.009,9.931,24.0,2017-05-21 19:46:33,-Infinity
-0.268,-0.009,9.893,24.0,2017-05-21 19:46:34,-Infinity
-0.306,-0.047,9.778,24.0,2017-05-21 19:46:35,-Infinity
-0.268,-0.086,9.931,24.0,2017-05-21 19:46:36,-Infinity
-0.344,-0.047,9.816,24.0,2017-05-21 19:46:37,-Infinity
-0.268,-0.009,9.854,24.0,2017-05-21 19:46:38,-Infinity
-0.306,-0.124,10.084,24.0,2017-05-21 19:46:39,-Infinity
-0.229,-0.009,9.854,24.0,2017-05-21 19:46:40,-Infinity
-0.306,-0.086,9.816,24.0,2017-05-21 19:46:41,-Infinity
-0.344,-0.124,9.816,24.0,2017-05-21 19:46:42,-Infinity
-0.268,-0.086,9.854,24.0,2017-05-21 19:46:43,-Infinity
-0.268,-0.086,9.893,24.0,2017-05-21 19:46:44,-Infinity
-0.229,-0.047,9.854,24.0,2017-05-21 19:46:45,-Infinity
-0.306,-0.009,9.893,24.0,2017-05-21 19:46:46,-Infinity
-0.268,-0.086,9.854,24.0,2017-05-21 19:46:47,-Infinity
-0.383,-0.086,9.701,24.0,2017-05-21 19:46:48,-Infinity
-0.306,-0.047,9.893,24.0,2017-05-21 19:46:50,-Infinity
-0.344,-0.009,9.739,24.0,2017-05-21 19:46:51,-Infinity
-0.306,-0.047,9.893,24.0,2017-05-21 19:46:52,-Infinity
-0.344,-0.124,9.816,24.0,2017-05-21 19:46:53,-Infinity
-0.383,-0.047,9.854,24.0,2017-05-21 19:46:54,-Infinity
-0.344,0.067,9.931,24.0,2017-05-21 19:46:55,-Infinity
-0.344,-0.009,10.084,24.0,2017-05-21 19:46:56,-Infinity
-0.344,-0.009,9.893,24.0,2017-05-21 19:46:57,-Infinity
-0.306,-0.009,9.893,24.0,2017-05-21 19:46:58,-Infinity
-0.268,-0.086,9.739,24.0,2017-05-21 19:46:59,-Infinity
-0.306,-0.086,9.893,24.0,2017-05-21 19:47:00,-Infinity
-0.268,-0.086,9.893,24.0,2017-05-21 19:47:01,-Infinity
-0.306,-0.047,9.893,24.0,2017-05-21 19:47:02,-Infinity
-0.306,-0.009,9.778,24.0,2017-05-21 19:47:03,-Infinity
-0.268,-0.047,9.778,24.0,2017-05-21 19:47:04,-Infinity
-0.268,-0.047,9.778,21.0,2017-05-21 19:47:05,-Infinity
-0.306,-0.047,9.854,21.0,2017-05-21 19:47:06,-Infinity
-0.306,0.028,9.739,21.0,2017-05-21 19:47:07,-Infinity
-0.268,-0.009,9.931,21.0,2017-05-21 19:47:08,-Infinity
-0.306,-0.047,9.893,21.0,2017-05-21 19:47:09,-Infinity
-0.268,-0.086,9.854,21.0,2017-05-21 19:47:10,-Infinity
-0.306,-0.086,9.816,21.0,2017-05-21 19:47:11,-Infinity
-0.383,0.028,9.816,21.0,2017-05-21 19:47:12,-Infinity
-0.344,-0.047,9.931,21.0,2017-05-21 19:47:13,-Infinity
-0.306,-0.009,9.701,21.0,2017-05-21 19:47:14,-Infinity
-0.344,-0.009,9.816,21.0,2017-05-21 19:47:15,-Infinity
-0.306,-0.047,9.854,21.0,2017-05-21 19:47:16,-Infinity
-0.268,-0.047,9.778,21.0,2017-05-21 19:47:17,-Infinity
-0.306,0.067,9.778,21.0,2017-05-21 19:47:18,-Infinity
-0.344,-0.086,9.893,21.0,2017-05-21 19:47:19,-Infinity
-0.344,-0.047,9.816,21.0,2017-05-21 19:47:20,-Infinity
-0.306,-0.047,9.854,21.0,2017-05-21 19:47:21,-Infinity
-0.306,-0.086,9.854,21.0,2017-05-21 19:47:22,-Infinity
-0.306,-0.047,9.778,21.0,2017-05-21 19:47:23,-Infinity
-0.268,-0.086,9.854,21.0,2017-05-21 19:47:24,-Infinity
-0.306,-0.047,9.816,21.0,2017-05-21 19:47:25,-Infinity
-0.344,-0.047,9.854,21.0,2017-05-21 19:47:26,-Infinity
-0.268,-0.086,9.931,21.0,2017-05-21 19:47:27,-Infinity
-0.306,-0.009,9.969,21.0,2017-05-21 19:47:28,-Infinity
-0.306,-0.047,9.893,21.0,2017-05-21 19:47:29,-Infinity
-0.268,-0.047,9.854,21.0,2017-05-21 19:47:30,-Infinity
-0.306,-0.086,9.893,21.0,2017-05-21 19:47:31,-Infinity
-0.268,-0.009,9.816,21.0,2017-05-21 19:47:32,-Infinity
-0.268,-0.124,9.739,21.0,2017-05-21 19:47:33,-Infinity
-0.229,-0.086,9.893,21.0,2017-05-21 19:47:34,-Infinity
-0.306,-0.086,9.854,21.0,2017-05-21 19:47:35,-Infinity
-0.383,-0.009,9.854,21.0,2017-05-21 19:47:36,-Infinity
-0.344,-0.086,9.778,21.0,2017-05-21 19:47:38,-Infinity
-0.268,-0.047,9.739,21.0,2017-05-21 19:47:39,-Infinity
-0.383,-0.086,9.816,21.0,2017-05-21 19:47:40,-Infinity
-0.306,-0.162,9.969,21.0,2017-05-21 19:47:41,-Infinity
-0.268,-0.047,9.778,21.0,2017-05-21 19:47:42,-Infinity
-0.344,0.028,9.893,21.0,2017-05-21 19:47:43,-Infinity
-0.344,-0.086,9.816,21.0,2017-05-21 19:47:44,-Infinity
