ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
8.676587,-0.78529817,4.4244847,-0.4800438,-0.46896008,-0.34300068,7.6082506,-0.3446633,6.1778736,0.6048186,-0.3227337,-0.7024937,-0.42852595,-0.03716995,-0.89493567,2017-05-31 19:57:36,73.49593655277987
9.385271,-0.019153614,3.016694,0.015482489,-0.19849345,-0.0033112424,9.28899,0.005755641,3.1440456,0.10905007,-0.04661668,-0.14756928,-0.5808781,-0.047737677,-0.80990034,2017-05-31 19:57:37,56.47991720146595
9.433155,-0.019153614,3.0550013,-0.040943287,-0.0049827164,-0.0135029545,9.329488,0.018306753,3.021707,0.06855148,-0.018306753,-0.0116102155,-0.585907,-0.05146652,-0.8057775,2017-05-31 19:57:38,55.08472133260267
9.375694,0.02873042,2.9975405,-0.043830406,0.0031943698,-0.017602004,9.333278,0.0105579635,3.0100179,0.09200302,-0.0105579635,0.05456016,-0.58632547,-0.05248039,-0.80523586,2017-05-31 19:57:39,51.04828680844663
9.346964,0.009576807,3.0358477,-0.041933667,-0.006659139,-0.0075426684,9.3316145,-9.815949E-4,3.0151906,0.06642579,9.815949E-4,-0.005093706,-0.5863286,-0.049868736,-0.805621,2017-05-31 19:57:40,50.205141445979166
9.299079,0.038307227,3.0454245,0.0,0.0,-0.0,9.327523,0.008284283,3.02781,0.016035331,0.005336065,0.009527551,-0.58555514,-0.05243977,-0.80577403,2017-05-31 19:57:41,55.693955067416205
9.337387,0.0,2.9975405,-0.03886152,-6.7355216E-4,-0.010515546,9.331236,0.014656847,3.0163245,-0.0012976906,0.012583848,0.0073927213,-0.5861506,-0.05135843,-0.8055965,2017-05-31 19:57:42,51.24189975161055
9.394848,0.0,3.083732,-0.0027183825,-0.0040544737,-1.1617484E-4,9.329687,0.011470037,3.0211263,0.0955935,-0.011470037,0.016211156,-0.58605915,-0.050001476,-0.8058805,2017-05-31 19:57:43,57.48952509383189
9.433155,-0.009576807,3.1124623,0.014570569,-0.012617074,0.0031587621,9.331023,0.019132053,3.0169566,0.14873895,-0.019132053,0.07486224,-0.5861487,-0.051067352,-0.80568326,2017-05-31 19:57:44,48.4436563658893
9.385271,0.0,3.0933087,0.0037199557,0.0059810407,-0.006764355,9.333401,0.005798822,3.009649,0.064639285,0.13040465,0.02768857,-0.58645946,-0.051147003,-0.8053488,2017-05-31 19:57:45,51.053163801989555
9.414001,-0.02873042,3.064578,0.007061466,-0.0017974384,0.006501719,9.329521,0.0023981107,3.0216572,0.06851823,0.011222237,0.015680151,-0.5861204,-0.04900217,-0.8059464,2017-05-31 19:57:46,55.66644075448038
