ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.7661445,0.10534488,9.816227,-0.0022000268,-3.3382754E-4,-0.039905578,0.76211727,0.10195258,9.776461,6.2219106E-4,-0.0066101504,0.084670775,0.033020396,-0.02118779,0.7620123,2017-06-02 09:47:40,71.52972234431587
0.7086837,0.10534488,9.854534,0.0070140124,-0.0018593507,0.006535585,0.7586853,0.09883537,9.776759,0.05853558,0.023747753,0.016270595,0.03281501,-0.021147167,0.7629728,2017-06-02 09:47:41,53.11878616734437
0.79487497,0.08619126,9.998186,-0.0026909208,-8.951026E-4,0.00397487,0.7611768,0.092630364,9.776627,0.056044012,0.0027120712,0.12536639,0.032721948,-0.021449424,0.76339704,2017-06-02 09:47:42,61.78017780609117
0.7469909,0.11492168,9.883265,0.006104077,0.004884419,0.026038058,0.76113456,0.095830046,9.776598,-0.025635831,-0.014107962,0.11177347,0.03275654,-0.021429362,0.76130754,2017-06-02 09:47:43,63.185464497425954
0.78529817,0.08619126,9.825804,-0.0,-0.0,-0.0,0.7578305,0.08468621,9.7769575,0.018529292,0.024276564,0.13865504,0.032326568,-0.021653408,0.7633107,2017-06-02 09:47:44,62.73777545185962
0.79487497,0.12449849,9.844957,-0.003205506,0.004805335,-0.0037838102,0.7583684,0.10364515,9.776734,0.004371081,-0.0083027175,0.04353623,0.032984633,-0.020912359,0.7636954,2017-06-02 09:47:45,59.680826674346775
0.7278373,0.095768064,9.835381,-0.0010736566,0.00390408,0.0027289703,0.7647775,0.10135749,9.776258,-0.002037981,-0.019635404,0.07125244,0.03308207,-0.02133358,0.76132977,2017-06-02 09:47:46,55.952582901838966
0.78529817,0.10534488,9.854534,-0.0039048977,-8.331902E-4,0.056592554,0.7686252,0.103233136,9.775938,-0.019506145,0.019349994,0.017091941,0.03324915,-0.021457545,0.7599692,2017-06-02 09:47:47,61.85497684668471
0.7757214,0.10534488,9.844957,-0.0,0.0,-0.0,0.7641328,0.10249954,9.776298,-0.0013932923,-0.020777455,0.043973505,0.033135,-0.021205042,0.76255673,2017-06-02 09:47:48,62.493408063196355
0.7469909,0.12449849,9.787497,0.004302964,0.0021709893,0.015460651,0.76011074,0.10092391,9.776627,-0.01099161,-0.0055814763,-0.024458269,0.032879066,-0.021206778,0.761125,2017-06-02 09:47:49,58.52850350780017
0.7757214,0.12449849,9.77792,-7.6894986E-4,-0.0046092025,0.018324627,0.74991745,0.099335566,9.77743,0.01282202,0.009627212,0.05646076,0.032462332,-0.020880466,0.7621499,2017-06-02 09:47:50,57.65244726995049
0.78529817,0.10534488,9.844957,0.011565576,0.015512423,0.049385697,0.75707906,0.09799721,9.776892,0.0056604063,-0.002654775,0.097859666,0.03265351,-0.021236693,0.7608023,2017-06-02 09:47:51,57.93989563747984
0.7661445,0.08619126,9.80665,0.004526342,0.0015620914,0.046332337,0.7574294,0.10512159,9.776791,-0.035550985,-0.009779155,0.09796108,0.032948695,-0.02089951,0.7622161,2017-06-02 09:47:52,56.98099079659457
0.7278373,0.095768064,9.787497,0.0015456704,0.021272177,0.031234894,0.7654368,0.095582865,9.776265,-0.029938068,-0.013860787,0.08486697,0.03297955,-0.021483937,0.76321095,2017-06-02 09:47:53,61.746993337550116
0.7565677,0.06703765,10.0269165,-0.003276447,-0.00207623,-0.027780136,0.74515027,0.10072615,9.7777815,0.044829868,-0.046244755,0.17869307,0.032289494,-0.020720236,0.76112777,2017-06-02 09:47:54,67.14211258686302
0.7182605,0.1340753,9.902418,0.0,0.0,-0.0,0.7425331,0.10283064,9.777958,0.006585977,0.019752482,0.09679392,0.0322959,-0.020490991,0.7623504,2017-06-02 09:47:55,67.3317584988695
0.7565677,0.095768064,9.844957,7.7248225E-4,0.00982602,0.056927342,0.7421887,0.10263481,9.777986,-0.006689892,0.019948317,0.028663917,0.032243527,-0.020538311,0.76132715,2017-06-02 09:47:56,66.3247486860747
0.7757214,0.10534488,9.797073,-0.00542468,-0.0023003442,-0.03671663,0.75206393,0.094721675,9.777312,-0.016565142,0.014241103,0.015717767,0.03236778,-0.021170624,0.7613546,2017-06-02 09:47:57,65.64126829858834
0.7374141,0.12449849,9.854534,-0.0056806635,-0.010148555,-0.047170814,0.73899627,0.10561383,9.778197,0.023743177,-0.010271395,0.04207394,0.032190986,-0.020359201,0.7604803,2017-06-02 09:47:58,62.34381215371804
0.7565677,0.10534488,9.816227,0.0041851713,0.0015837747,0.023498528,0.7423856,0.10729203,9.777922,-0.006886863,-0.011949596,0.042349104,0.032395806,-0.020378675,0.76102895,2017-06-02 09:47:59,59.962483300300065
0.7565677,0.1340753,9.854534,0.0014801887,0.0017570615,0.02000084,0.75013566,0.1014256,9.777392,-0.014636896,0.021157524,0.042877827,0.032558337,-0.020777373,0.76272404,2017-06-02 09:48:00,63.92416719849009
0.7469909,0.12449849,9.844957,0.006165743,0.004321127,0.015146415,0.7441791,0.102447644,9.777837,-0.03592103,-0.0071052145,0.09691529,0.03220944,-0.020775765,0.75801784,2017-06-02 09:48:01,63.1498390073778
0.7086837,0.1340753,9.864111,-0.004240892,0.0011338128,-0.02592573,0.7363163,0.100387104,9.778453,-0.028058298,0.04943672,0.0826781,0.031920604,-0.020462582,0.7607034,2017-06-02 09:48:02,62.806807698788916
0.7278373,0.12449849,9.80665,0.0023754989,0.02035137,-0.0030548787,0.74158704,0.099844635,9.778061,-0.04694932,-0.004502202,0.06945014,0.0320652,-0.02072414,0.7593633,2017-06-02 09:48:03,67.30106539366525
0.7182605,0.10534488,9.854534,0.0021446352,-0.0031384465,0.033614893,0.76328576,0.10437443,9.776343,0.0130740665,0.004588354,0.084787995,0.033084534,-0.021228129,0.76013404,2017-06-02 09:48:04,59.83292976069091
0.80445176,0.10534488,9.797073,8.396844E-4,-8.402774E-4,0.019495096,0.75040513,0.10874216,9.777293,0.05319539,-0.013399736,0.0565971,0.03269897,-0.020678135,0.759227,2017-06-02 09:48:05,66.01136528024402
0.7469909,0.11492168,9.825804,-4.1076588E-4,0.0017771774,0.0344785,0.73228115,0.10931399,9.778662,-0.010402723,0.026889488,0.027988885,0.03206221,-0.019977178,0.7608096,2017-06-02 09:48:06,54.65700257497119
0.7278373,0.08619126,9.825804,-0.0015182879,-0.0014181829,0.012750551,0.7514139,0.10449587,9.777261,0.011325592,0.0044669164,0.043009173,0.032589767,-0.020887895,0.7589939,2017-06-02 09:48:07,59.280556326495535
0.7757214,0.10534488,9.864111,0.004059418,0.0019325111,-0.008669137,0.7420044,0.09434554,9.778084,0.034355443,0.028237589,0.11028874,0.031951718,-0.020870676,0.7609995,2017-06-02 09:48:08,62.17477632915093
0.7182605,0.10534488,9.844957,0.002976431,3.8863177E-4,0.00929286,0.73710287,0.10491284,9.778347,-0.015224432,-0.00957041,0.055543814,0.03208823,-0.02033299,0.7602949,2017-06-02 09:48:09,61.30707127354996
0.7278373,0.12449849,9.873688,-7.836099E-4,-0.0021906497,-0.02478862,0.74006915,0.102199525,9.778151,-0.031811085,-0.02047744,0.0829807,0.031980935,-0.020742798,0.756104,2017-06-02 09:48:10,65.73252754739747
0.7278373,0.10534488,9.892841,0.007848067,-0.008223023,0.007843765,0.72230756,0.1039897,9.779461,0.040431872,0.032213774,0.0408095,0.03153685,-0.019791914,0.76209337,2017-06-02 09:48:11,58.62623514547546
