ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-8.475,2.528,-4.099,0.0,2017-06-04 09:44:58,-1.0993282798334167
-8.351,2.949,-3.744,0.0,2017-06-04 09:44:59,17.481501578815543
-6.167,7.307,0.488,0.0,2017-06-04 09:45:00,34.54848282683169
0.747,8.964,-1.321,0.0,2017-06-04 09:45:01,47.34179889406285
-0.622,3.275,9.5,0.0,2017-06-04 09:45:02,55.66334209754858
0.833,1.561,2.221,0.0,2017-06-04 09:45:03,33.01156151761204
-1.235,2.221,9.567,0.0,2017-06-04 09:45:04,66.69875986529432
-1.245,2.25,9.596,2.0,2017-06-04 09:45:05,55.65029781222964
-1.225,2.212,9.567,2.0,2017-06-04 09:45:06,54.40540332133513
-1.216,2.221,9.596,3.0,2017-06-04 09:45:07,41.85330100571583
-1.264,2.202,9.596,2.0,2017-06-04 09:45:08,49.02678118542955
-1.245,2.241,9.567,1.0,2017-06-04 09:45:09,44.459598891373574
-1.245,2.202,9.538,0.0,2017-06-04 09:45:10,52.30156667219986
-1.216,2.221,9.567,1.0,2017-06-04 09:45:11,53.961172226958745
-1.235,2.212,9.567,2.0,2017-06-04 09:45:13,52.154073751444734
-1.235,2.26,9.548,2.0,2017-06-04 09:45:14,53.99200752438554
-1.216,2.231,9.586,5.0,2017-06-04 09:45:15,50.652747987101634
-1.225,2.202,9.557,3.0,2017-06-04 09:45:16,54.64073927727022
-1.225,2.241,9.548,3.0,2017-06-04 09:45:17,48.770647437603415
-1.225,2.221,9.557,2.0,2017-06-04 09:45:18,53.615449870663
-1.206,2.241,9.567,0.0,2017-06-04 09:45:19,56.07050218807519
-1.225,2.212,9.596,0.0,2017-06-04 09:45:20,51.677623790829664
-1.245,2.221,9.586,0.0,2017-06-04 09:45:21,57.54796018115662
-1.225,2.231,9.586,1.0,2017-06-04 09:45:22,48.95866636765674
-1.235,2.202,9.548,2.0,2017-06-04 09:45:23,54.91745239684525
-1.225,2.241,9.567,1.0,2017-06-04 09:45:24,34.69111508538799
-1.206,2.231,9.557,2.0,2017-06-04 09:45:25,53.42812807660714
-1.245,2.212,9.567,2.0,2017-06-04 09:45:26,50.51360583349726
-1.235,2.231,9.538,2.0,2017-06-04 09:45:27,50.09589852381748
-1.235,2.202,9.596,3.0,2017-06-04 09:45:28,48.630753384180785
-1.235,2.241,9.567,3.0,2017-06-04 09:45:29,54.35451091170735
-1.225,2.231,9.567,2.0,2017-06-04 09:45:30,58.39982575870966
-1.254,2.241,9.596,3.0,2017-06-04 09:45:31,49.747351392745855
-1.235,2.212,9.567,3.0,2017-06-04 09:45:32,54.561081950958084
-1.235,2.221,9.577,3.0,2017-06-04 09:45:33,43.17538296875718
-1.225,2.241,9.577,1.0,2017-06-04 09:45:34,56.85946726987092
-1.225,2.25,9.557,2.0,2017-06-04 09:45:35,40.54918878640286
-1.235,2.231,9.567,2.0,2017-06-04 09:45:36,47.8817461540568
-1.225,2.231,9.615,3.0,2017-06-04 09:45:37,37.5979314358373
-1.245,2.183,9.567,1.0,2017-06-04 09:45:38,46.9056442839147
-1.225,2.221,9.577,2.0,2017-06-04 09:45:39,48.04712961246952
-1.235,2.202,9.663,2.0,2017-06-04 09:45:40,50.25972303621677
-1.245,2.221,9.577,2.0,2017-06-04 09:45:41,62.541425980033
-1.216,2.202,9.557,2.0,2017-06-04 09:45:42,55.785878497645704
-1.235,2.231,9.538,5.0,2017-06-04 09:45:43,50.92640651425114
-1.235,2.183,9.577,1.0,2017-06-04 09:45:44,55.74306429371007
-1.225,2.193,9.596,0.0,2017-06-04 09:45:45,31.196401949037185
-1.245,2.231,9.567,2.0,2017-06-04 09:45:46,55.280377124233326
-1.216,2.193,9.577,5.0,2017-06-04 09:45:47,48.868879894089105
-1.216,2.221,9.605,5.0,2017-06-04 09:45:48,39.42419177893499
-1.225,2.231,9.586,3.0,2017-06-04 09:45:49,52.607148678178596
-1.206,2.231,9.548,3.0,2017-06-04 09:45:50,51.625285273025256
-1.216,2.25,9.548,3.0,2017-06-04 09:45:51,49.35066508043611
