ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.7653809,3.3148804,8.971344,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-13 21:15:33,44.08485617860373
2.7598877,3.3507843,8.853973,12.0,2.720164,3.334702,8.811973,0.012696505,-0.017050743,-0.045553207,0.15802045,0.16044934,0.9700551,2017-06-13 21:15:34,46.090558757638306
2.8293152,3.4092407,8.930939,12.0,2.7762275,3.3639426,8.783327,0.045274496,-0.02935481,0.024638176,0.16084754,0.16226296,0.9694477,2017-06-13 21:15:35,48.9664683905012
2.8456879,3.4108582,8.858597,12.0,2.792833,3.3984282,8.764768,0.0179739,-0.008366346,0.01884365,0.16483274,0.16129114,0.9669185,2017-06-13 21:15:36,45.287843158496486
2.8308563,3.4510803,8.843277,12.0,2.813521,3.4075592,8.754601,-0.02382636,0.009762764,-0.03436756,0.16271088,0.16482039,0.9690593,2017-06-13 21:15:37,47.453851211723226
2.7554474,3.49057,8.92424,12.0,2.7413042,3.4358964,8.766428,-0.029438019,0.015496254,0.0074949265,0.15944324,0.16665475,0.9692405,2017-06-13 21:15:38,48.44675880972726
2.6777344,3.5355835,8.864273,12.0,2.6699657,3.4898844,8.767119,-0.021220684,0.007807493,0.001964569,0.15613286,0.16918589,0.96900284,2017-06-13 21:15:39,47.83643730682176
2.686432,3.5805511,8.82782,12.0,2.6583557,3.515274,8.760501,9.992123E-4,0.029471874,-0.021912575,0.15569805,0.17057805,0.9688194,2017-06-13 21:15:40,48.47560282498367
2.7438965,3.707489,8.724487,12.0,2.686952,3.6227763,8.707822,0.048471212,0.018466711,0.004504204,0.1556279,0.17587762,0.96823716,2017-06-13 21:15:41,47.35104124001293
2.7293854,4.113098,8.647446,9.0,2.7799504,3.8196251,8.593761,0.07016063,0.12719607,-0.038306236,0.1783946,0.17568056,0.95356786,2017-06-13 21:15:42,48.139750353953545
-4.0128937,-3.112152,7.6553955,0.0,-3.733563,-0.7789938,9.034604,-1.2478375,-1.8518624,-1.1192684,-0.21270727,-0.012235207,0.94236183,2017-06-13 21:15:43,49.47587149992425
-0.07797241,0.4232025,9.768936,0.0,-0.3893676,-0.02588521,9.798883,0.5108157,0.6560321,0.04014969,-0.025556875,0.0029651478,0.9081382,2017-06-13 21:15:44,56.43369463182262
