ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.141,1.953,8.772,81.0,2.485068,2.1040235,9.065749,0.5789318,-0.22702348,0.089250565,0.0706494,-0.1563349,-0.27047223,2017-07-13 14:54:31,46.07860152672452
7.7,0.881,4.98,39.0,4.4401755,0.6035403,8.696181,3.2598243,0.27745968,-3.7161813,-0.013517875,-0.23527434,-0.18592153,2017-07-13 14:54:32,72.33500248019658
6.014,0.153,6.933,36.0,6.5333476,0.3893598,6.561625,-0.40434742,-0.3133598,0.37137508,-0.02785531,-0.38107854,-0.12208087,2017-07-13 14:54:33,72.46363465211252
5.861,-0.076,6.589,36.0,5.9944963,0.09297345,7.101031,-0.13349628,-0.16897345,-0.5120306,-0.066141725,-0.3370138,-0.1951395,2017-07-13 14:54:34,60.818761048991135
6.205,0.153,6.665,36.0,5.8241253,0.017568601,7.076811,0.03687477,-0.017568601,0.1251893,-0.057535663,-0.3325997,-0.16324914,2017-07-13 14:54:35,44.038341002079946
3.486,-0.727,8.274,57.0,3.763699,-0.41196406,8.709781,-0.277699,-0.31503594,-0.43578053,-0.07113683,-0.19076528,-0.2402359,2017-07-13 14:54:36,41.17807422405295
-0.727,-4.788,7.355,83.0,0.30628595,-2.040775,9.751212,-0.957286,-2.7852252,-0.4432125,-0.102691896,0.016983574,-0.30611748,2017-07-13 14:54:37,39.23405537198783
-3.179,-2.796,8.772,113.0,-0.82229495,-3.021466,9.128709,-2.356705,0.22546601,-0.35670853,-0.13906413,0.087819815,-0.2891847,2017-07-13 14:54:38,38.15151932397633
-0.689,-0.766,9.04,106.0,-0.51055235,-1.8288922,6.8891344,-0.37044764,1.4848922,3.0318651,-0.0676535,0.11574731,-0.6895861,2017-07-13 14:54:39,38.562612856463915
-0.727,0.498,9.845,105.0,-0.6760152,0.5564768,9.789363,0.025015175,-0.09747678,-0.021363258,0.044524383,0.0023795885,-0.7362825,2017-07-13 14:54:41,45.68932662360541
-0.689,0.574,9.73,106.0,-0.70771414,0.58438283,9.759881,-0.058285832,0.027617157,0.08511925,0.046795778,0.0025254101,-0.73481256,2017-07-13 14:54:42,37.14706060767169
-0.727,0.651,9.692,106.0,-0.69265294,0.5574401,9.762442,0.0036529303,-0.21344009,0.08255863,0.045300424,0.0029449067,-0.73594284,2017-07-13 14:54:43,36.256167629153204
-0.612,0.536,9.807,105.0,-0.73907757,0.55687606,9.80565,-0.026922405,-0.02087605,-0.075650215,0.046804056,0.004599962,-0.73512655,2017-07-13 14:54:44,35.93313601210597
-0.651,0.498,9.807,105.0,-0.70483166,0.57777643,9.878393,-0.061168313,-0.079776436,-0.110393524,0.04590558,0.0026744267,-0.7343885,2017-07-13 14:54:45,40.672137308233154
-0.842,0.459,9.883,105.0,-0.7507792,0.5198985,9.8098345,-0.091220796,-0.060898483,0.07316589,0.04595457,0.0063804365,-0.73523086,2017-07-13 14:54:46,38.56251040275831
-0.842,0.459,9.845,102.0,-0.6919127,0.5737102,9.88246,0.040912688,-0.1527102,-0.07545948,0.045273934,0.0023638813,-0.7347462,2017-07-13 14:54:47,39.803842646950606
-0.651,0.574,9.807,102.0,-0.7343493,0.5830927,9.824894,0.0453493,0.06790733,-0.13289356,0.04742632,0.0035358272,-0.7338924,2017-07-13 14:54:48,40.31944196209488
-0.612,0.574,9.845,104.0,-0.7444176,0.53690636,9.854983,-0.021582365,0.03709364,-0.04798317,0.046078753,0.005587301,-0.73393816,2017-07-13 14:54:49,38.548753182066704
-0.689,0.498,9.807,105.0,-0.7204484,0.5703975,9.792787,-0.0065516233,0.041602492,0.014213562,0.0466307,0.0035189295,-0.73423564,2017-07-13 14:54:50,38.02713944239758
-0.727,0.612,9.845,105.0,-0.709814,0.50315386,9.877919,0.05881399,-0.0051538646,0.08208084,0.043559436,0.0055592274,-0.73533005,2017-07-13 14:54:51,36.26181019030409
-0.651,0.727,9.692,106.0,-0.6942833,0.53079975,9.816255,-0.071716666,-0.03279975,-0.08625507,0.044196535,0.0040706377,-0.73466814,2017-07-13 14:54:52,35.44370878531644
-0.766,0.612,9.692,109.0,-0.70334613,0.52052253,9.823156,0.014346123,0.13047749,-0.055156708,0.04417529,0.004521548,-0.7383376,2017-07-13 14:54:53,36.36173368764996
-0.804,0.459,9.883,109.0,-0.7451689,0.56256,9.801069,-0.058831096,0.011439979,0.043931007,0.047261707,0.0044434266,-0.737361,2017-07-13 14:54:54,35.540836060012
-0.727,0.498,9.807,109.0,-0.6731149,0.5722868,9.844002,-0.015885115,0.0017132163,0.15399837,0.044709574,0.0016781894,-0.73635167,2017-07-13 14:54:55,35.86693046037744
-0.766,0.498,9.768,107.0,-0.69986254,0.4746142,9.8487625,0.048862517,0.06138581,-0.041762352,0.042363852,0.0061787358,-0.73729676,2017-07-13 14:54:56,37.5498098684417
-0.651,0.498,9.768,107.0,-0.725807,0.5634043,9.856168,-0.15519297,-0.14240432,-0.011167526,0.046293467,0.0039290716,-0.73444396,2017-07-13 14:54:57,37.32774511604124
