ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.39227295,3.8638153,9.041733,0.013137817,-0.007843018,0.0064086914,86.0,36.40222,0.3995523,3.8647983,9.004114,-0.007909983,-0.0070831776,0.0037984848,0.19754882,-0.043501616,-0.11114009,2017-07-20 16:04:03,50.048337324225535
0.39227295,3.8442078,8.943665,-0.017074585,-0.015655518,0.0015258789,84.0,36.40222,0.37436783,3.870966,9.002547,-0.022228807,-0.036101103,-0.061003685,0.19769953,-0.04373473,-0.11849642,2017-07-20 16:04:04,46.85283566307861
0.58839417,3.7069092,8.982895,-0.042922974,-0.02645874,-0.10493469,83.0,36.40222,0.46128926,3.8216362,9.019573,0.1641747,-0.07378864,-0.020085335,0.19399858,-0.049943183,-0.12879959,2017-07-20 16:04:05,44.11065262015132
0.37265015,3.8442078,9.06134,0.02558899,0.01689148,0.007446289,77.0,36.40222,0.4278484,3.8324862,9.016617,-0.056564182,0.019093752,0.094397545,0.19481477,-0.048246097,-0.12854058,2017-07-20 16:04:06,67.42810537917494
0.2745819,3.9030457,9.041733,-0.002670288,6.4086914E-4,0.002319336,77.0,36.502228,0.41454017,3.848795,9.01029,-0.06239274,0.045939445,0.031593323,0.1957205,-0.047922477,-0.12972742,2017-07-20 16:04:07,55.496403476045025
0.3530426,3.8638153,8.963272,-0.00340271,-0.0035705566,-6.1035156E-5,77.0,36.502228,0.3847827,3.8427515,9.014188,-0.012800902,0.03401208,0.051117897,0.19543086,-0.047022242,-0.13312486,2017-07-20 16:04:08,43.0307697922887
0.4118805,3.9030457,8.943665,0.0025787354,9.1552734E-5,0.0021972656,76.0,36.502228,0.38843766,3.8666184,9.003819,-0.03710705,-2.219677E-4,-0.0017700195,0.19674577,-0.047160074,-0.13194133,2017-07-20 16:04:09,54.461971136329055
0.37265015,3.883438,9.06134,8.087158E-4,0.0019226074,0.0015869141,76.0,36.502228,0.3955761,3.8381572,9.015678,-0.004569322,-0.065072775,-0.0028038025,0.19516718,-0.047308654,-0.1319574,2017-07-20 16:04:10,42.03633334210437
0.31381226,3.9030457,9.139801,0.0012969971,-9.1552734E-5,0.0015258789,76.0,36.502228,0.3716953,3.8536165,9.010098,-0.019660443,0.019373655,0.04643631,0.19610688,-0.046421263,-0.13307072,2017-07-20 16:04:11,46.24780813908509
0.39227295,3.883438,9.06134,0.0019073486,0.0011444092,-4.8828125E-4,77.0,36.502228,0.40183768,3.8658772,9.00355,-0.0104293525,0.009242773,0.038417816,0.19665135,-0.047696643,-0.13120082,2017-07-20 16:04:12,44.99810928218576
0.37265015,3.9030457,9.080963,4.4250488E-4,-0.002166748,-3.0517578E-4,76.0,36.502228,0.3700486,3.870337,9.002996,4.7382712E-4,0.010454893,0.026201248,0.19702421,-0.046437044,-0.13291602,2017-07-20 16:04:13,45.26484906421398
