ACC_X,ACC_Y,ACC_Z,TIME,VOICE
3.0669725,3.0561984,-8.674192,2017-09-23 15:31:44,43.55194108331274
3.132813,3.0550013,-8.626308,2017-09-23 15:31:45,64.5444888679445
3.1376014,3.0538042,-8.593987,2017-09-23 15:31:46,70.5777288183923
3.1471782,3.0478187,-8.610746,2017-09-23 15:31:47,55.96339001988412
3.108871,3.0538042,-8.544906,2017-09-23 15:31:48,64.63067263723659
3.1364043,3.0322564,-8.619126,2017-09-23 15:31:49,65.0597426327858
3.107674,3.0466216,-8.611943,2017-09-23 15:31:50,56.22291326204546
3.1112652,3.015497,-8.449138,2017-09-23 15:31:51,64.4908799102943
3.122039,3.0597897,-8.580819,2017-09-23 15:31:52,63.61489208854267
3.1016884,3.0430303,-8.578424,2017-09-23 15:31:53,57.724511596359804
3.1112652,3.0585926,-8.620323,2017-09-23 15:31:54,61.936508188537715
3.1004913,3.0370448,-8.649054,2017-09-23 15:31:55,67.42188859945617
3.0178912,3.0454245,-8.579621,2017-09-23 15:31:56,60.73443386523894
3.0969,3.0478187,-8.598776,2017-09-23 15:31:57,62.537297815289165
3.0813377,3.0454245,-8.525752,2017-09-23 15:31:58,67.79175224373316
3.107674,3.0478187,-8.632295,2017-09-23 15:31:59,69.70260105368011
3.1064768,3.0561984,-8.672996,2017-09-23 15:32:00,67.92276620913286
3.1256304,3.0478187,-8.665813,2017-09-23 15:32:01,66.11953099084785
3.108871,3.039439,-8.560468,2017-09-23 15:32:02,68.62602549490579
3.1136594,3.05141,-8.596381,2017-09-23 15:32:03,70.41938179159116
3.1316159,3.052607,-8.6334915,2017-09-23 15:32:04,69.10209449063909
3.1316159,3.0538042,-8.619126,2017-09-23 15:32:05,65.06071652948307
3.1244333,3.0561984,-8.602366,2017-09-23 15:32:06,68.22519139378257
3.083732,3.0550013,-8.640674,2017-09-23 15:32:07,71.11572255336617
3.1172507,3.0657754,-8.683769,2017-09-23 15:32:08,68.85713109460687
3.1268275,3.0813377,-8.7292595,2017-09-23 15:32:09,67.95573434706174
3.144784,3.0609868,-8.725668,2017-09-23 15:32:10,52.50234712860471
3.169923,3.0597897,-8.62152,2017-09-23 15:32:11,68.09621187151276
3.122039,3.0538042,-8.564059,2017-09-23 15:32:12,65.59890047988002
3.1136594,3.0550013,-8.596381,2017-09-23 15:32:13,66.87358169979507
3.1244333,3.0502129,-8.593987,2017-09-23 15:32:14,63.26946080537293
3.1423898,3.0538042,-8.608353,2017-09-23 15:32:15,70.45799615455599
3.1316159,3.0550013,-8.607155,2017-09-23 15:32:16,68.20301733140565
3.0921116,3.0083144,-8.47308,2017-09-23 15:32:17,68.07477961758113
3.1040826,3.0490158,-8.677784,2017-09-23 15:32:18,49.166878616973534
3.1495724,3.0573955,-8.582016,2017-09-23 15:32:19,49.78058953983866
3.1387985,3.0454245,-8.599973,2017-09-23 15:32:20,48.99696775487908
3.1004913,3.0382419,-8.614338,2017-09-23 15:32:21,59.14522878037601
3.1184478,3.0430303,-8.674192,2017-09-23 15:32:22,69.30044599712879
3.1136594,3.0609868,-8.678981,2017-09-23 15:32:23,64.512385863001
3.1148565,3.0418332,-8.640674,2017-09-23 15:32:24,63.48930377023218
3.1112652,3.0550013,-8.602366,2017-09-23 15:32:25,68.35033804765092
3.120842,3.0430303,-8.623915,2017-09-23 15:32:26,67.44378570071858
3.095703,3.0442274,-8.596381,2017-09-23 15:32:27,69.59276718473694
3.1268275,3.0442274,-8.628703,2017-09-23 15:32:28,67.83897480892519
3.1519666,3.064578,-8.649054,2017-09-23 15:32:29,68.01510154221327
3.1124623,3.0466216,-8.60117,2017-09-23 15:32:30,68.74757744844233
3.1112652,3.0478187,-8.641871,2017-09-23 15:32:32,70.31120480091427
3.1016884,3.0502129,-8.628703,2017-09-23 15:32:33,67.39518127676504
3.120842,3.040636,-8.62152,2017-09-23 15:32:34,68.65297261729027
3.1423898,3.0466216,-8.568848,2017-09-23 15:32:35,69.06401150328855
3.0945058,3.0334535,-8.611943,2017-09-23 15:32:36,68.863793102939
3.110068,3.0478187,-8.620323,2017-09-23 15:32:37,67.3646996404703
3.122039,3.0334535,-8.536526,2017-09-23 15:32:38,61.865724497870815
3.1495724,3.0765493,-8.671799,2017-09-23 15:32:39,69.2577665167394
3.110068,3.052607,-8.588001,2017-09-23 15:32:40,68.78739380560373
3.1423898,3.0418332,-8.700529,2017-09-23 15:32:41,64.25851530066572
3.1268275,3.0538042,-8.603564,2017-09-23 15:32:42,69.09833964970733
3.1531637,3.0992942,-8.689755,2017-09-23 15:32:43,66.11545111168547
3.1124623,3.0430303,-8.628703,2017-09-23 15:32:44,62.16946603515495
3.1160536,3.0550013,-8.596381,2017-09-23 15:32:45,60.810058740020345
3.1028855,3.0358477,-8.566454,2017-09-23 15:32:46,65.63734229907615
3.1148565,3.0370448,-8.625112,2017-09-23 15:32:47,68.4806187548098
3.1112652,3.0442274,-8.622718,2017-09-23 15:32:48,63.763831398395396
3.0909145,3.0466216,-8.555679,2017-09-23 15:32:49,64.91711238553434
3.1184478,3.0322564,-8.550891,2017-09-23 15:32:50,70.14982715893706
3.1028855,3.016694,-8.421604,2017-09-23 15:32:51,68.84083944900465
3.1280246,3.0490158,-8.579621,2017-09-23 15:32:52,67.41415807670526
3.1136594,3.0597897,-8.614338,2017-09-23 15:32:53,63.47637188610483
3.1268275,3.0334535,-8.546103,2017-09-23 15:32:54,61.402780281982594
3.1244333,3.0418332,-8.561666,2017-09-23 15:32:55,59.184475022784525
3.0969,3.0550013,-8.516175,2017-09-23 15:32:56,69.43014591772773
3.1148565,3.0561984,-8.571242,2017-09-23 15:32:57,69.57836679217584
3.107674,3.0573955,-8.602366,2017-09-23 15:32:58,57.5775133745093
3.0933087,3.039439,-8.65025,2017-09-23 15:32:59,61.22071646023066
3.1304188,3.0538042,-8.604761,2017-09-23 15:33:00,69.14235667671049
3.122039,3.0789435,-8.700529,2017-09-23 15:33:01,63.268437223409784
3.1256304,3.040636,-8.602366,2017-09-23 15:33:02,68.93194232376324
3.1244333,3.0538042,-8.617929,2017-09-23 15:33:03,56.15183996483459
3.1052797,3.0454245,-8.603564,2017-09-23 15:33:04,64.15386746180246
3.1519666,3.0621839,-8.529344,2017-09-23 15:33:05,68.86382166803082
3.107674,3.052607,-8.607155,2017-09-23 15:33:06,61.70971306354219
3.1184478,3.0585926,-8.661025,2017-09-23 15:33:07,62.89515564745773
3.1112652,3.0466216,-8.625112,2017-09-23 15:33:08,66.23262614050941
3.1352072,3.0466216,-8.577228,2017-09-23 15:33:09,69.12377834726313
3.1112652,3.040636,-8.611943,2017-09-23 15:33:10,69.26980820494958
3.1423898,3.0466216,-8.543709,2017-09-23 15:33:11,62.3490125301483
3.157952,3.0142999,-8.49343,2017-09-23 15:33:12,64.30054439384271
3.1136594,3.05141,-8.616732,2017-09-23 15:33:13,71.84400026814535
3.108871,3.0585926,-8.586804,2017-09-23 15:33:14,63.3055600813403
3.122039,3.0454245,-8.540117,2017-09-23 15:33:15,69.7226115422539
3.1136594,3.0478187,-8.626308,2017-09-23 15:33:16,69.47541452677686
3.05141,3.0023289,-8.421604,2017-09-23 15:33:17,58.27685609730952
3.1136594,3.0538042,-8.585608,2017-09-23 15:33:18,68.8698742963202
3.1136594,3.0310593,-8.529344,2017-09-23 15:33:19,71.02927288896103
3.0825348,3.0382419,-8.645462,2017-09-23 15:33:20,55.667539400622765
3.0777464,3.0693667,-8.680179,2017-09-23 15:33:21,65.01396011254111
3.1160536,3.0107086,-8.589199,2017-09-23 15:33:22,70.56931809794003
3.1124623,3.0490158,-8.615535,2017-09-23 15:33:23,69.75430019769544
3.120842,3.0442274,-8.647857,2017-09-23 15:33:24,69.64113181720248
3.095703,3.0358477,-8.572439,2017-09-23 15:33:25,67.42642323263158
3.1028855,3.0753522,-8.625112,2017-09-23 15:33:26,70.18577600691941
3.144784,3.0478187,-8.613141,2017-09-23 15:33:27,63.26924055329905
3.1256304,3.0262709,-8.548497,2017-09-23 15:33:28,65.00954874075791
3.1112652,3.0502129,-8.578424,2017-09-23 15:33:29,66.8083511976462
3.1268275,3.0334535,-8.635885,2017-09-23 15:33:30,67.07040007636556
3.108871,3.0358477,-8.584411,2017-09-23 15:33:31,62.502581654413106
3.120842,3.0382419,-8.649054,2017-09-23 15:33:32,65.24242388366987
3.1148565,3.052607,-8.619126,2017-09-23 15:33:33,67.93953194526458
3.1148565,3.0442274,-8.6095495,2017-09-23 15:33:34,66.20999272329274
3.110068,3.027468,-8.608353,2017-09-23 15:33:35,67.67405114376628
3.0873232,3.0478187,-8.572439,2017-09-23 15:33:36,67.91622104649682
3.1040826,3.0226796,-8.504205,2017-09-23 15:33:37,65.61117312583539
3.1471782,3.0693667,-8.725668,2017-09-23 15:33:38,68.51644330028117
3.1376014,3.0478187,-8.589199,2017-09-23 15:33:39,68.86341640167133
3.1124623,3.0346506,-8.643068,2017-09-23 15:33:40,68.28286234424523
3.110068,3.052607,-8.613141,2017-09-23 15:33:41,50.76462792091404
3.1004913,3.0382419,-8.625112,2017-09-23 15:33:42,52.590485745983685
3.107674,3.0478187,-8.604761,2017-09-23 15:33:43,67.45026739482563
3.1483753,3.1411927,-9.027337,2017-09-23 15:33:44,70.25867146066338
3.1148565,3.0442274,-8.611943,2017-09-23 15:33:45,70.34204101334583
3.1280246,3.0693667,-8.622718,2017-09-23 15:33:46,64.97621326208225
