ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.87883,-0.22686768,-0.46730042,0.0013580322,0.10197449,0.011306763,5.0899963,33.291702,9.793634,-0.22813065,-0.45062378,-0.04551983,-0.009685442,-0.117168486,0.49177954,-0.5302153,0.48134306,2018-02-03 01:01:05,73.48400401767572
9.701828,-0.24401855,-0.28198242,-0.01687622,0.19926453,0.02281189,5.6600037,33.42163,9.798976,-0.24939366,-0.29707706,-0.077718735,0.03041707,-0.03666717,0.48887184,-0.5255007,0.4870975,2018-02-03 01:01:06,70.32708883215457
9.760956,-0.11946106,-0.3802185,0.08047485,-0.04675293,0.01890564,5.6600037,33.51158,9.800516,-0.25499326,-0.23507763,0.06352997,0.09470567,-0.23601386,0.49984458,-0.5129233,0.49916288,2018-02-03 01:01:07,74.02987131974608
9.795166,-0.26545715,-0.44030762,0.036102295,0.014221191,-0.006210327,5.6600037,33.601532,9.7989855,-0.19313279,-0.33611923,0.008797646,-0.038451284,-0.19577757,0.50505555,-0.5120808,0.49729487,2018-02-03 01:01:08,71.96524606126698
9.763916,-0.17884827,-0.34510803,0.0043029785,0.0057373047,-6.1035156E-5,5.6600037,33.701477,9.797226,-0.19557476,-0.38274837,-0.022032738,-0.0036224276,0.06872481,0.50718737,-0.5121286,0.4974964,2018-02-03 01:01:09,61.950709321857325
9.771393,-0.21913147,-0.37875366,-5.950928E-4,-0.008300781,-0.0040283203,5.6600037,33.781433,9.795834,-0.20269276,-0.4134717,-0.002491951,-0.07493883,-0.018183619,0.5093567,-0.5115046,0.49835524,2018-02-03 01:01:10,58.87443567135804
9.80275,-0.14445496,-0.42230225,0.0034332275,6.5612793E-4,-0.0044403076,5.6600037,33.8414,9.795231,-0.1953052,-0.4309349,0.07912731,0.035692632,-0.019600749,0.51007104,-0.51167053,0.49789962,2018-02-03 01:01:11,66.08395477576394
10.685226,-0.7193146,-0.7173462,-0.7738037,-0.69444275,0.005203247,5.6600037,33.91136,9.767987,-0.22405142,-0.8405956,0.21758461,0.02541013,0.48921955,0.50917137,-0.5325439,0.47833,2018-02-03 01:01:12,48.603469731619136
9.980713,0.3484192,-1.6113739,-0.42411804,0.0579834,-0.45381165,5.6600037,33.97133,9.671047,0.70462155,-1.4644984,0.27666664,-0.5270337,-0.28789246,0.5171498,-0.55427855,0.40908197,2018-02-03 01:01:13,51.225665933033746
9.401321,2.6579132,-1.184967,0.109939575,0.14216614,0.24511719,5.6600037,34.0213,9.375496,2.6914494,-1.0131936,-0.13461876,0.02922988,-0.15522802,0.52813506,-0.5228726,0.32418674,2018-02-03 01:01:14,68.90940317520017
9.890915,0.66326904,-1.3605804,0.09011841,-0.073013306,0.0073394775,5.6600037,34.08127,9.721595,0.7696377,-1.0337456,0.089390755,-0.09059137,-0.3527813,0.5130846,-0.53800607,0.42193395,2018-02-03 01:01:15,68.71451325825379
9.678772,0.7244873,-1.0689545,-0.010284424,0.042678833,0.030227661,5.6600037,34.141235,9.719089,0.73259985,-1.0830536,-0.0807333,0.0072702765,0.027630448,0.5136773,-0.53977406,0.42214525,2018-02-03 01:01:16,74.34129140940301
9.7248535,0.86894226,-0.9947052,0.06666565,0.021575928,0.0032958984,5.6600037,34.181213,9.733316,0.7328321,-0.94652534,-0.05807686,0.16377038,0.008538246,0.5119534,-0.5349421,0.42694196,2018-02-03 01:01:17,53.67569532515531
8.902222,1.1089325,2.2980804,-0.12220764,0.16578674,0.2480011,5.6600037,34.231186,9.4687605,0.90766305,2.385183,-0.6460781,0.25170732,0.021147013,0.5259535,-0.3190023,0.6320288,2018-02-03 01:01:18,56.5911646360112
9.089798,0.24726868,3.6134949,0.7028656,0.4861145,0.081207275,5.6600037,34.28116,9.127475,0.22039059,3.5792487,0.09485531,0.033094957,0.30847788,0.46034867,-0.32494342,0.6632311,2018-02-03 01:01:19,71.89629904911479
9.034378,-0.18992615,5.2217255,0.26942444,-0.02027893,-0.0043945313,5.6600037,34.341125,8.909999,-0.04953112,4.096323,0.5448189,0.2815059,0.960402,0.39281267,-0.36992413,0.61612636,2018-02-03 01:01:20,73.93264123491552
8.2712555,1.3397522,3.402069,-0.08946228,0.2974701,-0.3778534,5.6600037,34.391098,9.002315,1.1937921,3.7018352,-0.09047413,-0.12390065,0.028038025,0.4405062,-0.3423642,0.5826325,2018-02-03 01:01:21,67.87293482358108
9.147644,0.6153717,4.9691772,-0.37135315,-0.020263672,-0.15000916,6.5,34.44107,8.395645,1.5548539,4.8234797,1.6270514,-1.4186394,-0.16730928,0.37620738,-0.3354683,0.52916104,2018-02-03 01:01:22,65.39056147735633
8.120224,0.8914795,4.8519745,-0.1006012,-0.1108551,-0.2610321,6.5,34.501038,8.243591,1.5639948,5.076172,0.5559263,-0.7384286,-0.15256834,0.337608,-0.35512987,0.47484955,2018-02-03 01:01:23,63.93173839705092
8.185928,1.5030975,3.952011,0.30067444,-0.075912476,0.16326904,6.5,34.571,8.396777,2.2656322,4.5311627,0.07567024,-0.6043017,-0.47690535,0.4127648,-0.31978616,0.5171125,2018-02-03 01:01:24,72.06866461112759
8.613846,0.8115845,4.484329,-0.16810608,0.0630188,-0.028839111,7.350006,34.62097,8.486039,0.9496188,4.8224206,0.29934692,-0.18788475,-0.1540947,0.36550438,-0.3471765,0.5561541,2018-02-03 01:01:25,76.36348571278504
7.47377,0.6642151,6.1423492,-0.021057129,0.1516571,0.09829712,8.199997,34.670944,7.9503827,0.602027,5.709586,0.040483475,-0.04345137,0.37006807,0.28695187,-0.35573974,0.5045594,2018-02-03 01:01:26,68.31012358238578
9.2408905,0.8485565,-0.715744,0.4262848,-0.34654236,0.017623901,6.5,34.720917,9.64372,1.0744748,1.4193509,-0.2797928,-0.037156343,-2.2357812,0.5058135,-0.41447073,0.52848774,2018-02-03 01:01:27,75.91412153840002
9.887192,0.9548645,-0.6028137,0.7805786,0.51109314,-0.15341187,5.6600037,34.77089,9.77462,0.77539515,-0.1611108,0.251379,0.12866312,-0.54595584,0.585419,-0.40681562,0.54242927,2018-02-03 01:01:28,68.47175193967863
9.583542,1.8495331,0.69581604,-0.15007019,-0.07751465,0.032699585,5.6600037,34.82086,9.630849,1.7203751,0.67635345,-0.041516304,0.08045912,0.14717364,0.6261412,-0.27104023,0.6093975,2018-02-03 01:01:29,69.84013184626336
9.774017,0.68603516,-0.19393921,-0.21035767,-0.22727966,0.21722412,5.6600037,34.870834,9.773237,0.8082978,-0.029693114,-0.03500843,-0.0064387918,-0.12722221,0.61697954,-0.34763512,0.5844544,2018-02-03 01:01:30,67.14088857710757
9.816467,0.15003967,-0.7158356,0.04626465,-0.067230225,0.021469116,5.6600037,34.910812,9.786463,0.1662138,-0.6065542,0.039665222,-0.03224443,-0.11777669,0.57478124,-0.44783053,0.53303856,2018-02-03 01:01:31,38.905084313306524
9.907806,-1.2207031E-4,-0.8764496,-0.038375854,0.020492554,-0.08602905,5.6600037,34.95079,9.759299,-0.047829542,-0.96133506,0.107131004,-0.033282682,0.16309428,0.56268597,-0.48207775,0.512118,2018-02-03 01:01:32,63.10327165723477
9.950333,0.031799316,-0.85635376,-0.0128479,0.051193237,-0.0074310303,5.6600037,35.000763,9.766265,0.106054515,-0.88272583,0.077607155,-0.10948398,0.023655534,0.56790936,-0.47168368,0.51418614,2018-02-03 01:01:33,61.88264111847594
9.810974,0.11387634,-0.87368774,-0.0031738281,-0.06715393,-0.04373169,5.6600037,35.04074,9.770723,0.17050655,-0.821151,-0.04339695,-0.09574017,0.020548284,0.57070416,-0.46493423,0.5172206,2018-02-03 01:01:34,57.962406229899386
9.773071,0.41696167,-0.78627014,0.019897461,0.020935059,-0.03779602,5.6600037,35.08072,9.764217,0.36800158,-0.83367497,-0.11148262,0.099055946,-0.04732138,0.5769148,-0.45790273,0.51357573,2018-02-03 01:01:35,62.991105061046056
9.796768,-0.4842224,-0.73999023,-0.10231018,-0.023269653,0.16967773,5.6600037,35.120697,9.800831,-0.296628,-0.16156606,0.21281242,-0.0019778311,-0.27069986,0.5465744,-0.45542663,0.5533426,2018-02-03 01:01:36,67.91287291758667
9.870087,-0.43756104,-0.5035248,0.03375244,0.04928589,-0.032608032,5.6600037,35.160675,9.7931795,-0.27033165,-0.43697813,0.13951015,-0.32174033,-0.054507792,0.55934256,-0.45761943,0.54682297,2018-02-03 01:01:37,73.51956199900587
9.805313,-0.28987122,-0.62057495,0.021453857,-0.018951416,0.0032196045,5.6600037,35.200653,9.784556,-0.3174023,-0.57628953,-0.013128281,0.05940175,-0.03183198,0.55982584,-0.4647339,0.541769,2018-02-03 01:01:38,70.50869738835095
9.777725,-0.24285889,-0.69685364,-0.011413574,-0.0038604736,-0.0042877197,5.6600037,35.24063,9.779225,-0.26903698,-0.68173295,-0.011642456,0.011152238,-0.024210751,0.56738603,-0.46122524,0.5410073,2018-02-03 01:01:39,41.95249366515536
9.781052,-0.2479248,-0.72114563,0.0019836426,-0.0012207031,-0.0011444092,5.6600037,35.28061,9.778579,-0.24841274,-0.6986223,-0.018698692,-0.009280145,-0.006767988,0.56887114,-0.46044052,0.5404077,2018-02-03 01:01:40,39.048640818491556
9.809952,-0.3129425,-0.6670685,-0.0024261475,0.005218506,-9.0026855E-4,5.6600037,35.340576,9.77869,-0.2478492,-0.6972551,-0.030035019,-0.04877484,0.012286663,0.5688469,-0.46039477,0.5404358,2018-02-03 01:01:41,40.33944257537102
9.845627,-0.25,-0.6925812,0.010116577,0.008560181,-0.0017700195,5.6600037,35.39055,9.780872,-0.24545419,-0.66684216,0.031560898,0.0075389,-0.018527865,0.56811965,-0.45972362,0.5412187,2018-02-03 01:01:42,50.86509672016628
