ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.16973089,0.0512923,0.10724754,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-10 12:56:27,28.724209086182775
1.599,9.83,-0.469,0.11097788,-0.060751397,0.105648816,40.0,1.7782235,9.6179085,-0.710041,-0.17922354,0.21209145,0.24104097,0.5281626,0.5071945,0.5531532,2017-01-10 12:56:27,36.02750432717469
1.743,9.852,-0.258,0.0014654943,0.092992276,0.19504397,40.0,3.3769262,9.151472,-1.0086267,-1.6339262,0.70052814,0.7506267,0.5628379,0.48439565,0.58561563,2017-01-10 12:56:28,38.00091812680299
2.482,9.692,0.16,0.22581935,0.05755396,0.24273914,40.0,5.90965,7.808253,0.5269073,-3.4276497,1.8837476,-0.36690733,0.52698326,0.44206768,0.7075695,2017-01-10 12:56:29,41.79198743887202
2.49,9.49,0.323,0.2992273,0.07287503,0.4965361,40.0,6.4397106,7.3473606,-0.84665835,-3.9497106,2.1426392,1.1696584,0.58962893,0.4421598,0.66136706,2017-01-10 12:56:30,35.92112565831565
9.155,4.946,1.34,0.8434586,0.10205169,1.3036238,40.0,-5.1732326,-7.993682,2.34715,14.328232,12.939682,-1.00715,-0.14481984,0.599463,-0.5419572,2017-01-10 12:56:31,62.61716936819735
8.717,4.458,1.228,-0.096722625,-0.05542233,1.3264055,40.0,-6.348344,-4.995159,5.5603323,15.065344,9.453159,-4.332332,-0.013217846,0.4651099,-0.52737147,2017-01-10 12:56:32,65.84970830805108
9.464,2.523,1.259,0.24953371,0.061817214,0.5145217,40.0,-6.1575804,2.960549,7.0348945,15.62158,-0.4375491,-5.7758946,0.26253888,0.26906046,-0.29585496,2017-01-10 12:56:33,58.869115086987414
0.694,-0.143,14.38,6.5631495,3.9626966,-0.15707435,40.0,-8.949112,-0.48622257,3.9808753,9.643112,0.34322256,10.399125,0.4453052,0.31422147,-0.71026903,2017-01-10 12:56:34,60.2443711085193
-0.691,-1.034,7.503,-7.3908873,-2.7780442,0.1120437,40.0,-9.041228,2.8182917,-2.5463443,8.350228,-3.8522916,10.049344,0.78686565,0.103295065,-0.5523451,2017-01-10 12:56:35,63.038947561134705
0.251,0.093,10.791,-0.75459635,-2.450706,-0.014788169,40.0,-3.8573127,7.9636517,4.227504,4.1083126,-7.8706517,6.5634966,0.45925185,-0.27119187,-0.70461595,2017-01-10 12:56:36,60.496945036916685
0.213,0.165,10.704,0.10151879,-0.0776712,0.0702105,40.0,-2.2715032,6.4617634,7.0182815,2.4845033,-6.2967634,3.685719,0.2951355,-0.23465352,-0.7842136,2017-01-10 12:56:37,66.85309882188062
0.138,0.181,10.791,0.0856648,-0.08926193,0.092992276,40.0,-0.5050509,4.378532,8.760352,0.6430509,-4.1975317,2.0306482,0.13952476,-0.18406305,-0.83761305,2017-01-10 12:56:38,33.06268966822909
0.162,0.203,10.767,0.10991207,-0.0776712,0.07873701,40.0,0.99269104,2.5255399,9.423725,-0.83069104,-2.3225398,1.3432751,0.017444586,-0.1386341,-0.86912346,2017-01-10 12:56:39,40.46678451856934
-0.861,0.32,11.289,0.15121236,0.1120437,0.11364242,40.0,2.0406961,1.1165968,9.52676,-2.9016962,-0.7965968,1.7622395,-0.07143925,-0.095743686,-0.90282923,2017-01-10 12:56:40,36.608726082748746
0.131,0.21,10.623,0.10418332,-0.09352518,0.079269916,40.0,2.7241023,0.3697142,9.413445,-2.5931022,-0.1597142,1.2095547,-0.12758364,-0.061402358,-0.94162834,2017-01-10 12:56:41,58.26754033161173
0.155,0.177,10.678,0.1031175,-0.08406608,0.07660538,40.0,2.950344,-0.0065369643,9.352316,-2.795344,0.18353696,1.3256845,-0.15003249,-0.025589937,-0.9739092,2017-01-10 12:56:42,57.631898935496146
0.201,0.205,10.733,0.1031175,-0.08513189,0.07287503,40.0,2.9178133,-0.119337626,9.361758,-2.7168133,0.32433763,1.3712416,-0.15060401,-0.0012724173,-0.98739105,2017-01-10 12:56:43,35.21732524523135
0.201,0.169,10.721,0.09352518,-0.08033573,0.0782041,40.0,2.7359304,-0.11796911,9.416536,-2.5349305,0.28696913,1.3044634,0.14039876,-0.013358931,0.98867846,2017-01-10 12:56:44,37.76095581456243
0.217,0.16,10.841,0.08406608,-0.088196106,0.08246736,40.0,2.4863398,-0.06829043,9.485981,-2.2693398,0.22829042,1.3550186,0.12632196,-0.019807387,0.98366845,2017-01-10 12:56:45,35.275137569250184
0.136,0.167,10.779,0.099920064,-0.08872902,0.08086864,40.0,2.1794093,-0.00520535,9.561408,-2.0434093,0.17220534,1.2175922,0.109798364,-0.021169689,0.97620416,2017-01-10 12:56:46,41.777164018531934
0.146,0.191,10.745,0.0951239,-0.08926193,0.06927791,40.0,1.8525879,0.026991613,9.630035,-1.7065879,0.16400838,1.1149645,0.0927143,-0.020221712,0.96942824,2017-01-10 12:56:47,40.308126564738124
0.136,0.169,10.733,0.10365041,-0.079269916,0.08033573,40.0,1.561895,0.028201684,9.68143,-1.425895,0.14079832,1.0515699,0.0777409,-0.018461647,0.9655149,2017-01-10 12:56:48,35.238755870380196
0.232,0.265,10.678,0.09725553,-0.09459099,0.0856648,40.0,1.2815734,2.114508E-4,9.7225485,-1.0495734,0.26478854,0.95545197,0.063341096,-0.016609535,0.9651787,2017-01-10 12:56:49,31.754856238537023
0.196,0.158,10.759,0.105115905,-0.0856648,0.070743404,40.0,1.0343015,-0.05468133,9.751801,-0.83830154,0.21268134,1.0071993,0.05041826,-0.015954338,0.96664816,2017-01-10 12:56:50,37.579234062676846
0.198,0.246,10.726,0.09778844,-0.08979483,0.07607248,40.0,0.84047866,-0.09559304,9.7701,-0.64247864,0.34159306,0.9559002,0.040515367,-0.014901954,0.9706216,2017-01-10 12:56:51,51.36748679390654
0.158,0.237,10.731,0.100452974,-0.08140154,0.083000265,40.0,0.6683556,-0.12748313,9.783018,-0.5103556,0.36448312,0.94798183,0.031889137,-0.013711324,0.97583133,2017-01-10 12:56:52,49.51684513386232
0.208,0.201,10.812,0.10418332,-0.08246736,0.079802826,40.0,0.53408223,-0.14150651,9.791073,-0.32608223,0.34250653,1.0209274,0.02540047,-0.012206841,0.98180515,2017-01-10 12:56:53,57.373197572492025
0.217,0.172,10.752,0.109379165,-0.0876632,0.08459899,40.0,0.44347757,-0.15651616,9.795367,-0.22647758,0.3285162,0.9566326,0.021073373,-0.011453643,0.98717064,2017-01-10 12:56:54,45.49810057219812
0.208,0.189,10.606,0.092459366,-0.08086864,0.08459899,40.0,0.36103982,-0.15878807,9.798716,-0.15303981,0.34778807,0.80728436,0.01719304,-0.010438307,0.9911926,2017-01-10 12:56:55,39.16244384838539
0.189,0.177,10.817,0.10671463,-0.08619771,0.086730614,40.0,0.2938373,-0.1494183,9.801108,-0.10483731,0.32641828,1.015892,0.014097847,-0.0091550015,0.9942978,2017-01-10 12:56:56,34.929492567249284
0.179,0.179,10.795,0.11044498,-0.09086064,0.07180922,40.0,0.23754197,-0.118306495,9.803059,-0.05854197,0.2973065,0.99194145,0.01159558,-0.0069744783,0.99675643,2017-01-10 12:56:57,37.99708414964883
