ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.4213795,3.3135753,9.184157,6.0,2017-01-28 20:28:41,NaN
-0.40222588,3.3901896,9.165004,6.0,2017-01-28 20:28:42,NaN
-0.39264908,3.6008794,9.088389,6.0,2017-01-28 20:28:43,NaN
-0.39264908,3.6008794,9.069236,6.0,2017-01-28 20:28:44,NaN
2.5378537,3.6104562,8.676587,6.0,2017-01-28 20:28:45,NaN
1.982399,3.6966474,8.829816,6.0,2017-01-28 20:28:46,NaN
1.6472107,2.3750482,10.055647,6.0,2017-01-28 20:28:47,NaN
-2.4133554,7.067683,5.803545,53.0,2017-01-28 20:28:49,NaN
1.0630256,6.9623384,6.6271505,131.0,2017-01-28 20:28:50,NaN
1.532289,4.8458643,8.389283,112.0,2017-01-28 20:28:51,NaN
-1.3503298,2.9592333,8.925584,106.0,2017-01-28 20:28:52,NaN
-2.6527755,0.06703765,9.433155,12.0,2017-01-28 20:28:53,NaN
-0.2681506,-1.1587936,9.643845,6.0,2017-01-28 20:28:54,NaN
0.19153613,-1.1300632,9.586384,6.0,2017-01-28 20:28:55,NaN
-0.15322891,-0.94810385,9.624691,6.0,2017-01-28 20:28:56,NaN
0.1340753,-0.5554548,9.710882,9.0,2017-01-28 20:28:57,NaN
0.7086837,-0.4309563,9.653421,6.0,2017-01-28 20:28:58,NaN
0.6895301,-0.4309563,9.662998,6.0,2017-01-28 20:28:59,NaN
0.6703765,-0.41180268,9.643845,9.0,2017-01-28 20:29:00,NaN
0.5267244,-0.40222588,9.662998,9.0,2017-01-28 20:29:01,NaN
0.5363012,-0.39264908,9.653421,9.0,2017-01-28 20:29:02,NaN
0.5363012,-0.4213795,9.643845,9.0,2017-01-28 20:29:03,NaN
0.5267244,-0.4213795,9.653421,9.0,2017-01-28 20:29:04,NaN
-0.2681506,0.6895301,9.672575,12.0,2017-01-28 20:29:05,NaN
2.6527755,-5.3821654,7.4124484,9.0,2017-01-28 20:29:06,NaN
