ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
4.5154643,4.355053,7.1526775,-1.3888022,0.24037547,-1.2498302,3.0,5.3818855,7.156186,3.9993393,-0.53961277,-3.0022464,3.0617602,0.41123402,-0.36428964,-0.05883389,58.20473,26.386065,2017-05-31 11:21:53,66.71948287517313
6.9796963,-4.2640734,12.210428,-1.9779817,0.1282817,-0.3182608,9.0,4.377055,2.2893834,8.471747,2.5541587,-6.540887,8.381038,0.10022464,-0.2463626,-0.11627682,58.20473,26.386065,2017-05-31 11:21:54,68.7035903345518
3.5248635,1.2653356,8.920197,-0.79901177,-0.5122105,-0.12461651,56.0,2.9006042,0.33330682,9.361933,0.16098118,0.4112899,-0.25558662,0.016492147,-0.14764862,-0.029486235,58.20473,26.386065,2017-05-31 11:21:55,74.04861717024983
2.1098902,-0.15682021,7.1706343,0.75411314,0.7089091,-0.28955013,73.0,3.2237046,-2.664,8.870244,-1.3077446,2.564042,-1.8719926,-0.18219393,-0.12951344,-0.24734114,58.598625,26.260439,2017-05-31 11:21:56,69.31003161809835
5.5162406,4.189853,7.9026613,0.29932398,0.344528,0.43127087,36.0,5.282088,3.6622384,7.406615,0.29400778,0.48272347,0.5409379,0.17946121,-0.30084145,-0.063106455,58.598625,26.260439,2017-05-31 11:21:57,70.70128232963211
3.21661,-2.2523453,8.432977,0.09193522,0.03756821,1.0555751,45.0,4.5053415,-2.5743976,8.321343,-1.3192577,0.39028716,0.2445116,-0.0166989,-0.2750869,0.41730487,58.598625,26.260439,2017-05-31 11:21:58,73.19941671796276
3.7325604,-3.6900635,9.107543,0.8356637,-0.17531833,1.1068878,32.0,3.8465006,-2.000104,8.796272,-0.047501087,-1.6378856,0.09339905,0.09169362,-0.20888577,0.7619746,58.425274,26.329245,2017-05-31 11:21:59,70.69563852473598
3.9097314,-1.5622166,7.8853035,-0.05131268,-0.19975294,-0.008552114,49.0,3.7194753,-2.344121,8.765899,-0.03360176,0.6951146,-0.9069314,0.10798602,-0.2024298,0.8460946,58.425274,26.329245,2017-05-31 11:22:00,73.05527409695122
2.9999347,-2.6402059,8.061875,0.40042216,0.11362094,0.24251351,42.0,3.0617976,-2.687459,8.92039,-0.061862946,0.047253132,-0.8585148,0.070059806,-0.20211232,0.8511386,58.007175,26.44777,2017-05-31 11:22:01,76.16197918159781
3.2872388,-2.2200236,10.165182,-0.14049901,0.45173484,-0.15821409,5.0,3.4614937,-1.4036391,9.067428,-0.2418909,-0.94627,1.0576515,0.16173203,-0.11063458,0.956874,58.007175,26.44777,2017-05-31 11:22:02,72.86829564734818
4.1162314,-1.4700398,8.437765,0.13316862,-0.1994475,0.49021935,7.0,4.304953,-2.4321187,8.468918,-0.06063223,1.0159483,0.074790955,0.16664968,-0.20041575,0.90210444,58.007175,26.44777,2017-05-31 11:22:03,71.37403768120146
7.141305,-1.977012,8.091205,1.2626585,-0.26206118,-0.34300083,6.0,6.994728,-2.4922152,6.4057035,0.23755646,0.41225243,1.7160273,0.30233037,-0.28761736,0.8356768,57.920578,26.44777,2017-05-31 11:22:04,76.61085655424601
7.4908586,0.02813187,6.976105,0.071776666,0.82436264,-0.47739118,8.0,6.386006,0.7888934,7.400471,0.88219213,-0.5871819,-0.31722546,0.31582275,-0.16011854,0.7794519,57.920578,26.44777,2017-05-31 11:22:05,77.05258026509411
6.766014,0.57161564,7.611766,-0.0106901415,0.15577064,-0.033292156,8.0,6.3497353,0.7879235,7.4317183,0.3474455,-0.21810353,0.17226648,0.29785794,-0.18137264,0.7345199,57.920578,26.44777,2017-05-31 11:22:06,72.32017555989414
6.6349316,0.6787562,7.6841903,-0.05589417,-0.003970624,-0.07513642,8.0,6.3808994,0.7279823,7.4111104,0.23787117,-0.056408703,0.24434948,0.3028089,-0.17454198,0.75339115,57.773106,26.44777,2017-05-31 11:22:07,64.49516644714582
7.3406224,2.1134815,6.523601,0.27885997,-0.23548855,0.07788532,8.0,6.760167,1.8617091,6.8559866,0.5774627,0.3726797,-0.2396102,0.35888398,-0.14346027,0.7353222,57.773106,26.44777,2017-05-31 11:22:08,64.7990345141343
8.002021,2.4366987,5.216367,0.092240654,0.004886922,0.021991149,3.0,7.998922,2.49746,5.0941467,0.10545111,0.0374012,0.36104202,0.4760813,-0.11632735,0.7466591,57.773106,26.44777,2017-05-31 11:22:09,67.65663164843008
7.019799,3.1651347,6.38354,0.3747658,0.3286455,-0.03268129,6.0,7.117659,2.9945908,6.044976,-0.01944971,0.08973956,0.34454966,0.4347817,-0.058362477,0.77631974,57.34658,26.517567,2017-05-31 11:22:10,77.42246202011417
6.877943,1.8357542,8.028357,0.17837265,0.6728681,0.6178902,8.0,6.5485377,3.039793,6.636769,0.37190247,-1.3219533,0.9330983,0.38315418,0.12970416,0.9089599,57.34658,26.517567,2017-05-31 11:22:11,74.17777163253957
3.37762,5.5204306,7.4082584,-0.108123146,0.3387248,-0.36285394,8.0,4.641132,4.3361998,7.4717903,-1.3927987,1.138741,-0.13655472,-0.2210121,-0.2669596,-0.9297396,57.34658,26.517567,2017-05-31 11:22:12,72.74931252425083
4.9344497,3.606865,7.7973166,-0.31520647,0.2302962,-0.3567453,26.0,4.266145,2.81616,8.368968,0.63957405,0.7565875,-0.7230849,0.24428192,0.12084411,0.95486647,57.34658,26.49642,2017-05-31 11:22:13,73.23477668171981
6.0681043,3.3518825,6.789956,0.3631594,-0.5946773,0.62796944,43.0,5.453851,3.6211479,7.3015876,0.674108,-0.23275399,-0.4230461,0.3261129,0.13811462,0.91793776,57.34658,26.49642,2017-05-31 11:22:14,75.91914983610458
3.8355112,3.2208,8.607155,-0.46181414,0.80756384,1.5066991,50.0,5.204371,1.7135899,8.133174,-0.76312685,1.9387648,0.87979794,0.28805798,0.07019064,0.95053214,57.34658,26.49642,2017-05-31 11:22:15,75.94171406793532
2.8909986,-0.32680854,7.521983,0.024129177,-0.12370021,-0.43157628,6.0,4.46963,-1.4334035,8.610352,-1.5828211,1.1377196,-0.98062944,0.2332582,-0.07948243,0.96907854,57.34658,26.570145,2017-05-31 11:22:16,71.3866562149033
4.1437645,-0.6937199,11.031284,-0.45753807,0.124005646,-0.09040806,11.0,2.6516922,-0.7656842,9.410241,1.4196479,0.306596,1.4366894,-0.1417273,0.010606014,-0.97190595,57.34658,26.570145,2017-05-31 11:22:17,73.48328602958655
3.3662477,1.3341689,8.709507,0.52534413,0.48655418,0.9825767,10.0,4.6414247,0.50056154,8.624211,-1.2572205,0.9874348,0.32172298,-0.23846182,-0.06667703,-0.95557946,57.34658,26.570145,2017-05-31 11:22:18,74.73095019558704
5.180454,-0.8110358,9.247005,0.022602014,0.7651087,0.41905355,48.0,4.081631,-0.8412769,8.877101,0.68103456,-0.37198484,0.2202673,-0.21775112,-0.040118076,-0.9062276,57.34658,26.593428,2017-05-31 11:22:19,73.60479233126834
3.3931823,-0.1352724,9.306262,-0.35643986,0.22113322,-0.41233405,81.0,3.050632,-0.27425972,9.3160515,0.2982576,-0.0046647787,-0.08879852,-0.1296469,-0.092209674,-0.75491637,57.34658,26.593428,2017-05-31 11:22:20,69.78343743756655
5.221155,-1.0408791,10.291476,0.37690386,-0.73884153,0.7797695,62.0,3.8331106,-0.1483274,9.025279,1.5269086,-0.8584344,1.4397764,-0.1549959,-0.1200349,-0.7504434,57.34658,26.593428,2017-05-31 11:22:21,70.54423629338503
1.3030443,-1.6519991,7.32506,-0.56413406,-0.26175576,-0.73853606,45.0,3.9292965,-1.6809704,8.826401,-2.7202246,-0.02429974,-1.3804336,-0.20596868,-0.08092745,-0.69529355,57.34658,26.593428,2017-05-31 11:22:22,74.85891021409229
5.1984105,0.84335756,8.604761,0.20769419,0.2996294,0.47586402,8.0,4.5715423,0.5135732,8.660695,0.7010884,0.40999007,0.085323334,-0.13783681,-0.20020372,-0.63610244,57.34658,26.593428,2017-05-31 11:22:23,70.41598650910034
3.5583823,-1.6992847,8.851962,0.45448375,0.21746802,0.40500367,5.0,3.8915935,-1.0962207,8.934439,-0.43735886,-0.8209363,-0.2674284,-0.18653768,-0.1018437,-0.6958785,57.34658,26.593428,2017-05-31 11:22:24,74.65678652196635
4.573524,-0.95708215,8.218696,0.118202426,-0.015271631,0.3494149,14.0,3.814905,0.32618675,9.0283165,0.63950753,-1.1001124,-0.9293308,-0.11102467,-0.16527537,-0.61449057,57.34658,26.593428,2017-05-31 11:22:25,76.33192347499352
6.341043,-1.1546037,10.541072,0.59712076,-0.22632557,0.44715336,5.0,4.1861134,-0.8140544,8.830864,1.9729705,-0.48719424,1.5228615,-0.17495686,-0.1375059,-0.63130456,57.34658,26.593428,2017-05-31 11:22:26,70.11515248807994
5.0984526,-1.7471687,11.456255,-1.2971723,-0.6640105,-1.0571023,18.0,3.8686764,-0.9722271,8.958711,1.5835192,-0.71089673,2.0665884,-0.14134333,-0.14603639,-0.50153726,57.08084,26.593428,2017-05-31 11:22:27,72.40144117889757
5.6940103,0.57281274,7.925406,0.4801401,0.12095132,0.9456194,29.0,5.1805706,-0.1283049,8.3256,0.5535426,0.8094553,-0.2164383,-0.13632841,-0.23933646,-0.4566971,57.08084,26.593428,2017-05-31 11:22:28,72.59972293110303
6.013636,-0.8583213,8.975264,0.44623706,-0.14355333,0.3390302,15.0,5.1174326,-0.15170842,8.364165,0.8842325,-0.71798533,0.65539074,-0.13149676,-0.23649012,-0.43955693,57.08084,26.593428,2017-05-31 11:22:29,72.75513699257012
