ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
5.104438,-0.12449849,7.7667904,-0.007330383,0.0061086523,0.02565634,1.0,5.3694997,-0.5202,8.1895,0.030199999,0.3658,-0.036599997,0.051003,-0.28291,0.265008,2017-06-04 21:38:25,36.6545419580722
5.142745,-0.1340753,7.776367,0.021991149,0.0012217305,0.012217305,1.0,5.4254,-0.18949999,8.1669,-0.0288,0.052699998,0.0323,0.064584,-0.281834,0.24628,2017-06-04 21:38:26,45.70608987460143
5.171476,-0.10534488,7.7189064,-0.004886922,0.0,0.014660766,1.0,5.4505997,-0.1099,8.1515,-0.016999999,0.0044,-0.029099999,0.068433,-0.282532,0.243572,2017-06-04 21:38:27,44.80201554412044
5.161899,-0.1436521,7.73806,0.0036651916,-0.0012217305,0.009773844,1.0,5.4364,-0.0986,8.1612,0.0016999999,-0.022799999,0.0149,0.068794,-0.281469,0.244264,2017-06-04 21:38:28,45.47135307630475
5.1810527,-0.10534488,7.7093296,0.0012217305,-0.0036651916,0.014660766,2.0,5.4332,-0.1147,8.1631,-0.0032,-0.0061,0.035,0.068086,-0.281603,0.245021,2017-06-04 21:38:29,44.81248706947966
5.161899,-0.095768064,7.776367,0.010995574,-0.0036651916,0.014660766,2.0,5.4365,-0.117,8.1609,0.0053,0.0202,0.031999998,0.068232,-0.281529,0.24497099,2017-06-04 21:38:30,44.192764000853614
5.2002063,-0.10534488,7.7667904,0.008552114,-0.0036651916,0.009773844,2.0,5.4375997,-0.114,8.1602,0.052699998,0.0098,0.036199998,0.068258,-0.281572,0.244951,2017-06-04 21:38:31,45.457460416306915
5.1810527,-0.12449849,7.73806,0.009773844,-0.0036651916,0.015882496,2.0,5.4388,-0.1175,8.1594,-0.0149,0.0055,0.0072,0.067656,-0.281837,0.243745,2017-06-04 21:38:32,46.471335643300094
5.161899,-0.1436521,7.785944,0.015882496,0.0012217305,0.007330383,2.0,5.4488,-0.1059,8.1528,0.0084,-0.0075,0.046699997,0.06794,-0.282319,0.241933,2017-06-04 21:38:33,45.56720383494387
5.171476,-0.12449849,7.728483,0.009773844,-0.0061086523,0.015882496,2.0,5.4378,-0.114099994,8.16,-0.011399999,-0.0089,-0.0448,0.066961996,-0.2819,0.240692,2017-06-04 21:38:34,43.06407936922299
5.161899,-0.11492168,7.795521,0.0061086523,-0.004886922,0.010995574,2.0,5.4428,-0.109,8.1568,0.0132,-0.0138,-0.0613,0.067071,-0.282166,0.239919,2017-06-04 21:38:35,44.17977392220196
