ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.6050321,0.389896,9.9172325,-0.023962487,-0.0014311001,0.0034909286,6.125,1.5656189,0.39716104,9.672719,-0.06572525,0.026401063,-0.1883008,0.038790144,-0.07296523,0.23707387,2016-10-30 09:07:54,36.41809739048031
1.29168,0.04784,9.859824,-0.10583649,0.3346189,0.44463292,6.65,1.231439,0.11797825,9.728311,-0.11884499,0.21963827,-0.41496554,0.02532288,-0.057904743,0.31085283,2016-10-30 09:07:55,67.02835827722194
1.05248,-0.004784,9.913644,-0.016630488,0.0046788976,0.0132669285,6.825,1.0249515,0.0036501565,9.752941,-0.033508595,0.016806157,-0.20017128,0.018665543,-0.048887905,0.35287565,2016-10-30 09:07:56,52.828011061333804
1.123044,-0.220064,9.924408,-0.011742488,-0.0112071,0.0034909286,6.65,1.0575025,-0.17544381,9.747887,0.0050225775,0.013524192,-0.19804887,0.012105772,-0.0533812,0.37722912,2016-10-30 09:07:57,58.164232214427514
1.2103521,-0.44491202,9.791653,-0.031294487,0.030340899,0.021820929,5.775,1.0611155,-0.3925116,9.741169,-0.084652506,0.1014364,-0.05885551,0.004248182,-0.057624727,0.41425365,2016-10-30 09:07:58,59.43493289446768
1.074008,-0.249964,9.855041,-0.04840249,-0.003875101,0.010822929,6.5625,0.9647695,-0.2552541,9.75574,-0.13196254,0.056901947,-0.13996378,0.008771377,-0.050187506,0.41784784,2016-10-30 09:07:59,57.544442745715465
1.21992,-0.264316,9.845472,0.04324751,-0.0209831,0.0010469276,6.65,1.1439964,-0.2586838,9.736259,-0.06276757,0.018788215,-0.11519173,0.012476146,-0.058594268,0.41809395,2016-10-30 09:08:00,63.5842305630888
2.699372,-1.164904,9.523748,0.3915175,0.5435809,0.38964292,4.2,2.5851145,-1.072746,9.3987665,-0.04130144,-0.100398,-0.31155837,0.01788327,-0.14309624,0.48968765,2016-10-30 09:08:01,65.56709950682307
3.878628,-0.411424,9.075248,0.04935751,0.1598729,0.008378927,4.4625,3.4891112,-0.37041467,9.157473,-0.38951692,0.041009326,0.0822247,0.061231397,-0.1713173,0.4268495,2016-10-30 09:08:02,58.9921476024587
1.139788,0.724776,9.528532,-0.041070487,-0.121187106,0.03037493,5.775,1.9869511,0.1596303,9.601924,0.07335107,-0.0915297,-0.13949557,0.040467866,-0.093811065,0.3196092,2016-10-30 09:08:03,67.04218911971473
3.937232,-0.80730003,9.971052,-0.08139648,0.81242085,0.080476925,3.9375,3.9730082,-0.6487188,8.942302,-0.09937194,0.10595731,-0.44749418,0.118216276,-0.17347746,0.67358506,2016-10-30 09:08:04,52.428112790477705
4.142944,-0.614744,8.943688,0.011475513,0.005900901,0.002268929,7.525,4.020248,-0.48912486,8.931336,-0.08442425,0.101699136,0.030704936,0.13942336,-0.1587128,0.7290485,2016-10-30 09:08:05,62.882876922766194
4.08434,-0.58962804,8.977177,-0.0016900568,0.0094062835,-0.0050136056,12.425,4.0238295,-0.53949517,8.926822,-0.038982935,0.028604895,-0.041982118,0.13850808,-0.16023208,0.7317071,2016-10-30 09:08:06,67.39210781199739
4.07238,-0.535808,8.998704,6.214301E-4,0.0152427275,0.009586953,12.6875,3.9998863,-0.51510906,8.939015,-0.050965928,0.029070977,-0.07164894,0.13863271,-0.1581712,0.73301476,2016-10-30 09:08:07,67.05784857424152
3.957564,-0.64584,8.99392,6.155351E-4,0.024963567,0.010764666,12.3375,3.8718317,-0.615214,8.988929,-0.09649638,-0.0016659605,-0.033695348,0.13058685,-0.15696916,0.7364111,2016-10-30 09:08:08,66.68954301270117
4.128592,-0.344448,8.718841,0.17426464,-0.18156171,-0.09069177,7.7875,4.0621514,-0.51248455,8.911042,-0.042520754,0.06637951,0.12881401,0.14105469,-0.16052061,0.7316258,2016-10-30 09:08:09,65.83140000234299
4.243408,-0.200928,8.840832,0.049568515,-0.0019438118,-0.005153114,4.6375,4.208481,-0.19310588,8.855609,-0.03492752,0.007822127,0.014776713,0.15702535,-0.15437846,0.72620267,2016-10-30 09:08:10,68.64986449384193
4.147728,-0.20332001,8.926944,0.0040755505,0.022072122,0.011695875,10.0625,4.1131616,-0.18532982,8.900446,-0.034566578,0.017990177,-0.026497547,0.15398943,-0.14996932,0.7296119,2016-10-30 09:08:11,68.81322845561306
3.70162,-0.587236,9.135048,0.013851551,-0.010921877,-0.011522125,12.5125,3.638689,-0.580917,9.088063,-0.018678982,0.018279023,-0.019477438,0.12255673,-0.14702947,0.7394465,2016-10-30 09:08:12,69.59714366587002
3.822416,-0.53222,9.138637,-8.46055E-4,-0.0023519993,0.0031763725,12.6875,3.782889,-0.50392264,9.033616,-0.07062311,0.0282974,-0.08468787,0.13051112,-0.1496017,0.7361849,2016-10-30 09:08:13,68.79472090759974
4.1871963,-1.235468,10.451844,-0.18659006,-0.075672,7.323716E-4,11.8125,3.791053,-0.54456997,9.027832,0.3477689,-0.35919,1.0828035,0.1295878,-0.15137927,0.7366427,2016-10-30 09:08:14,66.47093980265745
3.745872,-0.91494,9.019036,-0.006956055,0.018422,0.028838374,10.5875,3.7270262,-0.9290321,9.023113,-0.14562194,0.105507955,-0.2327309,0.11463383,-0.16373262,0.739411,2016-10-30 09:08:15,62.81857443213474
3.7219522,-0.929292,8.998704,0.017483946,9.199977E-5,-0.005377628,8.925,3.699251,-0.9238356,9.035069,-0.01911299,0.019808497,-0.027022447,0.11359267,-0.16259283,0.73928237,2016-10-30 09:08:16,69.09017519111424
3.7685962,-0.86590403,8.974784,0.008168593,0.002967434,-5.362984E-4,8.4,3.7928731,-0.873733,9.001173,-0.05585487,0.013699074,-0.08244681,0.11897091,-0.16405453,0.7381718,2016-10-30 09:08:17,50.92859472424705
3.757832,-0.851552,8.97,0.007506251,0.024493178,0.005576266,9.45,3.7567825,-0.8442884,9.019098,0.016890345,0.022811625,-0.04299334,0.11844489,-0.16163148,0.7382827,2016-10-30 09:08:18,59.23258207548734
3.738696,-0.95919204,9.009468,-0.02703882,0.019220272,0.014074964,11.025,3.8176656,-0.8067004,8.996947,-0.17099428,0.08910364,0.01020283,0.121687144,-0.16271332,0.7358518,2016-10-30 09:08:19,70.03244698555808
4.450316,0.212888,8.861164,0.02550718,-0.022327729,-0.006699035,11.4625,4.3256006,0.10927389,8.800434,-0.09840339,0.020769881,-0.11574644,0.17282265,-0.14640732,0.72704345,2016-10-30 09:08:20,69.27224361108023
4.5388203,0.22245601,8.77864,0.004663347,9.3617104E-4,0.0030909665,11.8125,4.4869776,0.24587081,8.716476,-0.051842418,0.023414796,-0.06216332,0.18357515,-0.14793086,0.72220224,2016-10-30 09:08:21,64.49280713647049
4.67038,0.264316,8.714056,-0.049104653,0.018044172,0.010422967,11.2,4.630494,0.30945364,8.639049,-0.039886314,0.04513764,-0.07500702,0.19212207,-0.15040027,0.7220596,2016-10-30 09:08:22,42.762871410967236
4.213508,-0.171028,8.930532,-0.019776653,0.027820172,0.016532965,9.275,4.238608,-0.1661087,8.841776,-0.034700435,0.030035293,0.015296354,0.15967797,-0.15394105,0.7279531,2016-10-30 09:08:23,60.774649308762406
4.1871963,-0.165048,8.93412,0.016744986,-0.011627467,-0.0044188965,4.025,4.148324,-0.18669762,8.884084,-0.03528408,-0.026433615,-0.042859484,0.15576579,-0.15091331,0.73094136,2016-10-30 09:08:24,62.24938648452614
