ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.11492168,0.22984336,10.084377,155.0,-0.059499998,0.1987,9.8043995,-0.009099999,-0.031999998,0.5513,0.010142,-0.003006,-0.54735297,2016-11-03 14:37:33,26.73316156960078
-0.095768064,0.18195933,10.113108,155.0,-0.0359,0.19299999,9.8046,-0.0425,0.0324,0.52169997,0.009244,-0.00385,-0.546763,2016-11-03 14:37:34,34.97433324207244
-0.076614454,0.21068975,10.04607,155.0,-0.0559,0.1899,9.8046,-0.0323,0.015999999,0.5021,0.009579,-0.003187,-0.571022,2016-11-03 14:37:35,34.00112282307679
-0.05746084,0.16280572,10.01734,155.0,-0.047399998,0.19139999,9.8046,-0.0211,0.0438,0.5119,0.009358,-0.003688,-0.579802,2016-11-03 14:37:36,33.70594905322001
-0.05746084,0.23942018,10.055647,155.0,-0.058599997,0.19919999,9.8043995,0.039,-0.0128999995,0.49249998,0.010068,-0.003282,-0.565876,2016-11-03 14:37:37,32.328718837700514
-0.076614454,0.20111294,10.01734,155.0,-0.046,0.192,9.8046,0.046,-0.0056999996,0.4236,0.009361,-0.003708,-0.574942,2016-11-03 14:37:38,34.38440240004624
-0.06703765,0.21068975,10.01734,155.0,-0.048299998,0.19299999,9.8046,-0.020299999,0.0423,0.4825,0.009469,-0.003645,-0.57517,2016-11-03 14:37:39,33.07236225906233
-0.05746084,0.18195933,9.998186,155.0,-0.052699998,0.19209999,9.8046,0.033099998,-0.0058,0.5315,0.009557,-0.003447,-0.576043,2016-11-03 14:37:40,32.442740275252866
-0.05746084,0.18195933,10.04607,155.0,-0.0605,0.2015,9.804299,-0.0669,0.024,0.5318,0.01022,-0.003267,-0.565739,2016-11-03 14:37:41,33.31914844788307
-0.05746084,0.19153613,10.0269165,155.0,-0.051599998,0.19389999,9.8045,-0.0071,0.0021,0.46289998,0.00964,-0.003438,-0.567066,2016-11-03 14:37:42,36.40248605895316
-0.047884032,0.16280572,10.055647,162.0,-0.058599997,0.1977,9.8043995,0.019399999,-0.0016,0.50229996,0.009992,-0.003282,-0.569372,2016-11-03 14:37:43,37.66526936679422
-0.019153614,0.19153613,10.04607,162.0,-0.0433,0.1918,9.8046,-0.0154,0.0139999995,0.47259998,0.009368,-0.003579,-0.554137,2016-11-03 14:37:44,40.30694321480609
-0.06703765,0.20111294,9.921572,162.0,-0.0569,0.19579999,9.8045,-0.0117,0.0101,0.3551,0.009914,-0.003133,-0.555507,2016-11-03 14:37:45,40.76585721120351
-0.038307227,0.22026655,10.036493,162.0,-0.0497,0.1885,9.8047,-0.0286,0.0565,0.4922,0.009255,-0.00364,-0.591358,2016-11-03 14:37:46,33.66188526714355
-0.06703765,0.20111294,10.103531,162.0,-0.0482,0.2003,9.8043995,0.058,0.0252,0.463,0.009809,-0.003764,-0.566715,2016-11-03 14:37:47,34.90603424797843
-0.05746084,0.19153613,10.103531,159.0,-0.061899997,0.1955,9.8045,0.0030999999,4.9999997E-4,0.5415,0.010015,-0.003019,-0.564415,2016-11-03 14:37:48,34.21746560545718
-0.076614454,0.16280572,10.065224,162.0,-0.049999997,0.1937,9.8046,9.0E-4,0.0121,0.52169997,0.009648,-0.0033169999,-0.551086,2016-11-03 14:37:49,35.448659087575734
-0.05746084,0.20111294,9.998186,162.0,-0.053099997,0.19,9.8046,-0.0056999996,0.0158,0.4727,0.009564,-0.00313,-0.555378,2016-11-03 14:37:50,33.903711844673495
-0.08619126,0.22026655,9.988609,162.0,-0.0609,0.1973,9.8043995,-0.0273,0.028099999,0.4238,0.009995,-0.0033169999,-0.580959,2016-11-03 14:37:51,35.78953501358106
-0.076614454,0.22026655,10.0748005,155.0,-0.053099997,0.1855,9.8047,0.0138,0.0105,0.45299998,0.009304,-0.003203,-0.573108,2016-11-03 14:37:52,34.47403706598379
-0.02873042,0.20111294,10.036493,162.0,-0.0471,0.2003,9.8043995,-0.0018,-0.023799999,0.4238,0.009759,-0.003857,-0.570947,2016-11-03 14:37:54,35.338069987528534
-0.038307227,0.21068975,10.065224,162.0,-0.0598,0.1955,9.8045,0.0206,0.0202,0.5022,0.009975,-0.003034,-0.55824697,2016-11-03 14:37:55,46.31038934365659
-0.095768064,0.22026655,10.0269165,162.0,-0.0554,0.1964,9.8045,0.0063,-0.039499998,0.4728,0.009881,-0.003269,-0.560038,2016-11-03 14:37:56,42.937127567914075
-0.047884032,0.20111294,10.084377,162.0,-0.0557,0.19839999,9.8043995,0.0067,-0.0121,0.5121,0.009897,-0.003543,-0.579246,2016-11-03 14:37:57,38.34405402956703
-0.05746084,0.1436521,10.007763,162.0,-0.0506,0.1885,9.8047,-0.0082,-0.0414,0.4432,0.009358,-0.003392,-0.572843,2016-11-03 14:37:58,31.685955312279997
-0.047884032,0.20111294,10.065224,162.0,-0.051599998,0.19659999,9.8045,0.0418,-0.02,0.4924,0.009707,-0.003633,-0.577173,2016-11-03 14:37:59,32.63603524866762
