ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
8.820838,-0.06464344,3.86903,0.047036625,0.048258353,-0.05009095,14.0,8.981828,-0.06572481,3.936093,-0.16098976,0.0010813698,-0.06706309,0.37941203,-0.39415938,0.58490527,46.659496,23.772968,2016-11-08 14:14:09,46.62388491584334
8.752603,-0.036511578,3.762488,0.04520403,0.046731193,-0.05100725,14.0,8.982699,-0.060915656,3.9341807,-0.23009682,0.024404079,-0.17169285,0.37744573,-0.39616576,0.5814614,46.659496,23.772968,2016-11-08 14:14:10,49.044155684835346
8.815451,-0.074220255,3.8750155,0.048563786,0.046120327,-0.050396383,14.0,8.979214,-0.064993866,3.9420655,-0.16376305,-0.009226389,-0.06704998,0.3805863,-0.3926381,0.5870637,46.659496,23.772968,2016-11-08 14:14:11,55.5882755407001
8.821436,-0.05327099,3.8720226,0.04734206,0.049785517,-0.052534413,14.0,8.988442,-0.15501842,3.9184494,-0.1670065,0.10174743,-0.046426773,0.38008958,-0.3941667,0.5891523,46.659496,23.95648,2016-11-08 14:14:12,53.94995025511001
8.82802,-0.06464344,3.8660371,0.045814894,0.04642576,-0.04917465,15.0,9.036124,-0.64648354,3.7551172,-0.20810413,0.5818401,0.11091995,0.38380772,-0.40075058,0.61497086,46.659496,23.95648,2016-11-08 14:14:13,50.99615622249196
8.790312,-0.077213004,3.8486793,0.05131268,0.05375614,-0.049785517,15.0,9.082056,-1.0340388,3.552099,-0.29174423,0.9568258,0.2965803,0.3905895,-0.40692413,0.6340276,46.659496,23.95648,2016-11-08 14:14:14,53.222921514312404
8.859145,-0.08319851,3.8786068,0.044898596,0.044593163,-0.050701816,15.0,9.129458,-1.2595445,3.3521562,-0.27031326,1.176346,0.52645063,0.3941056,-0.4156941,0.63877547,46.659496,23.913439,2016-11-08 14:14:15,55.147802078748065
8.7951,-0.06344634,3.8720226,0.048563786,0.04734206,-0.050396383,15.0,9.173368,-1.3043858,3.212205,-0.37826824,1.2409394,0.6598177,0.3982235,-0.42040378,0.6374414,46.659496,23.913439,2016-11-08 14:14:16,57.13418512594198
8.821436,-0.0664391,3.8654387,0.046120327,0.04917465,-0.049480084,15.0,9.2031145,-1.2164176,3.1612346,-0.38167858,1.1499784,0.7042041,0.40131667,-0.4207725,0.6329059,46.659496,23.913439,2016-11-08 14:14:17,58.82752651223104
8.815451,-0.060453594,3.8792052,0.046731193,0.04795292,-0.049480084,16.0,9.222407,-1.0528011,3.1637344,-0.40695667,0.99234754,0.7154708,0.40047073,-0.4216583,0.62287563,46.659496,23.812855,2016-11-08 14:14:18,54.95653283405502
8.815451,-0.050278235,3.8456864,0.049480084,0.04917465,-0.05009095,16.0,9.221587,-0.8602312,3.2237744,-0.4061365,0.809953,0.621912,0.40047243,-0.4181716,0.61584896,46.659496,23.812855,2016-11-08 14:14:19,64.01008246831437
8.831612,-0.045489833,3.8534677,0.04520403,0.05100725,-0.04734206,16.0,9.202806,-0.67647684,3.319808,-0.37119484,0.630987,0.5336597,0.39890763,-0.4137764,0.60929346,46.659496,23.812855,2016-11-08 14:14:20,60.137523756549626
