ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
8.264784,4.903325,1.2354081,8.0,8.240311,5.2438335,-0.8580819,0.51757324,-0.7354987,-0.8580819,2016-11-21 22:11:47,40.71934278218122
7.489063,6.1770406,-0.047884032,8.0,8.539958,4.821603,0.14982383,-0.99428535,1.2122109,-0.08172209,2016-11-21 22:11:48,38.822322833974184
8.121132,5.449203,0.16280572,8.0,8.049625,5.597963,-0.095342435,0.05448139,-0.16344418,0.13620347,2016-11-21 22:11:49,36.15299568928482
8.762778,5.133168,-0.02873042,5.0,8.049625,5.597963,-0.13620347,0.3405087,-0.53119355,-0.068101734,2016-11-21 22:11:50,47.95013147854356
8.6095495,5.5641246,-0.5554548,2.0,8.403754,5.0395284,-0.013620348,-0.2043052,0.47671217,-1.1304889,2016-11-21 22:11:51,33.96610391453885
7.153875,6.8186865,-2.2409728,2.0,8.008764,5.570722,-0.92618364,-1.9885707,1.5118586,-0.6946377,2016-11-21 22:11:52,15.846315358030509
8.446744,4.8458643,-0.60333884,2.0,7.641015,5.9929533,-1.334794,0.91256326,-0.87170225,1.1849703,2016-11-21 22:11:53,18.198933690837983
8.322245,5.9280434,1.1971009,2.0,8.430995,4.971427,-0.47671217,-0.13620347,0.8989429,1.607201,2016-11-21 22:11:54,16.316339848634588
10.802638,-0.19153613,0.076614454,5.0,8.076866,5.529861,0.57205456,1.0487667,-4.9986672,-2.6014864,2016-11-21 22:11:55,36.76967814294758
9.011775,2.6240451,1.2066777,5.0,9.425281,2.669588,0.013620348,-0.21792556,-0.16344418,1.1032481,2016-11-21 22:11:56,42.27822856704414
8.628703,-2.6048915,7.9008656,2.0,9.561484,1.525479,1.5527196,-0.42223078,-5.1621118,6.3743224,2016-11-21 22:11:57,38.398549846018845
8.599973,-1.1683705,3.6296098,2.0,8.335652,-1.3892754,4.971427,0.23154591,0.095342435,-1.1713499,2016-11-21 22:11:58,35.13686735996411
9.80665,-0.8714894,1.7717092,2.0,9.112013,-1.5799603,3.2416425,0.6401563,0.99428535,-1.2394516,2016-11-21 22:11:59,47.79030913584779
9.5385,-2.1452048,0.10534488,2.0,9.724928,-0.35412902,1.1713499,-0.068101734,-1.5390993,-0.99428535,2016-11-21 22:12:00,43.02132348090755
9.414001,-1.3503298,0.38307226,2.0,9.656826,-1.5935806,0.47671217,-0.51757324,0.19068487,0.068101734,2016-11-21 22:12:01,43.78335148584903
