ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
8.791509,-0.62249243,3.6487634,0.11444645,0.07016037,-0.20859273,2.0,0.92138094,-0.06373584,0.3833992,-0.03091693,-0.0025219247,-0.009598553,0.5416741,-0.13244016,0.8179922,2016-11-29 15:04:44,-Infinity
8.839393,-0.6799533,3.7924154,-0.086071335,-0.019044193,0.060201075,2.0,0.91735095,-0.0745173,0.39104277,-0.015446544,0.0050001293,-0.003912449,0.5344615,-0.13506301,0.8226622,2016-11-29 15:04:45,-Infinity
8.791509,-0.7182605,3.7732618,-0.047296107,-0.018567223,-0.0068971748,2.0,0.9153279,-0.073260166,0.39598957,-0.019139707,0.0030670464,-0.0071911216,0.5326865,-0.13230924,0.8247771,2016-11-29 15:04:46,-Infinity
8.801085,-0.7278373,3.7349546,0.029562708,0.029787203,-0.23276393,2.0,0.9165003,-0.07351725,0.39322057,-0.023322463,0.0032018125,-0.008171529,0.5337925,-0.13396187,0.8235232,2016-11-29 15:04:47,-Infinity
8.791509,-0.6991069,3.7924154,0.3011848,0.018761808,0.06688529,2.0,0.9175727,-0.07298118,0.3908121,-0.024420142,-1.8891692E-4,-0.0056892633,0.5348785,-0.13360968,0.82289827,2016-11-29 15:04:48,-Infinity
8.743625,-0.8331822,4.050989,0.10725396,0.0045586126,-0.042179357,2.0,0.91015756,-0.07972272,0.40651882,-0.013206959,0.003341712,-0.02120462,0.52883446,-0.13372879,0.82729495,2016-11-29 15:04:49,-Infinity
8.724471,-0.82360536,3.8786068,0.025273353,-0.015812833,0.009966461,2.0,0.9125465,-0.0847403,0.4000974,-0.019354522,-1.483038E-4,-0.010175675,0.52861774,-0.13644376,0.827015,2016-11-29 15:04:50,-Infinity
8.7532015,-0.8619126,3.8498764,0.0100231785,-0.0019233443,-0.17887561,2.0,0.9070346,-0.09144764,0.4110056,-0.01675582,-0.0020914525,-0.013272524,0.5266235,-0.13612257,0.829328,2016-11-29 15:04:51,-Infinity
8.743625,-0.91937345,3.9360676,0.04106351,-7.177207E-4,0.030724812,2.0,0.9057681,-0.09337658,0.41335824,-0.01653874,0.0014214739,-0.0057771504,0.5243615,-0.13775581,0.83021533,2016-11-29 15:04:52,-Infinity
8.7053175,-0.8523358,3.9552212,0.1120331,0.048399214,-0.08888182,2.0,0.9066341,-0.093321145,0.41146788,-0.017267287,0.005283259,0.0016762018,0.5251095,-0.13559468,0.83061326,2016-11-29 15:04:53,-Infinity
8.734048,-0.90021986,3.9264908,-0.11705397,-0.028145095,0.013866066,2.0,0.90513307,-0.092018515,0.41505018,-0.012959003,0.0019875914,-0.015322089,0.5236582,-0.13634714,0.8311616,2016-11-29 15:04:54,-Infinity
8.781932,-0.91937345,3.8498764,-0.051299155,0.013438016,-0.06368681,2.0,0.90943754,-0.09285483,0.40534088,-0.022131145,0.0010847896,-0.011467218,0.52827716,-0.13618441,0.8285951,2016-11-29 15:04:55,-Infinity
8.772355,-0.8619126,3.9073372,0.061178602,0.07983197,-0.020236274,2.0,0.9101931,-0.09313814,0.40357625,-0.01497823,0.0049439147,-0.0050973,0.5300791,-0.13574515,0.8279086,2016-11-29 15:04:56,-Infinity
8.772355,-0.8619126,3.8402996,0.075470224,0.008863286,-0.051788375,2.0,0.9135307,-0.09084342,0.39649606,-0.015423179,0.0018796548,-0.009609789,0.5322352,-0.13751729,0.825583,2016-11-29 15:04:57,-Infinity
8.829816,-0.8523358,3.821146,-0.043698214,-0.0051813396,0.09261325,2.0,0.9126537,-0.08893084,0.3989417,-0.021354496,1.2613833E-5,-0.0043005347,0.531358,-0.13628007,0.8262921,2016-11-29 15:04:58,-Infinity
8.762778,-0.8619126,3.9073372,-7.315689E-4,0.0016569991,-0.06896247,3.0,0.91345394,-0.08853341,0.39719477,-0.017329454,0.0014785156,-0.0024347603,0.53180254,-0.13580595,0.82626855,2016-11-29 15:04:59,-Infinity
8.829816,-0.92895025,3.620033,-0.10187854,-0.017032752,0.14154153,3.0,0.9240594,-0.09322539,0.37070647,-0.020043135,3.9738417E-4,-5.429089E-4,0.54479116,-0.13916872,0.8174984,2016-11-29 15:05:00,-Infinity
8.724471,-0.93852705,3.763685,-0.056052145,0.044910535,0.004039787,3.0,0.91542137,-0.098871365,0.39016438,-0.019190729,-0.004277356,-0.0072511733,0.53548324,-0.13780338,0.82428217,2016-11-29 15:05:01,-Infinity
8.762778,-0.9672575,3.6583402,-0.035764992,-0.06428694,0.10960748,3.0,0.91409546,-0.09973458,0.39304262,-0.024941444,0.003890276,-0.008731335,0.5319665,-0.13904157,0.82631093,2016-11-29 15:05:02,-Infinity
8.810662,-0.94810385,3.7062242,-0.05089052,0.009790792,-0.17955299,3.0,0.9161865,-0.098805174,0.38838097,-0.016253471,0.0039200336,-0.010003418,0.5348541,-0.13901402,0.82447624,2016-11-29 15:05:03,-Infinity
8.810662,-0.9768343,3.8402996,0.3142407,0.03641765,0.043899707,3.0,0.9158851,-0.09896058,0.38905182,-0.023663104,0.0012255162,-0.0021099746,0.5350255,-0.13937463,0.8242874,2016-11-29 15:05:04,-Infinity
8.992621,-1.0726024,3.8307228,-0.11821553,-0.11033441,0.4907061,2.0,0.9165739,-0.09982409,0.3872047,0.024337292,-0.013177693,-0.0036692917,0.534523,-0.14175884,0.8236795,2016-11-29 15:05:05,-Infinity
9.088389,-0.5746084,3.122039,0.027175147,-0.30340472,-0.0777571,2.0,0.9384269,-0.04299546,0.34279191,-0.022168458,0.011230148,-0.035943717,0.5504737,-0.13336068,0.8091108,2016-11-29 15:05:06,-Infinity
9.002198,-0.545878,3.122039,0.21319401,0.06254677,-0.018330753,2.0,0.94241005,-0.057797037,0.32942787,-0.021825314,0.009686235,-0.010025531,0.5632351,-0.13809898,0.80162424,2016-11-29 15:05:07,-Infinity
7.843405,-0.9864111,6.0525417,2.8676891,2.1497786,1.0645024,2.0,0.9613443,-0.09710735,0.25765726,-0.17893499,0.038473625,0.25109306,0.59253335,-0.16782475,0.77605766,2016-11-29 15:05:08,-Infinity
9.002198,-0.10534488,2.0015526,-0.3205866,-0.8183052,-0.22283466,2.0,0.9348358,-0.04574414,0.35212144,-0.03407246,0.026252348,-0.094365895,0.53212,-0.14209928,0.8157531,2016-11-29 15:05:09,-Infinity
8.1881695,-0.7661445,4.960786,0.13302079,0.5362548,0.16935223,4.0,0.88848186,-0.085217856,0.45093006,-0.0524714,0.005278304,0.051153183,0.52029437,-0.17243502,0.8174542,2016-11-29 15:05:10,-Infinity
8.1402855,-0.7661445,5.0182467,0.10996875,0.017887568,0.018645614,5.0,0.8492314,-0.08187786,0.5216339,-0.01756829,0.0036051571,-0.009655297,0.4629872,-0.15992124,0.84743404,2016-11-29 15:05:11,-Infinity
8.159439,-0.78529817,4.951209,-0.15682192,0.0032971972,-0.030622737,5.0,0.8501348,-0.07957493,0.5205177,-0.018517733,4.983619E-4,-0.014300466,0.4636995,-0.15949658,0.8468155,2016-11-29 15:05:12,-Infinity
8.1881695,-0.8331822,5.085284,0.009655312,0.006455986,-0.055427257,5.0,0.84914,-0.0808466,0.5219435,-0.014546692,0.001768589,-0.0030950904,0.4626312,-0.1568176,0.8490022,2016-11-29 15:05:13,-Infinity
8.197746,-0.7374141,5.0374002,0.032743517,0.051709987,0.021521043,5.0,0.85070217,-0.075840786,0.52014816,-0.022055447,-0.0034381822,-0.011943281,0.4626154,-0.15971406,0.8467461,2016-11-29 15:05:14,-Infinity
8.1402855,-0.7757214,4.9703627,-0.05286762,-0.021789066,0.06020528,4.0,0.8503579,-0.08076553,0.5199696,-0.019777477,0.0035492778,-0.009760678,0.4618549,-0.16154963,0.84676534,2016-11-29 15:05:15,-Infinity
8.169016,-0.78529817,5.0182467,0.11320725,-0.0072005764,0.04751358,5.0,0.84671277,-0.079574704,0.52606595,-0.015125692,0.002229184,-0.008107722,0.45984882,-0.159856,0.8484424,2016-11-29 15:05:16,-Infinity
8.1402855,-0.79487497,5.085284,0.0718918,-0.0070156213,0.14064345,4.0,0.8473965,-0.08142938,0.5246795,-0.016691864,3.8375705E-4,-0.005864918,0.4608205,-0.16017376,0.84792733,2016-11-29 15:05:17,-Infinity
8.0924015,-0.7565677,5.094861,0.24093448,0.03168737,-0.0054449234,5.0,0.845942,-0.08050873,0.5271627,-0.018203735,0.0032706931,-0.010262191,0.4597547,-0.15934016,0.8487672,2016-11-29 15:05:18,-Infinity
8.149862,-0.7565677,5.00867,-0.022668391,-0.009967886,-0.071931444,5.0,0.8466475,-0.08041654,0.52604294,-0.015096068,0.0031410009,-0.014857411,0.45989057,-0.16056418,0.84822017,2016-11-29 15:05:19,-Infinity
8.130709,-0.78529817,5.0278234,0.06577833,0.026138775,0.013781443,5.0,0.84511185,-0.08193939,0.5282726,-0.017426133,0.0102772415,-0.013286889,0.45920128,-0.16023545,0.8489041,2016-11-29 15:05:20,-Infinity
8.111555,-0.79487497,5.0757074,0.042449474,0.009129486,-0.015233897,5.0,0.84438,-0.08213889,0.52941066,-0.016736448,0.0010468811,-0.011373103,0.45859122,-0.15824315,0.8503667,2016-11-29 15:05:21,-Infinity
8.121132,-0.7374141,5.0661306,0.05506677,0.039732732,-0.035343606,5.0,0.8459611,-0.082378745,0.52684295,-0.010400116,0.0040566176,-0.007035613,0.45974925,-0.1600393,0.8489725,2016-11-29 15:05:22,-Infinity
8.130709,-0.80445176,5.046977,0.22253633,0.0361879,-0.050109744,5.0,0.84531695,-0.08087879,0.52810776,-0.01657939,0.0037406161,-0.0053638816,0.4590965,-0.15892017,0.84919506,2016-11-29 15:05:23,-Infinity
8.130709,-0.7661445,5.0757074,0.010948142,-0.0039955117,0.030316215,5.0,0.8476233,-0.07820555,0.52480346,-0.018020093,-8.7060034E-4,-0.013604581,0.46013427,-0.16048296,0.8474595,2016-11-29 15:05:24,-Infinity
8.1402855,-0.79487497,5.046977,0.057249583,0.055592347,-0.0059530586,5.0,0.84763324,-0.07952445,0.5245891,-0.019856274,4.0892512E-4,-0.0048080683,0.46026105,-0.15976277,0.84822994,2016-11-29 15:05:25,-Infinity
8.101978,-0.81402856,4.960786,-0.047671072,0.011320018,-0.0056451987,5.0,0.8453435,-0.07921991,0.52831674,-0.016613185,-9.209588E-4,-0.009480894,0.45879027,-0.15890199,0.8490016,2016-11-29 15:05:26,-Infinity
8.111555,-0.8523358,5.046977,-0.20140132,0.011422997,-0.0046736966,5.0,0.846152,-0.08010412,0.5268872,-0.01840198,-0.006486051,-0.011895955,0.45897013,-0.16060482,0.84807557,2016-11-29 15:05:27,-Infinity
8.121132,-0.7565677,5.0757074,-0.2891621,-0.05531732,0.052057676,5.0,0.84579694,-0.07904263,0.5276171,-0.01617968,-0.0019770935,-0.016439736,0.45881927,-0.15982395,0.84855527,2016-11-29 15:05:28,-Infinity
