ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
8.954314,0.009576807,2.9879637,130.0,2016-12-08 09:54:07,45.55667308059441
8.973468,-0.019153614,2.9783869,131.0,2016-12-08 09:54:08,61.900268145182345
8.935161,-0.009576807,2.882619,131.0,2016-12-08 09:54:09,34.99326452475465
8.963891,-0.009576807,3.016694,122.0,2016-12-08 09:54:10,64.49425364260352
9.002198,0.02873042,2.815581,123.0,2016-12-08 09:54:11,57.130206993752985
9.030929,-0.16280572,2.8060043,155.0,2016-12-08 09:54:12,60.68376423088472
9.059659,0.076614454,2.96881,168.0,2016-12-08 09:54:13,71.8069268163753
8.887277,0.0,2.9496565,184.0,2016-12-08 09:54:14,44.329569709991866
9.030929,0.02873042,2.9017725,181.0,2016-12-08 09:54:15,62.98714331444147
8.925584,0.0,2.9783869,175.0,2016-12-08 09:54:16,31.78338338344726
8.973468,0.019153614,2.9879637,172.0,2016-12-08 09:54:17,53.44734031452454
9.002198,0.009576807,2.9496565,173.0,2016-12-08 09:54:18,56.91231388878649
8.963891,0.038307227,2.9592333,197.0,2016-12-08 09:54:19,58.43449014747323
8.973468,-0.009576807,2.9592333,168.0,2016-12-08 09:54:20,71.08406685471732
8.963891,-0.038307227,2.930503,140.0,2016-12-08 09:54:21,57.122154531338865
8.90643,0.009576807,2.9879637,202.0,2016-12-08 09:54:22,53.41847975069407
9.002198,0.095768064,3.0262709,203.0,2016-12-08 09:54:24,71.43345671345396
8.983045,0.009576807,2.9879637,203.0,2016-12-08 09:54:25,67.80537408580767
8.963891,-0.02873042,2.9975405,203.0,2016-12-08 09:54:26,60.787030938722815
8.963891,0.019153614,2.777274,203.0,2016-12-08 09:54:27,69.10730896129115
8.90643,-0.047884032,2.930503,203.0,2016-12-08 09:54:28,67.65415609176875
9.030929,0.02873042,2.9783869,203.0,2016-12-08 09:54:29,58.754672896707866
8.954314,0.0,2.8443117,203.0,2016-12-08 09:54:30,59.43534191486574
9.050082,0.038307227,2.9113493,203.0,2016-12-08 09:54:31,56.27256684558843
9.030929,0.019153614,2.930503,203.0,2016-12-08 09:54:32,37.46905710246629
8.944737,-0.038307227,3.0358477,203.0,2016-12-08 09:54:33,59.660613436508726
8.954314,0.019153614,2.96881,203.0,2016-12-08 09:54:34,60.587314345761044
8.983045,0.05746084,2.9113493,202.0,2016-12-08 09:54:35,47.38373051175317
8.992621,-0.02873042,3.0550013,203.0,2016-12-08 09:54:36,30.11093564470938
8.954314,0.038307227,2.9113493,202.0,2016-12-08 09:54:37,50.734650372957255
8.925584,0.009576807,2.8634653,197.0,2016-12-08 09:54:38,59.06726211076702
8.983045,0.009576807,3.0358477,179.0,2016-12-08 09:54:39,62.915172136805
8.944737,0.009576807,2.96881,199.0,2016-12-08 09:54:40,60.1879198015875
9.011775,0.05746084,2.9113493,200.0,2016-12-08 09:54:41,65.65354303118505
9.002198,-0.019153614,2.96881,198.0,2016-12-08 09:54:42,62.94881315400148
8.983045,-0.009576807,3.016694,199.0,2016-12-08 09:54:43,50.73898368103322
8.983045,0.0,2.9496565,200.0,2016-12-08 09:54:44,40.37367724756494
8.992621,0.019153614,3.1124623,196.0,2016-12-08 09:54:45,57.16708827703041
8.944737,-0.009576807,2.9592333,182.0,2016-12-08 09:54:46,42.50363576958747
8.925584,-0.009576807,2.9592333,185.0,2016-12-08 09:54:47,69.2664031547064
8.944737,0.047884032,3.0454245,191.0,2016-12-08 09:54:48,69.988973800491
9.011775,-0.038307227,2.9496565,193.0,2016-12-08 09:54:49,61.74449066247142
8.992621,0.009576807,2.9975405,193.0,2016-12-08 09:54:50,53.05235609345018
8.973468,0.0,2.9017725,192.0,2016-12-08 09:54:51,29.684810027857687
8.983045,-0.019153614,2.9783869,192.0,2016-12-08 09:54:52,65.08386489274969
8.944737,0.038307227,3.0358477,192.0,2016-12-08 09:54:53,61.009418179541456
9.030929,-0.038307227,2.9017725,192.0,2016-12-08 09:54:54,58.739527197735356
8.992621,-0.076614454,2.9783869,192.0,2016-12-08 09:54:55,68.82821956270759
8.935161,0.019153614,2.9400797,192.0,2016-12-08 09:54:56,34.93280544199801
8.916007,-0.019153614,2.9113493,193.0,2016-12-08 09:54:57,73.06475991921926
8.963891,0.0,2.8634653,192.0,2016-12-08 09:54:58,69.89947349479183
9.002198,0.047884032,3.016694,192.0,2016-12-08 09:54:59,63.336636393899056
9.069236,0.0,2.9496565,194.0,2016-12-08 09:55:01,59.040906759518606
8.944737,0.009576807,2.96881,194.0,2016-12-08 09:55:02,57.44384889281248
9.011775,-0.02873042,2.920926,192.0,2016-12-08 09:55:03,63.02702555807497
9.021352,-0.009576807,3.0454245,192.0,2016-12-08 09:55:04,66.37577295065651
