ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
6.2294006,5.7255707,4.9613495,0.44992065,-0.5653229,0.1809845,0.0,4.9860168,5.6243305,6.298963,0.119432926,0.11005306,0.39167738,0.4227956,0.0092825275,0.61586845,2017-01-02 20:59:40,74.50956996227174
8.613632,1.4365997,3.4395752,0.13024902,-0.03225708,0.22151184,0.0,8.849892,1.9331572,3.756687,0.28403187,-0.14169562,-0.07501745,0.51547444,-0.20675683,0.68797106,2017-01-02 20:59:40,79.62963897956386
8.767563,0.806839,3.130844,0.08198547,0.34646606,-0.0014343262,0.0,9.194158,0.7915154,3.3183372,0.27111244,0.11892903,-0.24098039,0.5204289,-0.24487886,0.7075922,2017-01-02 20:59:41,80.03234618409947
8.650284,0.7772064,3.8400269,0.068740845,-0.0131073,-0.01322937,0.0,8.906606,0.8251414,4.0201874,-6.198883E-4,-0.0068019032,-0.040148735,0.4932086,-0.22753637,0.7267073,2017-01-02 20:59:42,79.05283907836892
8.51503,0.8751221,4.0964355,-0.008010864,0.0037994385,-0.0010223389,0.0,8.823566,0.9242196,4.1786213,0.05157852,0.0065208077,0.05674553,0.4949359,-0.20490986,0.74230576,2017-01-02 20:59:43,80.62162131567442
8.677139,0.71868896,4.2005157,-0.017166138,0.19415283,-0.08062744,0.0,8.797226,0.9613006,4.225531,0.2108717,-0.06126964,-0.05756569,0.49365774,-0.20213835,0.7433102,2017-01-02 20:59:44,45.811426383029136
8.5159,0.99554443,3.8125305,0.01133728,0.063430786,-0.018325806,0.0,8.835561,1.0763658,4.1163936,-0.0966835,0.0711025,-0.16615915,0.50214803,-0.19485816,0.7428524,2017-01-02 20:59:45,71.09056420574117
1.632843,2.7186737,9.117111,0.2638092,2.4793854,0.56889343,0.0,5.542158,1.3811488,7.971656,-2.8297024,-0.0025219917,1.1473689,0.29944164,-0.062396903,0.85742694,2017-01-02 20:59:46,45.455176394840386
-0.081832886,-0.9231415,8.833817,0.002166748,-0.0025177002,-0.005493164,0.0,0.6481731,-1.1370034,9.7189245,-0.7464518,0.15511465,-0.46519852,0.012439506,-0.06571188,0.9435899,2017-01-02 20:59:47,30.392777610337298
-0.087890625,-0.9249878,8.817017,0.006652832,-2.746582E-4,-0.0063171387,0.0,0.12945391,-1.0367371,9.750836,-0.20982912,0.03309697,-0.06575394,-0.0076263915,-0.052797362,0.9630145,2017-01-02 20:59:48,37.530842658206765
-0.086135864,-0.90808105,8.854645,0.0011444092,-0.0031280518,-0.0073242188,0.0,-0.05070958,-1.0052575,9.754859,-0.03784671,0.0018023849,0.0048274994,-0.014486045,-0.04930285,0.97114253,2017-01-02 20:59:49,38.46975530877906
-0.07896423,-0.92123413,8.815155,9.460449E-4,-0.0023040771,-0.0063171387,0.0,-0.07181518,-1.0004641,9.755219,-0.018664166,-0.033590496,-0.015937805,-0.015105131,-0.04892938,0.9728938,2017-01-02 20:59:50,32.81930588086733
-0.071777344,-0.928421,8.819946,0.0023651123,-0.003326416,-0.0030517578,0.0,-0.07542766,-0.99879324,9.7553625,0.0025316402,-0.008081675,-0.03627968,-0.015254824,-0.048807792,0.9729466,2017-01-02 20:59:51,36.31016113311614
-0.086135864,-0.9152527,8.827118,0.0035858154,-0.0016937256,-0.0046844482,0.0,-0.079550795,-0.99290735,9.755931,-0.014042303,-0.0046495795,0.0060653687,-0.015386854,-0.048468452,0.9729841,2017-01-02 20:59:52,38.09733341605766
-0.07298279,-0.9068756,8.834305,8.69751E-4,0.0030517578,0.0025787354,0.0,-0.088234104,-1.0077249,9.754337,0.0069830567,0.006417215,-0.005970955,-0.015930334,-0.049126845,0.9732171,2017-01-02 20:59:53,32.073611085051496
-0.08255005,-0.9152527,8.840286,6.713867E-4,-8.392334E-4,-4.8828125E-4,0.0,-0.09210357,-1.0190744,9.753122,-0.00870011,-0.010232449,0.0010089874,-0.016218001,-0.049660303,0.97334605,2017-01-02 20:59:54,34.024000335577625
-0.07896423,-0.91285706,8.819946,0.0012664795,-0.002456665,0.002166748,0.0,-0.09184875,-1.0152571,9.753523,-0.0029048175,-4.3272972E-5,0.003077507,-0.01616939,-0.04947019,0.9733207,2017-01-02 20:59:55,35.40256199667879
