ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.676,0.017,9.862,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-19 18:52:43,-1.9472220831554468
-0.675,0.013,9.884,0.0,0.0,-0.0010660981,30.0,-8.2825124E-4,0.02156344,-0.0042181015,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:44,33.46943087604418
-0.648,0.013,9.878,0.0,-0.0021321962,-0.0021321962,30.0,0.008748561,0.044906907,-0.0072107315,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:45,70.25315824667675
-0.684,0.018,9.881,0.0,-0.0021321962,0.0,30.0,-0.0014268011,0.035330098,-0.014992714,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:46,61.55274130844914
-0.68,0.012,9.88,0.0,0.0,-0.0010660981,30.0,0.0033616126,0.03473155,-0.009605408,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:47,76.56510432035611
-0.673,0.013,9.896,0.0,-0.0021321962,0.0,30.0,0.0033616126,0.025753293,-2.861023E-5,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:48,65.69887756406011
-0.665,0.022,9.894,0.0,0.0,-0.0010660981,30.0,-0.002025351,0.02395764,0.002366066,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:49,66.36346123266291
-0.691,0.014,9.884,0.0,-0.0010660981,0.0,30.0,-0.0050181,0.02395764,0.0017671585,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:51,56.56243558556751
-0.633,0.042,9.912,-0.0010660981,0.0,0.0,30.0,0.039873183,0.048498206,0.013738632,-0.0044874856,-0.0073074615,-0.46753806,2017-02-19 18:52:52,47.12614759991734
-0.626,-0.007,9.905,-0.0010660981,-0.008528785,0.0053304904,30.0,0.14177766,-0.10774135,0.048472404,-0.004512014,-0.007354805,-0.46758494,2017-02-19 18:52:53,72.66703670458061
-0.684,0.012,9.887,0.0,0.0,-0.0010660981,30.0,0.044213936,0.034713652,0.0047779083,-0.004512014,-0.007354805,-0.46758494,2017-02-19 18:52:54,59.8600035005267
-0.815,-0.029,9.9,0.0,-0.0021321962,0.0,30.0,0.104068995,0.055662915,0.017347336,-0.004512014,-0.007354805,-0.46758494,2017-02-19 18:52:55,66.32488091086913
-0.673,0.026,9.902,0.0,-0.0010660981,-0.0010660981,30.0,0.006505266,0.023341194,-0.0071926117,-0.004512014,-0.007354805,-0.46758494,2017-02-19 18:52:56,62.785633362446795
-0.724,0.044,9.886,0.0,0.0,0.0010660981,30.0,-0.08208019,0.016757138,-0.013776779,-0.004512014,-0.007354805,-0.46758494,2017-02-19 18:52:57,70.55099801232076
-0.593,-0.007,9.899,0.0,0.0021321962,0.0,30.0,0.08031547,0.074835494,0.015033722,-0.0046221456,-0.007561933,-0.4675368,2017-02-19 18:52:58,77.3075683605929
-0.737,0.013,9.866,0.0010660981,-0.0031982942,0.0,30.0,-0.035084575,0.031161044,0.0035762787,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:52:59,68.92594730252668
-0.786,-0.124,9.856,0.0,-0.0021321962,0.0031982942,30.0,0.1462762,0.041336402,0.011357307,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:00,61.935678956543526
-0.692,0.008,9.893,0.0,-0.0010660981,0.0,30.0,-0.009346902,0.016795836,-0.006000519,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:01,76.45680509371095
-0.625,0.037,9.872,0.0,0.0,-0.0010660981,30.0,-0.021317914,0.05630016,-0.012584686,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:02,75.62812092049056
-0.675,0.034,9.875,0.0,-0.0010660981,0.0,30.0,-0.0051570535,0.03594945,-0.013781548,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:03,74.72358756357897
-0.669,0.01,9.884,0.0,-0.0010660981,0.0,30.0,0.0032226592,0.034752347,-0.02455616,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:04,72.36470323688754
-0.687,-0.005,9.884,0.0,-0.0010660981,0.0,30.0,-0.022515014,-0.008343282,-0.0077962875,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:05,76.41956814241006
-0.677,0.025,9.889,0.0,-0.0053304904,0.0,30.0,-0.022515014,0.0024306262,-0.021562576,-0.0045055775,-0.007340472,-0.4674862,2017-02-19 18:53:06,69.06850252668437
-0.499,0.017,9.912,0.0053304904,-0.0053304904,-0.013859275,30.0,-0.2903301,0.0046375617,-0.09070778,-0.0019297512,-0.015416858,-0.46744508,2017-02-19 18:53:07,73.19169406510235
-0.699,-0.001,9.88,0.0010660981,-0.0031982942,0.0,30.0,-0.105828166,-0.079013936,-0.016662598,-0.0024359936,-0.012821233,-0.46750206,2017-02-19 18:53:08,64.418399434049
-0.67,0.009,9.881,0.0,-0.0021321962,0.0,30.0,-0.08115795,-0.051988266,0.0015850067,-0.0025036372,-0.012231199,-0.46750355,2017-02-19 18:53:09,49.76440529685916
-0.687,0.026,9.868,-0.0010660981,0.0,0.0,30.0,-0.070982605,-0.054382466,-0.007991791,-0.0025036372,-0.012231199,-0.46750355,2017-02-19 18:53:10,74.19410507702878
-0.67,0.01,9.871,0.0,-0.0021321962,0.0,30.0,-0.072179705,-0.059170872,-0.026546478,-0.0025036372,-0.012231199,-0.46750355,2017-02-19 18:53:11,77.4692192631492
