ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.519,10.024,1.409,-0.018123668,0.0031982942,0.0021321962,10.0,0.010560662,0.049637794,0.004390478,0.5239118,-0.41196734,-0.4866769,2017-03-06 21:58:04,-4.813832563621572
7.03,7.052,3.593,-0.30490404,-0.12793177,0.4402985,10.0,0.8549948,-0.81496,0.29478884,0.43109286,-0.41274264,-0.049566556,2017-03-06 21:58:05,24.21493064298169
9.877,1.559,4.527,-0.96908313,-0.30490404,0.29211086,30.0,1.034297,-0.8944603,0.94696283,0.0766936,-0.58046526,-0.07424276,2017-03-06 21:58:06,27.20123757016011
9.455,0.53,2.861,0.14712153,-0.67164177,0.118336886,10.0,0.18942451,-0.6578608,-0.08573818,-0.015163162,-0.6165768,-0.09786807,2017-03-06 21:58:07,37.04152947535654
9.656,0.039,2.893,0.0554371,0.14712153,0.06716418,10.0,0.07024288,-0.505919,-0.5049684,-0.03827317,-0.59023285,-0.08372446,2017-03-06 21:58:08,19.72861571699858
9.206,0.013,3.862,-0.07249467,-0.108742006,-0.03304904,10.0,0.1845417,-0.28835276,-0.024665117,-0.05841698,-0.56658614,-0.08776841,2017-03-06 21:58:09,24.60283982257982
9.274,0.029,3.4,0.04904051,-0.03304904,-0.0031982942,10.0,8.392334E-5,-0.17045444,0.16193867,-0.060427707,-0.58217824,-0.08185135,2017-03-06 21:58:10,50.63293397862672
9.271,-0.082,3.49,0.046908315,-0.015991472,0.0,10.0,0.03649807,-0.07780965,0.019335032,-0.07462043,-0.5783157,-0.08322729,2017-03-06 21:58:11,34.11661622353065
9.253,0.094,3.454,0.011727079,0.047974415,0.0063965884,10.0,0.07487869,-0.04410173,0.06048608,-0.06294512,-0.5816099,-0.07730435,2017-03-06 21:58:12,41.57968592772391
9.286,0.127,3.53,0.012793177,0.0010660981,0.0063965884,10.0,0.06122017,-0.035279967,-0.024917364,-0.06295051,-0.57743114,-0.08055524,2017-03-06 21:58:13,64.71241590586013
9.278,0.131,3.527,-0.013859275,0.03411514,-0.008528785,10.0,0.07616806,-0.023891695,-0.04531741,-0.06354786,-0.5759081,-0.08218039,2017-03-06 21:58:14,27.335882789321666
7.977,1.306,3.034,0.34434968,-0.19509594,-0.3272921,30.0,-2.9531636,0.72285056,-1.2110308,-0.032716345,-0.58258826,-0.07163681,2017-03-06 21:58:15,50.26666363791597
8.133,0.748,5.667,0.108742006,0.1716418,-0.1130064,30.0,-0.0869503,0.09157312,0.14565897,-0.023038378,-0.4831186,-0.0903066,2017-03-06 21:58:16,64.58025186518627
7.931,1.345,5.427,-0.0074626864,0.1716418,-0.03411514,30.0,0.44354248,-0.87608564,-0.06407452,0.047506664,-0.4955307,-0.027445382,2017-03-06 21:58:17,57.44996673275625
8.552,0.566,5.218,-0.026652452,-0.04904051,0.0554371,30.0,0.12216854,-0.35380927,0.008014679,0.03795574,-0.50098896,-2.641511E-4,2017-03-06 21:58:18,40.080809850900465
8.602,0.762,5.0,0.047974415,-0.035181236,0.0042643924,30.0,0.027794838,-0.103470504,0.025863647,0.038252458,-0.5024194,-0.0016742166,2017-03-06 21:58:19,47.2212267476401
8.693,0.839,5.031,0.013859275,-0.01705757,0.031982943,30.0,0.10124302,0.031882882,0.0231781,0.037429385,-0.5115257,0.009407389,2017-03-06 21:58:20,60.93984155484526
8.507,0.454,5.066,-0.010660981,0.029850746,-0.0031982942,30.0,-0.047800064,-0.23703972,0.07925701,0.034538258,-0.5116825,0.01589704,2017-03-06 21:58:21,62.55253726503248
8.555,0.786,5.011,0.0021321962,0.0,0.0031982942,30.0,-0.0029439926,-0.037100554,0.006577015,0.040001124,-0.510891,0.011891478,2017-03-06 21:58:22,56.98851114369699
8.567,0.832,4.945,0.0063965884,-0.0053304904,0.019189766,30.0,-0.034477234,0.023689568,-0.078262806,0.040076565,-0.511641,0.013246585,2017-03-06 21:58:23,59.94213681894739
8.55,0.666,5.047,0.015991472,0.008528785,0.0,30.0,0.0313015,0.023361504,0.005224228,0.038441505,-0.51216626,0.014972513,2017-03-06 21:58:24,52.09568031005628
8.705,0.731,4.998,-0.0031982942,-0.009594883,0.0053304904,30.0,0.051029205,-0.037115723,-0.06502819,0.039231375,-0.5119007,0.013632062,2017-03-06 21:58:25,54.474643877568276
8.616,0.813,5.013,-0.0021321962,0.0021321962,0.0010660981,30.0,0.112636566,0.026717246,-0.032251835,0.040354725,-0.5114844,0.012120873,2017-03-06 21:58:26,52.764468072727446
8.579,0.613,5.022,-0.026652452,-0.0021321962,0.026652452,30.0,-0.08582783,-0.05674383,0.0052280426,0.04023558,-0.5118832,0.014205764,2017-03-06 21:58:27,41.8301911198477
8.636,0.748,4.911,0.010660981,-0.024520256,0.0,30.0,0.037786484,-0.07432145,0.039185047,0.036477044,-0.51199865,0.015720405,2017-03-06 21:58:28,10.59959620760763
