ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.5267244,-0.5267244,9.739613,17.0,2017-03-11 15:00:34,30.55559090494453
0.51714754,-0.51714754,9.739613,17.0,2017-03-11 15:00:35,54.014581341192816
0.50757074,-0.5267244,9.739613,17.0,2017-03-11 15:00:36,46.871146083868794
0.51714754,-0.51714754,9.749189,17.0,2017-03-11 15:00:37,60.778462076703825
0.50757074,-0.51714754,9.739613,17.0,2017-03-11 15:00:38,53.42469924227953
0.45968673,-0.50757074,9.749189,17.0,2017-03-11 15:00:39,48.08200897805769
5.899313,0.94810385,6.6079965,19.0,2017-03-11 15:00:40,53.80692483907729
7.0581064,2.4420857,6.943185,20.0,2017-03-11 15:00:41,31.807845382704166
3.9839516,3.217807,-6.0142345,6.0,2017-03-11 15:00:42,53.93750676890089
9.797073,-0.18195933,3.5529952,17.0,2017-03-11 15:00:43,30.442407860787952
8.791509,-0.22026655,4.6830587,13.0,2017-03-11 15:00:44,48.77818022290817
8.781932,-0.22984336,4.6830587,13.0,2017-03-11 15:00:45,46.506511024487544
8.781932,-0.23942018,4.711789,15.0,2017-03-11 15:00:46,56.977949234035194
8.781932,-0.22984336,4.721366,27.0,2017-03-11 15:00:47,53.54964653598042
8.772355,-0.22984336,4.721366,26.0,2017-03-11 15:00:48,55.385557085153316
8.772355,-0.23942018,4.721366,20.0,2017-03-11 15:00:49,29.084693804213025
8.762778,-0.22984336,4.7309427,25.0,2017-03-11 15:00:50,62.87886174554009
8.772355,-0.22984336,4.7309427,26.0,2017-03-11 15:00:51,55.08129388823385
8.772355,-0.22026655,4.7309427,27.0,2017-03-11 15:00:52,55.61892137172791
8.762778,-0.22984336,4.7309427,26.0,2017-03-11 15:00:53,33.31502793757975
8.772355,-0.23942018,4.7309427,26.0,2017-03-11 15:00:54,61.453711612664385
8.762778,-0.22984336,4.7405195,25.0,2017-03-11 15:00:55,49.596453355214834
8.7532015,-0.22984336,4.7405195,26.0,2017-03-11 15:00:56,55.30597955107449
8.7532015,-0.22984336,4.7405195,26.0,2017-03-11 15:00:58,29.139561664320162
8.762778,-0.22026655,4.7500963,26.0,2017-03-11 15:00:59,28.541921384524617
8.743625,-0.22026655,4.7405195,27.0,2017-03-11 15:01:00,55.14331508943776
8.743625,-0.23942018,4.7309427,27.0,2017-03-11 15:01:01,65.52097593436828
8.7532015,-0.22984336,4.7500963,26.0,2017-03-11 15:01:02,32.188510242862435
8.7532015,-0.23942018,4.7405195,25.0,2017-03-11 15:01:03,21.824740951581113
8.743625,-0.22984336,4.7500963,27.0,2017-03-11 15:01:04,37.13554765486891
8.762778,-0.23942018,4.7405195,25.0,2017-03-11 15:01:05,27.19964516569711
8.7532015,-0.23942018,4.759673,26.0,2017-03-11 15:01:06,21.1451368514318
8.743625,-0.23942018,4.7405195,26.0,2017-03-11 15:01:07,59.00259209686383
8.743625,-0.23942018,4.7500963,26.0,2017-03-11 15:01:08,57.669018439858604
8.7532015,-0.24899697,4.759673,26.0,2017-03-11 15:01:09,31.41986430355253
8.743625,-0.22026655,4.759673,25.0,2017-03-11 15:01:10,40.15697693782877
8.7532015,-0.23942018,4.759673,25.0,2017-03-11 15:01:11,48.02145282137868
8.7532015,-0.23942018,4.759673,27.0,2017-03-11 15:01:12,59.2044174109145
8.743625,-0.22984336,4.7500963,27.0,2017-03-11 15:01:13,49.08098740583925
8.743625,-0.23942018,4.7500963,25.0,2017-03-11 15:01:14,63.59029265192052
8.743625,-0.23942018,4.7500963,27.0,2017-03-11 15:01:15,64.13100851697197
8.743625,-0.22026655,4.7405195,26.0,2017-03-11 15:01:16,61.81435917605846
8.743625,-0.23942018,4.759673,26.0,2017-03-11 15:01:17,37.54420170589621
8.743625,-0.23942018,4.76925,26.0,2017-03-11 15:01:18,59.69218613818006
8.743625,-0.24899697,4.76925,26.0,2017-03-11 15:01:20,57.55148360694554
8.7532015,-0.23942018,4.759673,26.0,2017-03-11 15:01:21,67.3372137754263
8.7532015,-0.22984336,4.7500963,26.0,2017-03-11 15:01:22,65.95364407043141
8.743625,-0.23942018,4.76925,26.0,2017-03-11 15:01:23,35.67244782536113
8.734048,-0.22984336,4.7500963,26.0,2017-03-11 15:01:24,65.03164030260426
8.743625,-0.22026655,4.76925,26.0,2017-03-11 15:01:25,63.98738439825144
8.743625,-0.22026655,4.759673,26.0,2017-03-11 15:01:26,65.34395749554974
8.743625,-0.22026655,4.7500963,26.0,2017-03-11 15:01:27,62.65184520617965
8.7532015,-0.23942018,4.759673,25.0,2017-03-11 15:01:28,37.24125615961053
8.743625,-0.22984336,4.7405195,25.0,2017-03-11 15:01:29,63.36782715304719
8.7532015,-0.22026655,4.759673,27.0,2017-03-11 15:01:30,62.237272261929505
8.743625,-0.22026655,4.7500963,27.0,2017-03-11 15:01:31,61.557732961980356
8.7532015,-0.22026655,4.759673,27.0,2017-03-11 15:01:32,50.36519068772965
8.7532015,-0.23942018,4.7500963,27.0,2017-03-11 15:01:33,64.46394033866339
8.7532015,-0.23942018,4.76925,25.0,2017-03-11 15:01:34,62.414246330912384
8.7532015,-0.23942018,4.76925,25.0,2017-03-11 15:01:35,34.554536517567286
8.734048,-0.23942018,4.76925,27.0,2017-03-11 15:01:36,60.148368306048894
8.743625,-0.22984336,4.76925,27.0,2017-03-11 15:01:37,53.157087896127294
8.743625,-0.22026655,4.76925,26.0,2017-03-11 15:01:38,50.97227098676444
8.734048,-0.23942018,4.7500963,26.0,2017-03-11 15:01:39,58.42359332697584
8.7532015,-0.22984336,4.7405195,26.0,2017-03-11 15:01:41,57.04889900706077
8.743625,-0.23942018,4.759673,26.0,2017-03-11 15:01:42,37.47866711211071
8.734048,-0.22026655,4.7500963,26.0,2017-03-11 15:01:43,63.108921640396275
8.743625,-0.22026655,4.7405195,25.0,2017-03-11 15:01:44,56.09008514719298
8.734048,-0.22984336,4.76925,27.0,2017-03-11 15:01:45,47.13668050233501
8.7532015,-0.24899697,4.7500963,26.0,2017-03-11 15:01:46,64.02011515654868
8.743625,-0.23942018,4.759673,26.0,2017-03-11 15:01:47,64.84021440643417
8.743625,-0.22984336,4.7405195,26.0,2017-03-11 15:01:48,65.61918705131183
8.743625,-0.22984336,4.7405195,26.0,2017-03-11 15:01:49,57.664963066125935
8.734048,-0.23942018,4.76925,26.0,2017-03-11 15:01:50,25.09544131537517
8.743625,-0.22984336,4.759673,26.0,2017-03-11 15:01:51,65.55217340660961
8.734048,-0.23942018,4.759673,27.0,2017-03-11 15:01:52,62.62167162455871
8.743625,-0.22984336,4.7500963,25.0,2017-03-11 15:01:53,67.02029042853789
8.734048,-0.24899697,4.76925,26.0,2017-03-11 15:01:54,34.95687691189471
8.724471,-0.24899697,4.76925,26.0,2017-03-11 15:01:55,65.89526332483285
8.734048,-0.24899697,4.7500963,26.0,2017-03-11 15:01:56,65.3981971671133
