ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-2.7581203,4.6926355,8.130709,0.21881509,0.38867056,0.4341283,846.0,-1.6248988,1.7725996,9.507259,-1.902771,2.3952267,-1.9615868,0.09299427,-0.08134337,-0.9863215,2017-03-25 12:33:27,47.493575917497196
1.0726024,0.48841715,9.787497,-0.2320498,-0.20373425,0.94987285,237.0,-0.6551864,3.0103462,9.310153,1.8810177,-2.2884676,0.56459934,0.104594626,-0.11989293,-0.8649547,2017-03-25 12:33:28,72.53562368338247
1.043872,0.49799395,10.649409,-0.060757928,-0.025046216,0.12723659,264.0,1.2151864,1.1370854,9.664407,0.078746684,-0.89191914,1.6541024,-0.008892766,-0.08469561,-0.7530194,2017-03-25 12:33:29,46.22189340552863
1.484405,-0.16280572,10.055647,0.06311328,0.04729585,0.46658537,305.0,1.3577306,0.92859626,9.667712,0.18136868,-0.6017079,-0.078987874,-0.009535471,-0.083623715,-0.65208554,2017-03-25 12:33:30,60.86830297281835
1.13964,1.8387469,9.576807,0.117478654,-0.11835592,-0.2880971,411.0,1.7905289,0.69474757,9.616743,-0.11522615,0.70814824,-0.02801798,-0.025614422,-0.09500811,-0.5890731,2017-03-25 12:33:31,59.634832777955246
3.7828386,0.2777274,9.078813,-0.1684803,-0.15138859,0.14979476,279.0,2.4792821,1.2204528,9.409254,0.9121844,-0.9208052,-0.6241293,-0.023516249,-0.1403873,-0.577859,2017-03-25 12:33:32,39.92596683733665
1.7429788,0.23942018,9.11712,-0.23908073,0.07781505,-0.3873523,298.0,2.9349833,0.14514469,9.356025,-0.48332074,0.04554018,0.20545909,-0.09416199,-0.11878146,-0.65154815,2017-03-25 12:33:33,55.879811343618385
1.436521,2.480393,8.963891,0.03465764,0.060670767,-0.36265156,258.0,1.7891444,0.8577001,9.603837,-0.209184,0.8857044,-0.38286197,-0.052343603,-0.08718199,-0.83045375,2017-03-25 12:33:34,63.86329360655475
-2.0207062,2.9879637,8.39886,0.07650657,0.14541487,-0.2355181,553.0,1.4602076,2.1870105,9.4474945,-3.6803243,1.1091135,-0.6078895,-0.017788315,-0.13414687,-0.8891852,2017-03-25 12:33:35,60.761243009004424
-1.0726024,2.327164,9.528923,-0.019559406,0.028453011,-0.21954033,606.0,-0.45651066,2.2762976,9.527879,-0.115543924,-0.11066221,-0.34776443,0.06462096,-0.10018764,-0.9238974,2017-03-25 12:33:36,76.29894246831834
-1.2641385,2.2218192,9.404425,-0.009191386,0.010782232,-0.035366625,703.0,-0.98985195,2.1516278,9.516358,-0.4539049,0.10934997,0.04512571,0.08250493,-0.08940744,-0.94401336,2017-03-25 12:33:37,28.332919057444734
-1.4269443,2.4229321,9.758766,-0.0049649747,0.024819331,0.058239374,794.0,-1.231447,2.1938949,9.4784355,-0.25317094,0.12156434,-0.23021995,0.09640224,-0.08626045,-0.938292,2017-03-25 12:33:38,66.91659045742159
-1.934515,1.982399,9.557653,-0.00686443,0.118955314,0.02780629,1227.0,-1.6626012,2.3066947,9.385378,-0.54389507,-0.63139194,-0.30060616,0.12023349,-0.08380248,-0.9333782,2017-03-25 12:33:39,76.05000928968713
-2.6719291,2.1452048,9.212888,0.014056456,0.059480175,-0.018591512,1423.0,-2.2757328,2.1271381,9.298749,-0.27127218,0.024876835,0.017569117,0.14831907,-0.062428016,-0.92601997,2017-03-25 12:33:40,46.55112932072843
