ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
6.397307,0.82360536,7.4986396,175.0,2017-01-29 11:47:38,NaN
6.349423,0.7565677,7.441179,192.0,2017-01-29 11:47:39,NaN
8.868123,0.19153613,4.4340615,154.0,2017-01-29 11:47:40,NaN
4.213795,2.432509,6.694188,102.0,2017-01-29 11:47:41,NaN
0.48841715,-1.8195933,10.43872,230.0,2017-01-29 11:47:42,NaN
0.47884035,0.22026655,9.624691,406.0,2017-01-29 11:47:43,NaN
0.47884035,0.22026655,9.624691,404.0,2017-01-29 11:47:44,NaN
0.47884035,0.22026655,9.634268,407.0,2017-01-29 11:47:45,NaN
0.46926352,0.22026655,9.634268,411.0,2017-01-29 11:47:46,NaN
0.46926352,0.21068975,9.634268,410.0,2017-01-29 11:47:47,NaN
0.46926352,0.21068975,9.634268,410.0,2017-01-29 11:47:48,NaN
0.45968673,0.22026655,9.624691,409.0,2017-01-29 11:47:49,NaN
0.46926352,0.21068975,9.634268,409.0,2017-01-29 11:47:50,NaN
0.47884035,0.22026655,9.634268,410.0,2017-01-29 11:47:51,NaN
0.47884035,0.21068975,9.624691,412.0,2017-01-29 11:47:52,NaN
0.46926352,0.20111294,9.634268,413.0,2017-01-29 11:47:53,NaN
0.46926352,0.21068975,9.643845,413.0,2017-01-29 11:47:54,NaN
0.45968673,0.21068975,9.624691,413.0,2017-01-29 11:47:55,NaN
0.46926352,0.22984336,9.624691,413.0,2017-01-29 11:47:56,NaN
0.46926352,0.22026655,9.653421,412.0,2017-01-29 11:47:57,NaN
0.45968673,0.21068975,9.643845,409.0,2017-01-29 11:47:58,NaN
0.46926352,0.21068975,9.653421,413.0,2017-01-29 11:47:59,NaN
0.45010993,0.21068975,9.653421,412.0,2017-01-29 11:48:00,NaN
0.45968673,0.22026655,9.634268,414.0,2017-01-29 11:48:01,NaN
0.46926352,0.22026655,9.624691,415.0,2017-01-29 11:48:02,NaN
0.47884035,0.20111294,9.643845,416.0,2017-01-29 11:48:03,NaN
0.45968673,0.22026655,9.634268,417.0,2017-01-29 11:48:04,NaN
0.45968673,0.20111294,9.643845,418.0,2017-01-29 11:48:05,NaN
0.45968673,0.22026655,9.634268,422.0,2017-01-29 11:48:06,NaN
0.45968673,0.21068975,9.643845,423.0,2017-01-29 11:48:08,NaN
0.45010993,0.22026655,9.634268,426.0,2017-01-29 11:48:09,NaN
0.46926352,0.21068975,9.634268,431.0,2017-01-29 11:48:10,NaN
0.45010993,0.22026655,9.643845,435.0,2017-01-29 11:48:11,NaN
0.45968673,0.22026655,9.653421,435.0,2017-01-29 11:48:12,NaN
0.45010993,0.22026655,9.653421,437.0,2017-01-29 11:48:13,NaN
0.45968673,0.21068975,9.643845,438.0,2017-01-29 11:48:14,NaN
0.45010993,0.21068975,9.634268,439.0,2017-01-29 11:48:15,NaN
0.45010993,0.21068975,9.653421,440.0,2017-01-29 11:48:16,NaN
0.45968673,0.21068975,9.643845,438.0,2017-01-29 11:48:17,NaN
0.45010993,0.21068975,9.643845,438.0,2017-01-29 11:48:18,NaN
0.45968673,0.22026655,9.643845,438.0,2017-01-29 11:48:19,NaN
0.46926352,0.21068975,9.643845,438.0,2017-01-29 11:48:20,NaN
