ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.2257385,0.26602173,9.828476,0.039016724,-0.23313904,0.08668518,21.0,1.8814431,0.54327124,9.609132,-0.046949744,-0.09086168,0.062454224,0.09264924,-0.038558386,0.77646786,2017-02-07 18:40:36,40.2700329574397
2.6851654,1.4157715,9.49707,0.0035858154,0.05883789,0.03048706,21.0,2.6858342,1.316283,9.339383,-0.07003975,0.06549084,-0.083535194,0.15176246,-0.028144887,0.7930419,2017-02-07 18:40:37,38.78808483855915
4.0670166,1.3248444,10.31662,0.25160217,0.24575806,-0.59135437,26.0,1.8965987,1.6222479,9.483755,2.1168861,-0.34319162,0.56518555,0.12826341,0.0033998785,0.7704662,2017-02-07 18:40:38,37.130414209773754
-0.31782532,-0.2915039,10.888504,0.47029114,-0.29299927,-0.12709045,88.0,0.4417919,-0.14506768,9.795619,-0.7716349,-0.14249007,0.8264227,0.010351928,-0.02133639,0.6952134,2017-02-07 18:40:39,47.288876967886544
0.10211182,0.097335815,10.09288,-0.008605957,-0.0010223389,0.003616333,93.0,0.111681364,0.05642859,9.805852,-0.012860902,0.039244223,-0.001958847,0.0061966474,-0.0015179544,0.75959444,2017-02-07 18:40:40,49.782777627819634
0.10092163,0.10211182,10.080917,-0.0074005127,-0.0010223389,0.003616333,93.0,0.109887496,0.071177006,9.805776,-0.011979014,0.028983116,0.006263733,0.0066742557,-1.2785426E-4,0.8287298,2017-02-07 18:40:41,50.68797375607575
0.10450745,0.109298706,10.056992,-0.008605957,-0.0010223389,0.004852295,93.0,0.110234804,0.07352925,9.805755,-0.008547738,0.0338882,3.5476685E-4,0.0067478335,3.3535613E-4,0.8584119,2017-02-07 18:40:42,57.00696924481803
0.10211182,0.10569763,10.031876,-0.0074005127,-0.0010223389,0.003616333,93.0,0.11163792,0.07537246,9.805725,0.0033835694,0.017785981,-0.010440826,0.0068574743,3.7899858E-4,0.85838604,2017-02-07 18:40:43,39.12306103252393
0.11407471,0.09135437,10.064178,-0.0074005127,-0.0010223389,0.003616333,93.0,0.1114182,0.07117281,9.805758,-1.0152906E-4,0.018419765,0.01568985,0.006737995,2.014929E-4,0.85842913,2017-02-07 18:40:44,40.918520867054546
0.10092163,0.10331726,10.04982,2.1362305E-4,1.5258789E-4,-4.5776367E-5,93.0,0.11048301,0.0918177,9.805597,-0.012411244,0.009131163,-0.008708954,0.0072374158,0.001126779,0.85822743,2017-02-07 18:40:45,41.56898240996634
0.11407471,0.097335815,10.084518,2.1362305E-4,1.5258789E-4,-4.5776367E-5,93.0,0.10735894,0.09448333,9.805607,0.0037667602,2.571568E-4,0.0095644,0.0071704867,0.0013250328,0.85821724,2017-02-07 18:40:46,41.520891196232945
0.10809326,0.094940186,10.09169,2.1362305E-4,1.5258789E-4,-4.5776367E-5,93.0,0.10656596,0.09537213,9.805608,-0.006249301,-0.0043228045,-0.0055646896,0.007159058,0.0013846116,0.85821253,2017-02-07 18:40:47,39.65951540542382
0.10450745,0.092544556,10.077332,2.1362305E-4,1.5258789E-4,-4.5776367E-5,93.0,0.10894897,0.09287734,9.805605,0.0018701553,-0.0069631934,0.0024881363,0.00719802,0.0012132549,0.8582249,2017-02-07 18:40:48,37.97938464449268
0.106903076,0.10331726,10.09169,-9.918213E-4,1.5258789E-4,-4.5776367E-5,93.0,0.10870899,0.092597626,9.805611,-0.0044733137,0.0066818073,-3.1471252E-4,0.007192524,0.0012768033,0.85821867,2017-02-07 18:40:49,38.47324480557089
0.11048889,0.09971619,10.102463,2.1362305E-4,1.5258789E-4,-4.5776367E-5,93.0,0.10842705,0.09344979,9.805605,-0.0011494979,0.0034986436,0.006439209,0.0071901684,0.0012519208,0.85822195,2017-02-07 18:40:50,39.713262322111625
0.11407471,0.09613037,10.104843,-9.918213E-4,1.5258789E-4,-4.5776367E-5,93.0,0.109334216,0.089531794,9.805632,0.009841554,0.0027505085,7.05719E-5,0.0071272617,0.0010572033,0.8582565,2017-02-07 18:40:51,38.13097579526355
0.11407471,0.098526,10.102463,-9.918213E-4,1.5258789E-4,0.0011901855,93.0,0.10928013,0.09140552,9.805615,0.0014729127,0.004342139,-0.0012025833,0.0071739657,0.0011403611,0.858238,2017-02-07 18:40:52,38.86777310779099
0.11407471,0.098526,10.101257,-9.918213E-4,1.5258789E-4,-4.5776367E-5,92.0,0.11003943,0.09082453,9.805613,6.988719E-4,0.00494767,-0.0016622543,0.0071919863,0.0010950943,0.85823977,2017-02-07 18:40:53,38.67755031716651
0.12364197,0.087753296,10.083313,-9.918213E-4,1.5258789E-4,0.0011901855,92.0,0.11169995,0.09197128,9.805583,0.008725785,-0.0068661496,-0.0046052933,0.0072947065,0.0011015453,0.8582194,2017-02-07 18:40:54,38.81326870644712
0.12005615,0.09373474,10.061783,-9.918213E-4,-0.001083374,-4.5776367E-5,92.0,0.11156028,0.09388847,9.805567,0.005477272,-0.0026941746,-0.009103775,0.0073388102,0.0011888362,0.85820085,2017-02-07 18:40:55,38.63292183270977
0.12484741,0.09613037,10.052216,-9.918213E-4,-0.001083374,-4.5776367E-5,92.0,0.11864159,0.09263453,9.805494,0.0031188354,0.0010855496,-0.008412361,0.00761592,9.482958E-4,0.85817564,2017-02-07 18:40:56,38.42811500570622
0.1260376,0.09971619,10.055801,-9.918213E-4,-0.001083374,-4.5776367E-5,92.0,0.11437955,0.096586496,9.805508,-0.009242885,0.013801359,-0.0055646896,0.0075328955,0.0012325178,0.85815865,2017-02-07 18:40:57,40.362179324468165
0.11167908,0.11288452,10.055801,-9.918213E-4,1.5258789E-4,-4.5776367E-5,92.0,0.11280205,0.09794821,9.805512,-0.0039897785,0.012447014,0.0010871887,0.0074995244,0.0013333117,0.85815334,2017-02-07 18:40:58,39.24526979769806
0.11407471,0.11528015,10.047424,-9.918213E-4,-0.001083374,-4.5776367E-5,92.0,0.11398419,0.097599424,9.805502,0.0080119,-3.2468885E-4,0.0026187897,0.0075421296,0.001287071,0.85815054,2017-02-07 18:40:59,38.111671397310886
0.1212616,0.10092163,10.0486145,-0.0022277832,1.5258789E-4,-4.5776367E-5,91.0,0.109579496,0.101448454,9.805513,-0.0018002763,0.01011765,-0.0017633438,0.00745019,0.0015705541,0.8581352,2017-02-07 18:41:00,39.18779166796156
0.10809326,0.11407471,10.064178,-9.918213E-4,1.5258789E-4,0.0011901855,91.0,0.110170715,0.100533836,9.805516,-0.0048448443,0.011015542,0.012355804,0.0075195646,0.0014255912,0.8581388,2017-02-07 18:41:01,38.83706228332392
0.1212616,0.11048889,10.040237,-9.918213E-4,-0.001083374,-4.5776367E-5,91.0,0.11313808,0.09989747,9.805489,0.005345173,0.008138239,-0.0060453415,0.0075653107,0.0014095008,0.8581319,2017-02-07 18:41:02,37.71511118988928
0.10569763,0.10809326,10.039047,-9.918213E-4,1.5258789E-4,0.0011901855,91.0,0.11226173,0.1028596,9.805468,-0.009286076,0.002739653,-0.004170418,0.0076045827,0.001561683,0.8581067,2017-02-07 18:41:03,38.768465203786356
0.11647034,0.09613037,10.05101,-9.918213E-4,-0.001083374,-4.5776367E-5,91.0,0.116005234,0.09795482,9.805475,-0.002289459,-0.004150398,0.012702942,0.0075855814,0.0012895172,0.85814196,2017-02-07 18:41:04,37.37028806823962
