ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-1.0002747,2.1574554,10.140076,35.0,2017-02-11 21:08:41,70.5129295864184
-0.9022064,2.2163086,10.100845,35.0,2017-02-11 21:08:42,36.328659908573414
-4.6875763,2.0397797,9.257477,15.0,2017-02-11 21:08:43,22.060243220468557
-5.099457,2.1182404,8.924057,15.0,2017-02-11 21:08:44,20.177504811416767
-2.353592,0.2745819,11.434555,15.0,2017-02-11 21:08:45,22.781907249910134
-2.8047028,0.0,10.532349,5.0,2017-02-11 21:08:46,25.065420253456317
-0.11767578,0.05883789,10.493118,30.0,2017-02-11 21:08:47,32.4853551450061
-0.43148804,0.5295563,10.39505,30.0,2017-02-11 21:08:48,34.827856823143456
-0.3530426,0.039230347,10.218536,30.0,2017-02-11 21:08:49,57.77114592174207
3.1969604,-3.2754211,8.159134,10.0,2017-02-11 21:08:50,58.98696986618898
-0.19613647,0.64723206,10.493118,10.0,2017-02-11 21:08:51,51.52492994706321
-0.25497437,0.58839417,10.39505,10.0,2017-02-11 21:08:52,57.34919657375861
-0.19613647,0.5295563,10.35582,10.0,2017-02-11 21:08:53,52.46753912816982
-0.19613647,0.5295563,10.43428,10.0,2017-02-11 21:08:54,43.43643765270072
-0.21574402,0.5687866,10.39505,10.0,2017-02-11 21:08:55,52.48524520764
-0.25497437,0.58839417,10.453888,10.0,2017-02-11 21:08:56,50.51194713313225
-0.19613647,0.5491791,10.453888,10.0,2017-02-11 21:08:57,41.274198589957535
-0.21574402,0.6864624,10.512726,10.0,2017-02-11 21:08:58,25.710237940849208
-0.17651367,0.5687866,10.3754425,10.0,2017-02-11 21:08:59,25.791335436741072
-0.21574402,0.5491791,10.43428,10.0,2017-02-11 21:09:00,50.88448873025288
-0.21574402,0.6276245,10.4734955,10.0,2017-02-11 21:09:01,46.13234302869813
-0.19613647,0.6276245,10.512726,10.0,2017-02-11 21:09:02,41.150807102540554
-0.15690613,0.5491791,10.39505,10.0,2017-02-11 21:09:03,22.849943867229946
-0.2942047,0.5687866,10.35582,10.0,2017-02-11 21:09:04,24.39076606680695
-0.23536682,0.5295563,10.453888,10.0,2017-02-11 21:09:05,26.82042782785519
-0.19613647,0.5687866,10.453888,10.0,2017-02-11 21:09:06,32.84491978443327
-0.25497437,0.5295563,10.414658,10.0,2017-02-11 21:09:07,28.715923167450907
-0.19613647,0.6276245,10.453888,10.0,2017-02-11 21:09:08,44.93382969898875
-0.15690613,0.6276245,10.39505,10.0,2017-02-11 21:09:09,53.25239078326262
-0.19613647,0.64723206,10.453888,10.0,2017-02-11 21:09:10,48.73214883645395
-0.21574402,0.6276245,10.493118,10.0,2017-02-11 21:09:11,47.35238719808231
-0.23536682,0.5687866,10.43428,10.0,2017-02-11 21:09:12,45.87403958955731
-0.19613647,0.60801697,10.512726,10.0,2017-02-11 21:09:13,37.591501889023405
-0.17651367,0.60801697,10.414658,10.0,2017-02-11 21:09:14,37.42518776456574
-0.23536682,0.5295563,10.512726,10.0,2017-02-11 21:09:15,51.69173780886945
-0.23536682,0.6276245,10.453888,10.0,2017-02-11 21:09:16,55.791946856293926
-0.15690613,0.58839417,10.35582,10.0,2017-02-11 21:09:17,52.04235485810338
-0.25497437,0.60801697,10.43428,10.0,2017-02-11 21:09:18,29.231205115331093
-0.15690613,0.5491791,10.43428,10.0,2017-02-11 21:09:19,33.028181980086515
-0.21574402,0.58839417,10.35582,10.0,2017-02-11 21:09:20,52.34308151045135
-0.17651367,0.58839417,10.493118,10.0,2017-02-11 21:09:21,57.85640846559659
-0.23536682,0.58839417,10.39505,10.0,2017-02-11 21:09:22,45.64313084314378
-0.25497437,0.5295563,10.3754425,10.0,2017-02-11 21:09:23,32.3109160460437
-0.23536682,0.64723206,10.532349,10.0,2017-02-11 21:09:24,53.199031855810254
-0.19613647,0.58839417,10.414658,10.0,2017-02-11 21:09:25,53.71106550729215
-0.15690613,0.58839417,10.453888,10.0,2017-02-11 21:09:26,30.210883073986917
-0.15690613,0.58839417,10.4734955,10.0,2017-02-11 21:09:27,30.57324300045179
-0.21574402,0.60801697,10.43428,10.0,2017-02-11 21:09:28,27.38323697345162
-0.25497437,0.58839417,10.4734955,10.0,2017-02-11 21:09:29,26.917305689796006
-0.23536682,0.5687866,10.532349,10.0,2017-02-11 21:09:30,40.49351220014732
-0.21574402,0.6276245,10.551956,10.0,2017-02-11 21:09:31,38.97562771260036
-0.19613647,0.60801697,10.39505,10.0,2017-02-11 21:09:32,30.75164019277493
-0.25497437,0.58839417,10.453888,10.0,2017-02-11 21:09:33,35.126192630001626
-0.21574402,0.5687866,10.532349,10.0,2017-02-11 21:09:34,44.521568916617454
-0.17651367,0.60801697,10.35582,10.0,2017-02-11 21:09:35,46.172898521136005
-0.19613647,0.60801697,10.453888,10.0,2017-02-11 21:09:36,52.09666648702479
-0.13729858,0.60801697,10.4734955,10.0,2017-02-11 21:09:37,45.13994597491376
-0.21574402,0.5687866,10.39505,10.0,2017-02-11 21:09:38,23.790539859260058
-0.19613647,0.5687866,10.336212,10.0,2017-02-11 21:09:39,44.19625845037822
-0.23536682,0.60801697,10.512726,10.0,2017-02-11 21:09:40,42.95354968836487
-0.23536682,0.58839417,10.4734955,10.0,2017-02-11 21:09:41,42.583536358015564
-0.23536682,0.60801697,10.4734955,10.0,2017-02-11 21:09:42,42.18534171839834
-0.17651367,0.5687866,10.512726,10.0,2017-02-11 21:09:43,25.84622706077178
-0.15690613,0.60801697,10.453888,10.0,2017-02-11 21:09:44,29.069260861527546
-0.21574402,0.60801697,10.4734955,10.0,2017-02-11 21:09:45,40.141141984623175
-0.21574402,0.58839417,10.512726,10.0,2017-02-11 21:09:46,43.12985812943779
-0.23536682,0.5295563,10.4734955,10.0,2017-02-11 21:09:47,35.56059744502377
-0.21574402,0.58839417,10.3754425,10.0,2017-02-11 21:09:48,42.821934936915305
-0.21574402,0.60801697,10.43428,10.0,2017-02-11 21:09:49,45.31334868451764
-0.21574402,0.5491791,10.4734955,10.0,2017-02-11 21:09:50,40.18925660352199
-0.19613647,0.58839417,10.493118,10.0,2017-02-11 21:09:51,36.366653422356066
-0.23536682,0.5491791,10.4734955,10.0,2017-02-11 21:09:52,35.08692496289519
-0.21574402,0.66685486,10.493118,10.0,2017-02-11 21:09:53,54.92301198614185
-0.17651367,0.5295563,10.4734955,10.0,2017-02-11 21:09:54,57.396650142730515
