ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.7644615,2.4540567,9.885659,-0.40000892,-0.27916613,-0.06460829,41.0,3.9801815,1.4806175,8.839475,0.78428006,0.9734392,1.0461845,0.18205349,-0.12770763,0.5559393,2017-02-15 10:36:21,41.42633997135537
5.5042696,0.8403648,11.066,0.15791667,-0.5883847,0.49039927,41.0,3.983111,0.327724,8.955324,1.5211587,0.51264083,2.1106758,0.14234939,-0.15437181,0.60217315,2017-02-15 10:36:22,44.96814223288867
5.4779334,-0.31364042,10.43872,0.12366335,0.016509201,0.10903754,0.0,4.562433,-0.55765915,8.662772,0.91550064,0.24401873,1.7759476,0.14065711,-0.1963088,0.6567236,2017-02-15 10:36:23,42.04459765185962
5.1810527,0.21547815,10.828975,0.068193965,0.13999891,0.15910657,1.0,4.4220495,0.22758824,8.75009,0.75900316,-0.012110084,2.078885,0.17504649,-0.15177944,0.7014153,2017-02-15 10:36:24,47.68268443097998
4.9703627,0.61052144,10.6158905,0.015948607,-0.013450028,0.07601674,0.0,4.0252604,0.29000765,8.93776,0.9451022,0.32051378,1.6781301,0.16978763,-0.12454187,0.74461824,2017-02-15 10:36:25,43.842227552953126
5.183447,-0.050278235,10.716447,-0.051237088,-0.04761732,-0.12105585,1.0,3.983922,-0.24918005,8.957492,1.1995249,0.19890182,1.758955,0.1523966,-0.14203167,0.75555456,2017-02-15 10:36:26,46.33222206339479
4.9200845,0.5410896,10.532093,-0.009761817,0.004505536,0.00784221,1.0,4.148516,0.3946093,8.87719,0.7715683,0.14648029,1.6549034,0.179128,-0.12365859,0.74721605,2017-02-15 10:36:27,43.24628303507919
4.9583917,0.5650316,10.522516,-0.009811086,-0.09994311,-0.013462013,0.0,4.091163,0.40839198,8.903145,0.8672285,0.1566396,1.6193714,0.17898463,-0.11897276,0.75564027,2017-02-15 10:36:28,33.52595127998117
4.939238,0.6536171,10.572795,-0.005589975,-0.028613003,-0.056072056,0.0,4.1196446,0.4783402,8.886512,0.8195934,0.17527688,1.6862831,0.18339655,-0.11535801,0.7607374,2017-02-15 10:36:29,35.20268671072016
6.6175733,0.33758244,10.110714,0.05719831,-0.03826723,-0.38310692,4.0,4.756733,-0.517298,8.560157,1.8608403,0.85488045,1.5505571,0.15558952,-0.19880536,0.6724447,2017-02-15 10:36:30,33.23338727993677
5.2409077,1.9728222,10.354922,0.6185642,0.19819112,0.05684757,0.0,4.234622,1.6854947,8.683171,1.0062857,0.28732753,1.671751,0.22015777,-0.0942808,0.68410844,2017-02-15 10:36:31,19.748322472570305
5.0517654,2.954445,10.620679,0.29681063,-0.013843112,-0.026242256,10.0,3.7471063,2.152566,8.803184,1.3046591,0.8018789,1.8174953,0.21755873,-0.064182706,0.6708595,2017-02-15 10:36:32,35.997402025707714
4.819528,2.504335,10.45069,0.08690427,0.11819695,0.020630443,9.0,3.9765007,2.0763338,8.720474,0.84302735,0.42800117,1.730216,0.22306943,-0.07451796,0.67388976,2017-02-15 10:36:33,33.45129436318415
3.9240966,2.7006595,10.462662,0.0059308596,-0.09380479,-0.021980133,7.0,3.2260427,2.1937966,8.997238,0.69805384,0.5068629,1.4654236,0.19939433,-0.040206946,0.68512124,2017-02-15 10:36:34,41.09769291169941
5.056554,2.755726,10.081984,-0.0015504924,-0.06400375,0.0067825387,6.0,4.3149896,2.2710466,8.508443,0.7415643,0.48467946,1.5735407,0.24512164,-0.078602746,0.67703617,2017-02-15 10:36:35,36.331240949485554
5.291186,2.731784,10.158598,0.0101293335,-0.012911804,0.008913866,1.0,4.495848,2.307883,8.40425,0.7953377,0.42390108,1.7543478,0.2544703,-0.082086004,0.68077,2017-02-15 10:36:36,32.402400700288936
5.209783,2.7964275,9.792285,-0.0047918255,0.1340867,-0.013456686,1.0,4.349997,2.3663585,8.46453,0.85978603,0.43006897,1.327755,0.25096825,-0.07288357,0.6852684,2017-02-15 10:36:37,30.707173636860222
4.3885717,2.8898015,10.307038,-0.011228953,-0.0055116783,-0.012390623,1.0,3.6557467,2.4200394,8.772076,0.73282504,0.4697621,1.5349627,0.22578235,-0.042267326,0.6989077,2017-02-15 10:36:38,21.924797902810713
4.426879,2.873042,10.527305,-5.8589544E-4,-0.017239707,-0.002802977,1.0,3.6904073,2.4113145,8.759956,0.73647165,0.46172762,1.7673483,0.22693318,-0.043485314,0.6998827,2017-02-15 10:36:39,24.89160986599316
4.477157,2.89459,10.508151,-0.0048962217,-0.046054576,0.006785202,1.0,3.718583,2.3971782,8.751919,0.758574,0.49741173,1.7562323,0.2274607,-0.045645773,0.69816977,2017-02-15 10:36:40,39.29646117452637
4.4939165,2.7269957,10.46745,-0.0017156084,-0.015178154,-0.0017366473,0.0,3.770352,2.2917788,8.758001,0.7235646,0.4352169,1.7094488,0.22538786,-0.051679637,0.697483,2017-02-15 10:36:41,41.647685225849635
4.498705,2.767697,10.70687,0.008925584,0.016767794,0.0014594123,0.0,3.7862103,2.3277946,8.741646,0.7124946,0.43990254,1.9652243,0.2272399,-0.05124258,0.6959613,2017-02-15 10:36:42,33.21424663999471
