ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
6.635391,1.3181305,6.2327423,0.047088623,-0.04234314,-8.087158E-4,33.696,29.87358,7.10934,1.3196946,6.6246567,-0.08149004,-0.03456688,0.061172485,-0.12954685,-0.38141426,-0.44699433,2017-02-20 16:04:36,58.04778345922131
6.3368073,1.1764679,6.3198395,0.012298584,-0.08860779,0.11714172,33.696,29.953537,6.892347,1.0269643,6.900093,0.018724442,0.2544883,0.1239686,-0.13371941,-0.3596297,-0.45254648,2017-02-20 16:04:37,59.91353133248804
7.5753784,1.1459656,4.664444,0.1988678,-0.86672974,-0.1412201,26.384003,30.00351,8.090306,0.9860357,5.453904,0.14767456,0.33701456,-0.45854473,-0.18979819,-0.4241007,-0.45656526,2017-02-20 16:04:38,52.00986672364608
7.794525,5.0331573,2.5459137,0.04385376,0.023773193,-0.09693909,14.1119995,30.033493,8.00827,4.900324,2.8328125,-0.033707142,-0.17261124,-0.22322059,-0.059208926,-0.592639,-0.48147058,2017-02-20 16:04:39,45.65097611116699
7.8645782,2.1576996,4.3500366,0.5807648,0.5610962,-0.37394714,21.279999,30.063477,8.409302,1.8659726,4.6874495,1.365118,-1.201599,0.77841187,-0.151144,-0.496712,-0.41561148,2017-02-20 16:04:40,50.19365431794415
6.841873,1.8233948,5.794815,-0.015930176,0.09649658,-0.03741455,38.975998,30.083466,7.4575806,1.7258312,6.129958,-0.34416533,0.4594016,-0.09958172,-0.12562265,-0.41034248,-0.44938478,2017-02-20 16:04:41,54.26568469693156
6.5654907,2.0152588,6.157593,-0.029251099,-0.098220825,0.04257202,38.320007,30.143433,7.1019244,2.1132236,6.4239664,-0.08047199,0.009758234,0.06608677,-0.10344384,-0.40339726,-0.4647787,2017-02-20 16:04:42,59.312868025601524
6.819687,1.870758,5.95166,-0.005508423,-0.06845093,7.4768066E-4,34.224,30.243378,7.2657843,2.0064797,6.273181,0.06328392,0.057217956,0.10486555,-0.11211963,-0.41019738,-0.46223238,2017-02-20 16:04:43,59.81419902982607
7.0682373,1.7618866,5.5110626,0.003540039,-1.0681152E-4,0.016357422,26.880005,30.413284,7.5838633,1.8581305,5.9331913,-0.06380081,0.013554931,-0.09008074,-0.12845817,-0.42556953,-0.455161,2017-02-20 16:04:44,60.43307392675924
7.1573486,1.7427521,5.5477905,-0.009857178,-0.0021209717,0.014205933,26.880005,30.51323,7.5945296,1.7899382,5.9405074,-0.011519909,0.009339929,0.041894436,-0.13043405,-0.42471376,-0.45216,2017-02-20 16:04:45,53.136629017206715
7.213501,1.6805267,5.4949493,-0.005935669,-0.0038757324,-0.0033874512,41.520004,30.563202,7.6415915,1.8342065,5.8661876,0.012626171,0.051638603,-0.02121687,-0.12826777,-0.4294312,-0.44838634,2017-02-20 16:04:46,49.314239162674276
7.2348785,2.0029907,5.205185,0.31747437,0.10417175,0.054611206,41.520004,30.573196,7.6214757,1.9779034,5.84563,-0.081635,0.4899534,0.28518772,-0.12364869,-0.43422738,-0.4416731,2017-02-20 16:04:47,47.924158442680884
7.3182526,1.8265991,5.3644867,-0.017211914,0.03303528,-0.0020446777,35.727997,30.573196,7.737276,1.9453605,5.702677,0.044900894,-0.044908762,0.068359375,-0.12663937,-0.4403116,-0.4472059,2017-02-20 16:04:48,55.18580475193509
7.217087,1.911911,5.3741302,-0.007156372,0.020370483,0.00289917,27.552002,30.563202,7.708178,1.9639658,5.7356105,-0.024641037,0.0264436,0.046737194,-0.12683302,-0.4381784,-0.45152965,2017-02-20 16:04:49,52.735496459288306
7.2387085,1.8190155,5.387558,-0.0045166016,0.0017852783,-0.002243042,27.552002,30.653152,7.7134557,1.9349114,5.738389,-0.04460478,-0.01431787,0.02898264,-0.12842979,-0.43698123,-0.45113492,2017-02-20 16:04:50,57.46239701053321
7.2243805,1.8002625,5.403549,-0.009841919,0.006942749,0.010192871,31.472,30.873032,7.7066803,1.8861663,5.7636657,0.024115086,0.040492773,-0.026368141,-0.1290514,-0.4351053,-0.44907326,2017-02-20 16:04:51,54.21118907307583
7.3007355,1.7468109,5.3831024,0.0012359619,0.0011291504,0.0057678223,34.72,30.982971,7.726881,1.8574902,5.7459054,-0.054455757,-0.059041977,-0.08999205,-0.12995552,-0.4359736,-0.44707966,2017-02-20 16:04:52,54.3884382021232
7.280014,1.8023529,5.3568726,0.008087158,-9.765625E-4,-0.0024871826,34.72,31.00296,7.7443895,1.8945146,5.7101345,-0.031606197,0.0054585934,0.021303654,-0.12791789,-0.438749,-0.44485134,2017-02-20 16:04:53,57.03967371553212
7.2426147,1.8529968,5.2686157,-0.002822876,-0.021774292,-0.006958008,29.936005,31.02295,7.7501893,1.8913532,5.703309,0.116666794,-0.0015176535,0.06600952,-0.12806483,-0.43990302,-0.4447374,2017-02-20 16:04:54,51.94880675336519
7.2830048,1.767456,5.3756866,-0.0038909912,-0.0035705566,7.9345703E-4,29.936005,31.02295,7.746049,1.8537873,5.72124,-0.030273914,0.028358102,-0.055711746,-0.13059147,-0.43684185,-0.4458784,2017-02-20 16:04:55,45.43948364221162
7.2281494,1.7293701,5.282196,-0.0140686035,-0.037490845,-0.006958008,29.936005,31.042938,7.767119,1.9098073,5.6740537,-0.10848379,-0.07574141,-0.13448954,-0.12821917,-0.44057104,-0.44495043,2017-02-20 16:04:56,43.27231756897383
7.0240326,1.4181824,5.6291504,-0.1335907,0.14543152,0.05911255,29.936005,31.052933,7.511113,1.4624531,6.13309,0.02205801,0.008843064,-0.10166407,-0.1422874,-0.41193068,-0.45595667,2017-02-20 16:04:57,46.15240934876536
