ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
7.0643005,-0.12820435,6.8713226,18.0,7.0721593,-0.1804081,6.7913475,-0.03350973,0.0528581,0.055342674,0.32574955,-0.21823126,0.7770774,2017-11-04 17:35:55,45.03061453684562
6.977417,-0.12940979,7.006317,16.0,6.9994793,-0.38311896,6.857908,-0.05553341,0.27254865,0.017420292,0.3864688,-0.031398714,0.921447,2017-11-04 17:35:56,45.44310716132845
7.0008087,-0.103530884,6.924942,13.0,6.972281,-0.09410255,6.895566,0.001888752,-0.009068795,0.0030298233,0.38198695,-0.05009932,0.91650903,2017-11-04 17:35:57,45.09608454205443
6.919876,-0.12852478,6.9555054,19.0,6.969516,-0.16043526,6.8971367,-0.06620026,0.031294912,0.011043549,0.38368073,-0.03365992,0.9209338,2017-11-04 17:35:58,51.41598992394866
6.9918823,-0.13337708,6.9098663,15.0,6.9611783,-0.13185728,6.9061565,0.027511597,-0.024969965,0.021162987,0.38197944,-0.042188533,0.91937906,2017-11-04 17:35:59,53.018059698386935
6.9680023,-0.07846069,6.8545685,19.0,6.9723763,-0.09678139,6.8954325,-0.027746677,0.01458735,-0.055859566,0.38438767,-0.02601734,0.92147475,2017-11-04 17:36:00,49.711706698076824
7.273239,-0.24682617,6.6577606,20.0,7.0038056,-0.09426884,6.8635416,0.17672777,-0.12791882,-0.32728624,-0.38171896,-0.029742599,-0.92045456,2017-11-04 17:36:01,53.97658141534145
6.999405,-0.025527954,6.8575287,25.0,6.9811187,-0.042400207,6.8871307,-0.05536318,0.020188946,-0.081339836,-0.38510385,-0.014224509,-0.9218834,2017-11-04 17:36:02,45.53887045062354
7.0003204,-0.100494385,6.883484,27.0,6.984654,-0.0645635,6.8833733,0.013861179,-0.035914198,-0.0016684532,-0.3860574,0.002306646,-0.92246693,2017-11-04 17:36:03,45.57922763297201
6.9220734,5.950928E-4,6.7457886,27.0,6.9528413,-0.048296925,6.9156384,-0.028614521,0.03422203,-0.12823296,-0.383927,8.063245E-4,-0.92335224,2017-11-04 17:36:04,47.749631428287024
7.032608,-0.10392761,6.8986816,23.0,6.982084,-0.06780858,6.885949,-0.009962082,-0.04215135,0.07958794,-0.3855325,-0.0019456061,-0.9226105,2017-11-04 17:36:05,58.18022823374943
7.018982,-0.07260132,6.901001,28.0,6.987861,-0.0674572,6.8800898,0.013571262,-0.0049747005,0.0036320686,-0.38619548,-0.008129396,-0.9219465,2017-11-04 17:36:06,50.13587138148737
6.943115,-0.053115845,6.9120483,28.0,6.9837785,-0.04815714,6.884396,-0.032370567,-0.0050158873,0.03582716,-0.38525608,-0.023900714,-0.92031425,2017-11-04 17:36:07,45.5507567839465
7.0215607,-0.05970764,6.884262,27.0,6.9989877,-0.061532848,6.8688264,0.0024204254,0.003356684,-0.00826025,-0.38692802,-0.004939585,-0.92188084,2017-11-04 17:36:08,45.72676165632853
6.9986115,-0.057174683,6.903885,30.0,6.98363,-0.049116533,6.8845396,-0.011398792,-0.014003601,-0.027179718,-0.3858847,-0.009361088,-0.9220659,2017-11-04 17:36:09,51.035847980388226
6.973984,-0.075531006,6.962723,24.0,6.992685,-0.06569411,6.875204,-0.01826334,0.0019876286,0.025978088,-0.38504714,-0.02435762,-0.9201259,2017-11-04 17:36:10,53.83238839469559
7.012039,-0.08232117,6.8589935,27.0,7.0048857,-0.060929004,6.862817,0.005516529,-0.007572878,-0.0024957657,-0.38728154,-0.0049955454,-0.92174995,2017-11-04 17:36:11,53.4214993969368
