ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-6.655881,3.4476504,6.090849,0.0,2017-01-28 08:18:37,NaN
-6.646304,3.4476504,6.081272,0.0,2017-01-28 08:18:38,NaN
-6.6750345,3.4380736,6.0716953,0.0,2017-01-28 08:18:39,NaN
-6.646304,3.3518825,6.167464,1.0,2017-01-28 08:18:40,NaN
-3.6774938,3.7062242,8.1402855,0.0,2017-01-28 08:18:41,NaN
-3.8019924,4.156334,7.9008656,3.0,2017-01-28 08:18:42,NaN
-3.7445314,4.2042184,7.7667904,3.0,2017-01-28 08:18:43,NaN
-5.7748146,3.5913026,6.9048777,1.0,2017-01-28 08:18:44,NaN
-6.1004257,3.5434184,6.483498,0.0,2017-01-28 08:18:45,NaN
4.3957543,6.7229185,5.5641246,3.0,2017-01-28 08:18:46,NaN
0.9864111,1.6567876,9.720459,0.0,2017-01-28 08:18:47,NaN
-0.08619126,0.5746084,9.662998,1.0,2017-01-28 08:18:48,NaN
-0.08619126,0.58418524,9.662998,1.0,2017-01-28 08:18:49,NaN
-0.06703765,0.5650316,9.662998,1.0,2017-01-28 08:18:50,NaN
-0.076614454,0.5746084,9.672575,1.0,2017-01-28 08:18:51,NaN
-0.076614454,0.5650316,9.672575,1.0,2017-01-28 08:18:52,NaN
-0.08619126,0.5554548,9.672575,1.0,2017-01-28 08:18:53,NaN
-0.08619126,0.5650316,9.662998,1.0,2017-01-28 08:18:54,NaN
-0.08619126,0.5554548,9.653421,1.0,2017-01-28 08:18:56,NaN
-0.095768064,0.5554548,9.672575,1.0,2017-01-28 08:18:57,NaN
-0.08619126,0.5554548,9.662998,1.0,2017-01-28 08:18:58,NaN
-0.08619126,0.5650316,9.672575,1.0,2017-01-28 08:18:59,NaN
-0.08619126,0.5650316,9.672575,1.0,2017-01-28 08:19:00,NaN
-0.08619126,0.5554548,9.662998,1.0,2017-01-28 08:19:01,NaN
-0.08619126,0.5650316,9.672575,1.0,2017-01-28 08:19:02,NaN
