ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.01,-0.035,9.873,-0.014662666,0.026881555,0.0012218889,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:57:59,-Infinity
5.506,1.621,8.123,0.2504872,-0.12952022,0.3286881,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:57:59,-Infinity
6.64,0.169,7.102,0.14662667,0.13685155,0.037878554,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:57:59,-Infinity
6.13,0.838,6.395,-0.03176911,0.3616791,-0.1881709,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:00,-Infinity
5.644,-0.114,7.255,0.67570454,0.10997,0.10019489,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:01,-Infinity
6.232,-0.483,6.378,-0.40077955,-0.105082445,-0.15517989,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:02,-Infinity
2.904,-2.427,8.643,-0.20772111,1.8120612,0.20772111,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:03,-Infinity
4.471,-1.369,8.531,-0.012218889,0.35679156,0.0048875557,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:04,-Infinity
4.65,-1.032,8.195,0.012218889,0.21749622,0.039100446,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:05,-Infinity
4.891,-0.881,8.28,0.014662666,-0.16006744,-0.0048875557,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:06,-Infinity
4.859,-0.725,8.254,-0.014662666,0.16251123,0.0012218889,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:07,-Infinity
4.819,-0.541,8.274,-0.021994,-0.015884556,-0.012218889,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:08,-Infinity
4.854,-0.656,8.242,-0.015884556,0.03176911,0.0012218889,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:09,-Infinity
4.617,-0.72,8.341,-0.015884556,0.030547222,0.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:10,-Infinity
4.642,-0.898,8.283,-0.013440778,0.017106444,0.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:11,-Infinity
4.734,-0.722,8.425,-0.012218889,-0.046431776,-0.008553222,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:12,-Infinity
4.795,-0.789,8.46,-0.010997,0.009775111,0.0012218889,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:13,-Infinity
4.49,-0.598,8.525,-0.007331333,-0.034212887,-0.0036656666,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:14,-Infinity
4.648,-0.63,8.385,-0.017106444,0.010997,-0.0024437779,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:15,-Infinity
4.58,-0.656,8.475,-0.019550223,0.057428777,-0.0024437779,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:16,-Infinity
4.468,-0.699,8.626,-0.007331333,0.028103445,0.0048875557,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:17,-Infinity
4.515,-0.776,8.6,-0.014662666,0.068425775,0.010997,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:18,-Infinity
4.708,-0.473,8.323,-0.010997,0.047653668,0.0024437779,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:19,-Infinity
2.167,-1.179,9.477,0.048875555,0.81744367,0.4850899,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:20,-Infinity
0.053,-0.391,9.719,-0.017106444,0.025659667,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:21,-Infinity
-0.106,-0.314,9.65,-0.014662666,0.024437778,-0.0012218889,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-16 17:58:22,-Infinity
