ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.11492168,3.86903,8.504205,42.0,0.0394,4.0113,8.9486,-2.0E-4,0.0681,-0.1618,0.150439,0.145313,0.68627,2017-05-21 11:27:03,43.10361956786802
1.9536686,3.8307228,7.0102224,44.0,0.76479995,3.9478998,8.9442,0.68649995,-0.5352,1.49,0.169748,0.123113,0.714127,2017-05-21 11:27:04,46.80485640360733
3.2561142,4.5202527,7.6614456,44.0,3.8729,4.6488,7.7173996,-0.46019998,-0.0592,0.1278,0.283234,0.162163,0.885904,2017-05-21 11:27:05,49.599292368116394
1.1875241,5.209783,7.73806,40.0,2.6548,4.7915,8.134,0.9147,-1.1826,0.2996,0.26452,0.123716,0.774293,2017-05-21 11:27:06,46.70928555721033
-0.038307227,4.3287168,8.121132,42.0,-0.382,4.481,8.7146,0.0289,-0.166,0.26819998,0.188978,0.141294,0.513685,2017-05-21 11:27:07,43.282174136124695
0.45968673,5.4779334,7.469909,30.0,0.23519999,5.8058996,7.8996997,0.15689999,-0.19649999,-0.48589998,0.24580699,0.191844,0.614436,2017-05-21 11:27:08,46.66770489972418
-0.11492168,4.098873,8.350976,34.0,0.1343,5.0396,8.4115,0.3363,-0.52849996,-0.25239998,0.214948,0.157884,0.591043,2017-05-21 11:27:09,43.889687790100886
1.685518,4.367024,9.768343,28.0,-0.113,4.7434998,8.5823,1.486,-0.1148,-0.8154,0.195121,0.156047,0.586569,2017-05-21 11:27:10,51.558207227473034
0.19153613,4.060566,7.73806,36.0,2.1476998,4.1096,8.641,-1.7162,-0.2262,-0.4035,0.237918,-0.053122,0.251102,2017-05-21 11:27:11,-Infinity
2.2601264,1.3024458,9.193734,46.0,2.2566,1.5814999,9.4115,-0.413,-0.2085,-0.50699997,0.109662,-0.090111,0.265625,2017-05-21 11:27:12,33.7115101708349
