ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-3.821146,1.1204864,7.97748,0.0978148,-0.4007276,-1.7644461,44.0,-3.769249,1.3037364,8.958986,-1.0255371,-0.029552633,-0.14693141,0.06450046,0.19267362,-0.051921073,2017-06-17 19:19:37,71.11649805989309
-4.0701427,0.076614454,7.7093296,-0.46906814,0.111177474,0.11946233,8.0,-3.853196,-0.956955,8.967024,-0.57128,0.40899807,-0.1168881,0.09598499,0.17957672,-0.6442203,2017-06-17 19:19:38,45.047673422654995
-4.4244847,-3.572149,8.456321,0.23709208,1.2742649,0.10113638,4.0,-4.7734375,-3.3464754,7.885797,0.5313868,-0.8173583,-0.041750245,0.022111373,0.30998126,-0.64044446,2017-06-17 19:19:39,53.51358465264332
-6.3302693,-0.25857377,8.073248,0.072158456,0.012217305,-0.058910318,6.0,-6.226732,-1.12922,7.4915333,0.23019437,0.052578036,-0.31344953,0.19318953,0.28609213,-0.6564289,2017-06-17 19:19:40,62.878038587235075
-4.855441,0.009576807,7.7189064,0.07948884,0.06352998,-0.01614975,4.0,-5.5628366,-0.34862903,8.068685,-0.017032713,-0.01836038,-0.067717135,0.19152793,0.22830455,-0.6604131,2017-06-17 19:19:41,62.00163418166875
-5.9663506,-0.08619126,7.776367,-0.032910366,0.017104227,0.024167357,6.0,-6.2033377,-0.506461,7.578422,0.025017135,-0.06015249,0.027551586,0.21490161,0.2591257,-0.6588566,2017-06-17 19:19:42,61.789996159387634
-6.081272,0.06703765,7.776367,0.02695443,-0.034208454,0.041271582,6.0,-6.2128563,-0.36495736,7.57876,0.016942002,0.0238303,0.00758872,0.22159432,0.25355124,-0.65800786,2017-06-17 19:19:43,57.18786035811181
-5.449203,0.7757214,7.8050976,-0.010919216,-0.02321288,0.038828123,6.0,-5.933737,0.73786944,7.772819,-0.009693839,-0.05281075,-0.049035322,0.24865592,0.20593046,-0.6491936,2017-06-17 19:19:44,55.52245694996738
-4.9416323,-4.462792,9.643845,-1.0310642,-1.3952162,-0.2629393,8.0,-3.2982469,-3.3596823,8.602584,-1.3456221,-0.047415685,-0.6686457,0.042959884,0.24721874,-0.7564882,2017-06-17 19:19:45,66.11306243843366
-6.7324953,5.257667,7.8146744,0.05749769,1.2339478,0.46032515,8.0,-5.6180153,4.131084,6.895103,0.6078952,0.23591585,0.3263603,0.3535215,0.23583204,-0.30916792,2017-06-17 19:19:46,69.12882579450789
-8.465898,3.2944214,6.445191,0.7563275,-0.42760566,0.25263095,14.0,-8.169371,4.220092,3.4091904,-2.2722967,0.54094225,3.8795462,0.30684286,0.489202,-0.07050325,2017-06-17 19:19:47,60.39091461328644
-4.0797195,5.535394,4.0318356,-0.0463494,-0.68539083,-0.27637833,14.0,-6.4727592,5.992883,4.2847543,1.1306152,0.9080318,-0.20768918,0.4731334,0.23657417,-0.3006801,2017-06-17 19:19:48,63.24074829378873
-6.3302693,4.0318356,6.301539,0.509538,-0.77946407,-0.81271803,14.0,-7.6704025,4.0856404,4.5434413,0.94547045,-0.23184772,0.5069168,0.48620063,0.14707288,-0.61656785,2017-06-17 19:19:49,67.25848989012822
-9.519346,5.583278,9.394848,0.15890132,-0.86254174,-0.77362263,8.0,-6.844557,2.8989978,6.396735,0.41075855,0.41917366,-0.57347995,0.42086542,0.037129402,-0.8045456,2017-06-17 19:19:50,60.915977001261695
-3.821146,4.759673,6.9048777,-0.10987939,-0.5729916,0.30394363,4.0,-4.6869164,2.752339,8.162587,-0.09631989,0.101447865,-0.5140447,0.29129627,-0.008104512,-0.84663045,2017-06-17 19:19:51,50.048999221470176
-2.6910827,2.719813,6.397307,0.69279754,-0.7635816,-0.30325642,6.0,-4.404258,2.6982355,8.336212,-0.096132666,-0.7427024,-0.052449446,0.26627114,-0.07169597,-0.9032621,2017-06-17 19:19:52,68.17267580972359
-3.4763808,4.654328,8.063671,-0.40553817,0.39584067,0.90992194,10.0,-3.4835014,3.0472944,8.645786,-0.20986146,0.6716305,-0.65927964,-0.17614911,0.1657055,0.96969247,2017-06-17 19:19:53,64.97616570483774
