ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
2.9783869,3.5817258,9.097966,17.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:37,66.08546247422319
1.9728222,1.9057846,9.442732,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:38,61.94654440391052
2.1164744,1.5705963,9.423578,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:39,56.58185282464271
2.7485435,1.6280571,9.557653,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:40,60.621481964141196
3.2082303,1.7525556,9.3661175,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:41,62.90489685380593
3.5051112,1.7908629,9.270349,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:42,67.55355832325768
3.5338416,1.7908629,9.212888,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:43,60.15269713680378
3.514688,1.6759412,9.279925,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:44,64.24676392671357
3.5625722,1.733402,9.203311,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:45,53.595436371458774
3.5625722,1.7046716,9.212888,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:46,53.41973502864808
3.5625722,1.6280571,9.241618,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:47,58.09522173052195
3.620033,1.6950948,9.241618,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:48,55.09084833842812
3.6104562,1.5131354,9.222465,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:49,47.261166645599495
2.8921957,0.6895301,9.854534,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:50,59.91138391565535
2.7102363,1.2162545,10.04607,28.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:51,65.78811575234425
