ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.102345414,-0.024520256,0.042643923,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-24 16:41:46,-0.5750751359571986
4.449,0.953,12.74,0.36993605,-0.55117273,0.120469086,120.0,3.0208247,1.2830135,4.35468,-0.16718315,-0.047801185,-0.98095727,2017-08-24 16:41:47,29.423506033828843
1.428,7.706,3.495,-2.1567163,-0.18656716,-1.3987207,30.0,0.63630784,0.69228077,-2.9118023,0.35590705,0.29019415,0.61323255,2017-08-24 16:41:48,45.319809917662326
-1.553,8.92,4.304,-0.18550107,-0.26865673,-0.009594883,30.0,-2.7415862,1.8967676,-2.8739927,0.3252073,0.20242313,0.60632235,2017-08-24 16:41:49,48.94336213122586
-1.98,9.564,4.73,0.12686567,0.058635395,-0.23454158,30.0,0.09644997,0.8110943,0.6159563,0.4222123,0.33888495,0.37279922,2017-08-24 16:41:50,43.81877924422588
-1.909,7.544,1.35,1.2100214,0.15245202,-0.08208955,30.0,1.6166847,-0.6165829,2.9998083,0.4550251,0.1919359,0.24607877,2017-08-24 16:41:51,71.9981398577663
-6.407,-11.053,7.773,-3.5362473,1.2569296,-2.3347547,30.0,-2.1098213,-3.5973444,3.4796462,-0.54645026,0.08895442,0.17346932,2017-08-24 16:41:52,39.64704148499552
-0.234,-9.076,2.038,-0.013859275,0.0,0.0,0.0,0.007492557,0.3007002,-0.06519985,-0.63668877,-0.01615279,0.027937347,2017-08-24 16:41:53,38.14671699438715
-0.226,-9.075,2.153,0.0021321962,0.0031982942,0.0,10.0,0.005656235,0.28222656,-0.037380338,-0.63379246,-0.025460862,0.039397944,2017-08-24 16:41:54,38.46825838818977
-0.231,-9.067,2.187,-0.0031982942,0.0010660981,0.0,10.0,0.0110430345,0.29837418,0.00982213,-0.63348633,-0.029656064,0.04452171,2017-08-24 16:41:55,36.67439089101542
-0.235,-9.073,2.201,-0.0010660981,0.0,0.0,10.0,0.0056560263,0.29957008,0.03914976,-0.63331914,-0.033032935,0.04863631,2017-08-24 16:41:56,48.713589666363184
-0.236,-9.057,2.244,0.0031982942,0.0,0.0,10.0,0.01104296,0.29957008,0.05471134,-0.6330794,-0.03734596,0.053891238,2017-08-24 16:41:57,41.73249511129204
-0.253,-9.053,2.261,-0.0053304904,0.0042643924,0.0,10.0,0.014035754,0.30176067,0.071643114,-0.6329668,-0.03853635,0.055347163,2017-08-24 16:41:58,37.269851825296996
-0.228,-9.049,2.248,0.0031982942,0.0010660981,0.0010660981,10.0,0.0068531483,0.3095417,0.071044564,-0.6329668,-0.03853635,0.055347163,2017-08-24 16:41:59,37.08081641089656
-0.223,-9.053,2.271,-0.0042643924,0.0031982942,0.0,10.0,0.013436936,0.30714607,0.08779931,-0.63259655,-0.04419703,0.06224407,2017-08-24 16:42:00,35.86287353507067
-0.228,-9.044,2.295,0.0010660981,0.0010660981,0.0,10.0,0.016429685,0.31432915,0.100969315,-0.6323538,-0.047545455,0.066323414,2017-08-24 16:42:01,36.41487376021039
-0.235,-9.045,2.308,0.0,0.0010660981,0.0,0.0,0.0056556314,0.31672287,0.12431228,-0.63218856,-0.049693804,0.0689406,2017-08-24 16:42:02,61.82968360775184
-0.24,-9.05,2.313,0.0010660981,0.0,0.0,0.0,0.01874461,0.31950474,0.1334287,-0.63226074,-0.04821041,0.067134306,2017-08-24 16:42:03,36.35343923206066
-0.223,-9.04,2.329,-0.0010660981,0.0,0.0,0.0,-1.2100488E-4,0.30241108,0.0680418,-0.6295755,-0.04835213,0.06763182,2017-08-24 16:42:04,35.04629462097186
-0.238,-9.043,2.333,0.0,0.0010660981,0.0,0.0,9.055063E-4,0.30325317,0.0744077,-0.62912244,-0.050106406,0.06983042,2017-08-24 16:42:05,35.5572237086471
-0.223,-9.042,2.339,0.0,0.0010660981,0.0010660981,0.0,0.019460626,0.31163406,0.080991864,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:07,35.82837183883706
-0.235,-9.033,2.348,0.0,0.0021321962,0.0,0.0,-8.9009106E-4,0.29786777,0.08398473,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:08,39.60493167293377
-0.225,-9.036,2.337,-0.0021321962,0.0,0.0,0.0,0.015869327,0.3104372,0.080991864,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:09,34.930774736079556
-0.228,-9.044,2.362,-0.0010660981,0.0010660981,0.0,0.0,0.01287657,0.3050499,0.08637893,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:10,34.397652306086194
-0.228,-9.034,2.348,-0.0010660981,0.0,0.0,0.0,0.004496865,0.3050499,0.08338606,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:11,34.59253597111558
-0.233,-9.043,2.36,0.0,0.0010660981,0.0,0.0,0.009883821,0.30684566,0.113912225,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:12,36.34014826483415
-0.227,-9.034,2.367,-0.0021321962,0.0010660981,0.0,0.0,-0.0032842904,0.31821823,0.113912225,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:13,34.42847231544195
-0.23,-9.042,2.367,0.0,0.0010660981,0.0,0.0,0.007489614,0.3002615,0.10553253,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:14,35.02133073602691
-0.233,-9.055,2.382,0.0,0.0010660981,0.0010660981,0.0,0.0062925145,0.30145836,0.113912225,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:15,34.82697763225095
-0.241,-9.036,2.393,-0.0010660981,0.0010660981,0.0010660981,0.0,0.008686721,0.3050499,0.12468612,-0.6289476,-0.052255508,0.07246939,2017-08-24 16:42:16,35.406478726087144
-0.225,-9.041,2.37,-0.0021321962,0.0,0.0,0.0,0.012073278,0.29704666,0.082415104,-0.62695146,-0.05211717,0.07259894,2017-08-24 16:42:17,33.804582188702284
