ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
7.6239166,2.3218079,5.0841064,0.4620514,-0.22679138,-0.04798889,13.0,7.789407,2.4647217,5.4240828,-0.07528114,-0.11436987,-0.27716064,0.46550637,-0.08217392,0.78115916,2017-12-15 23:41:05,NaN
7.3390045,1.5221405,6.0812836,-0.0087890625,-0.085113525,-0.023483276,15.0,7.4559617,1.5470026,6.179466,-0.04065132,-0.009029865,-0.03494072,0.4063233,-0.14084138,0.7751603,2017-12-15 23:41:06,NaN
7.4108276,1.4694672,6.1842346,-0.021575928,-0.035568237,-0.012832642,15.0,7.4191837,1.3602989,6.2670307,0.058903217,0.12150025,-0.025981426,0.3948529,-0.15672114,0.76739866,2017-12-15 23:41:07,NaN
7.087616,0.5895996,6.624771,0.27882385,-0.034500122,0.0010070801,17.0,7.377587,1.1591256,6.3559446,-0.2238164,-0.5591321,0.3258195,0.383835,-0.16913821,0.76382154,2017-12-15 23:41:08,NaN
7.324646,1.4048309,6.308731,-0.010391235,-0.031311035,-0.011764526,17.0,7.3898945,1.4378234,6.2843065,0.013046265,-0.017758965,0.0910058,0.39366874,-0.15688993,0.76187646,2017-12-15 23:41:09,NaN
7.8405914,1.8669128,5.596466,-0.10519409,-0.6773987,-0.0602417,15.0,8.01797,1.7316406,5.37438,-0.093024254,0.15349019,0.27862787,0.437947,-0.18489267,0.7200099,2017-12-15 23:41:10,NaN
6.890091,0.47827148,3.7828522,-0.5659332,0.046447754,-1.1457367,20.0,7.9388237,2.1172018,5.353776,-0.9325905,-1.6079564,-1.4926,0.44654277,-0.16623159,0.7170826,2017-12-15 23:41:11,NaN
2.5350342,-0.13583374,5.5282288,0.4284973,1.211853,0.7078247,70.0,4.8917108,1.4207822,8.379912,-2.237876,-1.5221106,-2.6481676,0.2279764,-0.1441185,0.6381226,2017-12-15 23:41:12,NaN
1.0841522,-1.0336609,10.311844,0.3363495,0.95140076,0.48890686,37.0,-0.34382075,-0.76594156,9.770645,1.427119,-0.2696216,0.565465,-0.037991174,-0.019809376,0.7841975,2017-12-15 23:41:13,NaN
-0.11534119,1.136673,9.840179,7.9345703E-4,0.0017089844,-4.5776367E-5,20.0,-0.19601466,1.1309571,9.739245,0.08181363,-8.624792E-4,0.044283867,0.027640045,0.051698282,0.78704697,2017-12-15 23:41:14,NaN
-0.11054993,1.1426697,9.852158,0.0013275146,0.0017089844,-4.5776367E-5,20.0,-0.12291639,1.1352819,9.73994,0.013692126,-0.004856348,0.0071725845,0.03056184,0.04967183,0.78899944,2017-12-15 23:41:15,NaN
-0.11175537,1.14505,9.8437805,7.9345703E-4,0.0027770996,4.8828125E-4,20.0,-0.116383195,1.145679,9.738802,0.0058903545,-0.013057351,-6.685257E-4,0.031102085,0.049919534,0.78958523,2017-12-15 23:41:16,NaN
-0.118927,1.1354828,9.846161,2.593994E-4,0.0017089844,-4.5776367E-5,20.0,-0.118803725,1.1317047,9.740407,0.0011869296,-0.008702755,-0.0016670227,0.03054486,0.049441896,0.7898829,2017-12-15 23:41:17,NaN
-0.118927,1.1510468,9.835388,7.9345703E-4,0.0011749268,4.8828125E-4,20.0,-0.11124754,1.1458368,9.738844,-0.0064770803,-0.007174492,-0.008714676,0.03131593,0.049764432,0.7895679,2017-12-15 23:41:18,NaN
-0.10217285,1.1642151,9.842575,6.1035156E-4,5.0354004E-4,3.0517578E-5,20.0,-0.108669646,1.1444944,9.739031,0.0076948553,0.007102847,-0.0038261414,0.03137657,0.04963028,0.7895888,2017-12-15 23:41:19,NaN
-0.096191406,1.1534424,9.855743,-4.5776367E-4,-3.0517578E-5,3.0517578E-5,20.0,-0.10251865,1.1435868,9.739203,0.0074927583,-0.0031455755,0.0058164597,0.03159667,0.049401097,0.78959084,2017-12-15 23:41:20,NaN
-0.09259033,1.1474457,9.856949,7.6293945E-5,5.0354004E-4,5.493164E-4,21.0,-0.09985802,1.1409079,9.739546,0.008377083,-0.006137371,0.009200096,0.031616814,0.049211446,0.78963923,2017-12-15 23:41:21,NaN
-0.09379578,1.1570282,9.854553,6.1035156E-4,-5.645752E-4,3.0517578E-5,20.0,-0.10230704,1.1425923,9.739323,0.009650096,0.0017170906,0.006816864,0.031572614,0.049355075,0.7896109,2017-12-15 23:41:22,NaN
-0.09977722,1.1546326,9.849762,7.6293945E-5,-5.645752E-4,0.001083374,20.0,-0.102370635,1.1418897,9.739405,0.0036967993,4.3523312E-4,0.005382538,0.03154696,0.04932925,0.7896257,2017-12-15 23:41:23,NaN
-0.1081543,1.1570282,9.855743,6.1035156E-4,-5.645752E-4,3.0517578E-5,20.0,-0.10262715,1.1418403,9.739407,-0.004390724,0.002543807,0.008487701,0.03153492,0.04933536,0.78962743,2017-12-15 23:41:25,NaN
-0.10336304,1.1474457,9.838989,7.6293945E-5,5.0354004E-4,5.493164E-4,20.0,-0.104929954,1.1440673,9.739122,0.0014987737,0.00774765,-0.0032958984,0.03151448,0.049495872,0.78958744,2017-12-15 23:41:26,NaN
-0.10456848,1.1582184,9.837784,-4.5776367E-4,-3.0517578E-5,3.0517578E-5,20.0,-0.10356395,1.139688,9.739649,0.0013279542,-0.001044035,-0.006652832,0.0314262,0.049279563,0.7896748,2017-12-15 23:41:27,NaN
-0.10935974,1.1594238,9.854553,7.6293945E-5,5.0354004E-4,-5.0354004E-4,20.0,-0.103743866,1.1416227,9.739421,-0.0044481233,0.004951,0.005504608,0.031482402,0.04936182,0.78963506,2017-12-15 23:41:28,NaN
-0.09977722,1.1534424,9.849762,-4.5776367E-4,-3.0517578E-5,3.0517578E-5,20.0,-0.10434887,1.1418293,9.73939,0.0057262257,-0.0010207891,0.0026082993,0.031464603,0.049389005,0.78963244,2017-12-15 23:41:29,NaN
-0.1081543,1.1570282,9.853348,6.1035156E-4,-3.0517578E-5,3.0517578E-5,20.0,-0.10248301,1.1430174,9.73927,-0.0045190454,0.0011595488,0.004576683,0.031579427,0.049377438,0.7896026,2017-12-15 23:41:30,NaN
-0.098587036,1.155838,9.847366,7.6293945E-5,-5.645752E-4,-0.0010375977,20.0,-0.09901968,1.1393176,9.73974,0.0015060157,0.0041701794,0.0020475388,0.031598676,0.049122147,0.78966993,2017-12-15 23:41:31,NaN
-0.09977722,1.1642151,9.854553,7.6293945E-5,-5.645752E-4,3.0517578E-5,20.0,-0.10207055,1.1415192,9.739451,-1.4214218E-4,0.0014537573,0.004132271,0.031546988,0.049305152,0.7896326,2017-12-15 23:41:32,NaN
-0.096191406,1.1510468,9.850952,7.6293945E-5,5.0354004E-4,-5.0354004E-4,20.0,-0.10087866,1.1396023,9.739687,-0.0017976686,-0.006488085,0.015932083,0.03150791,0.04922127,0.78966784,2017-12-15 23:41:33,NaN
-0.11294556,1.1582184,9.852158,-4.5776367E-4,5.0354004E-4,-5.0354004E-4,20.0,-0.10347144,1.142338,9.73934,-0.0071444064,0.002388358,-0.0011253357,0.03147606,0.049421202,0.7896199,2017-12-15 23:41:34,NaN
-0.10336304,1.1546326,9.849762,-4.5776367E-4,-3.0517578E-5,0.001083374,20.0,-0.10144765,1.1430004,9.739283,-7.657707E-4,-0.0013203621,1.1253357E-4,0.031620935,0.049344238,0.7896001,2017-12-15 23:41:35,NaN
-0.10336304,1.14505,9.846161,6.1035156E-4,-5.645752E-4,-5.0354004E-4,20.0,-0.099897884,1.1387991,9.739792,-0.002371192,-0.0062197447,-2.8896332E-4,0.031545974,0.049129203,0.78968316,2017-12-15 23:41:36,NaN
-0.09977722,1.1534424,9.849762,6.1035156E-4,5.0354004E-4,5.493164E-4,20.0,-0.10011752,1.1407924,9.739556,0.0014352053,1.7404556E-4,0.003692627,0.03160248,0.049215026,0.78964233,2017-12-15 23:41:37,NaN
-0.10575867,1.1570282,9.855743,6.1035156E-4,5.0354004E-4,5.493164E-4,20.0,-0.10032772,1.1417085,9.739447,-0.004287243,0.002304554,0.0052700043,0.031624015,0.0492579,0.78962386,2017-12-15 23:41:38,NaN
-0.096191406,1.1522369,9.849762,6.1035156E-4,-5.645752E-4,3.0517578E-5,20.0,-0.09782645,1.1414977,9.739496,0.0027278364,-0.0020121336,0.0014677048,0.031718723,0.049170982,0.78962135,2017-12-15 23:41:39,NaN
-0.10336304,1.1570282,9.8437805,7.6293945E-5,-5.645752E-4,5.493164E-4,20.0,-0.10134422,1.1404849,9.739579,0.0038773566,0.008728623,0.0037193298,0.03154255,0.04924139,0.7896521,2017-12-15 23:41:40,NaN
