ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.086112,-0.487968,9.822748,0.0039364696,0.027935512,-0.0035110246,270.0,0.048855875,-0.4975455,9.793899,-0.054000124,-0.003597513,-0.0264578,-0.0035217288,-0.025253678,0.97186184,2016-11-08 20:15:05,7.28876675270918
0.075348005,-0.54418004,9.809592,0.0034571365,0.022448152,-7.6573715E-4,268.0,0.05646499,-0.5150841,9.792951,-0.03084302,-0.022332061,-0.04773732,-0.006530111,-0.025609083,0.9359713,2016-11-08 20:15:06,47.776251131600276
0.074152,-0.49155602,9.827532,0.0030981675,0.022256117,-0.0029081441,267.0,0.060413096,-0.5103596,9.793176,-0.005366902,-0.023587577,-0.047512278,-0.008126532,-0.024920205,0.9073767,2016-11-08 20:15:07,46.81113082511631
0.072956,-0.50710404,9.858628,0.002871409,0.018097032,-3.6724843E-4,270.0,0.0768769,-0.5133896,9.792901,-8.6309225E-4,-0.020637568,-0.04539514,-0.009059442,-0.024878556,0.87829804,2016-11-08 20:15:08,45.99330656510666
0.066976,-0.515476,9.855041,0.0025904104,0.015919954,-0.0026788954,278.0,0.077673264,-0.49842006,9.793669,-0.0036547414,0.012271928,-0.05778233,-0.009174526,-0.024036163,0.867917,2016-11-08 20:15:10,48.12067152734815
0.069368005,-0.499928,9.862216,-5.6490302E-5,0.014051799,-2.3029931E-4,278.0,0.077999026,-0.4990239,9.793635,0.01580702,0.008080139,-0.069776714,-0.009523609,-0.023935532,0.8606292,2016-11-08 20:15:11,47.080110824418924
0.088504,-0.50232,9.867001,0.002226442,0.012757521,-2.5048293E-4,261.0,0.078733,-0.49617818,9.793776,0.0033849936,0.0013578443,-0.06246084,-0.009566647,-0.023770057,0.85742843,2016-11-08 20:15:12,47.42143719118126
0.093288004,-0.51428,9.851452,0.0021449775,0.01208882,0.002087498,152.0,0.06948334,-0.5073435,9.793271,-0.02978466,0.011720505,-0.06057342,-0.0056872424,-0.025490964,0.9371105,2016-11-08 20:15:13,52.618146563364576
0.070564,-0.528632,9.863412,0.002037026,0.011408504,0.002028009,190.0,0.18927707,-0.48729938,9.792707,0.110341065,0.0317646,-0.073097974,-3.229179E-4,-0.02666128,0.92736894,2016-11-08 20:15:15,45.38980956522661
0.033488,-0.501124,9.792849,-5.9684366E-4,0.010107771,0.00190931,189.0,0.027417073,-0.5076958,9.793462,-0.086202934,0.014956271,-0.07951836,-0.0068201968,-0.025018768,0.94888884,2016-11-08 20:15:16,48.03613430166662
0.104052,-0.525044,9.858628,-6.7159534E-4,0.008880824,0.001700636,191.0,0.017135981,-0.5195073,9.792866,-0.06897602,0.010320684,-0.08250643,-0.005903155,-0.025845654,0.9666843,2016-11-08 20:15:17,55.60813994467538
0.076544,-0.516672,9.862216,-7.9946965E-4,0.0053115673,0.001555318,189.0,0.015718762,-0.524223,9.792616,-0.06800124,-0.0015709756,-0.074385084,-0.0047378945,-0.026326586,0.9780883,2016-11-08 20:15:18,48.20803972190666
0.088504,-0.523848,9.870588,-8.8422E-4,0.006833356,0.0013934318,191.0,0.02071404,-0.52187705,9.792733,-0.08094596,0.013930947,-0.08263912,-0.003546126,-0.026401645,0.9846912,2016-11-08 20:15:19,46.19617205232849
0.096876,-0.535808,9.875372,-9.4727427E-4,0.0059966706,0.0011595134,189.0,0.019660203,-0.52595586,9.792517,-0.0652558,-0.011675825,-0.07926819,-0.0029027096,-0.026687292,0.98904735,2016-11-08 20:15:21,45.9729170307548
0.100464,-0.516672,9.847864,-9.776801E-4,0.0052337535,9.094998E-4,183.0,0.025182076,-0.52646124,9.792477,-0.053753927,-0.0073972708,-0.0745242,-0.0020952676,-0.02680068,0.9917369,2016-11-08 20:15:22,44.81389197834635
0.080132,-0.52265203,9.865805,0.0014837757,0.007088084,0.0031311829,190.0,0.03235846,-0.5270699,9.792423,-0.045381535,-0.0020259165,-0.07936171,-0.0013866608,-0.026897734,0.9932817,2016-11-08 20:15:23,46.37345144534631
0.078936,-0.515476,9.865805,-9.5718354E-4,0.0065640286,4.949719E-4,191.0,0.030793501,-0.52398777,9.792593,-0.0409665,-0.015687728,-0.07440788,-0.0011055883,-0.02674879,0.99464667,2016-11-08 20:15:24,50.56625537148974
0.081328005,-0.523848,9.874176,-9.713024E-4,0.0036078468,3.0337274E-4,189.0,0.031535592,-0.52611995,9.792478,-0.060556408,-0.0010759222,-0.06854279,-9.124126E-4,-0.026867023,0.9952428,2016-11-08 20:15:25,45.286543971167
0.092092,-0.52265203,9.869392,0.0014462322,0.003169015,8.1891194E-5,191.0,0.037250932,-0.52530074,9.7925005,-0.054841068,-0.0026487245,-0.0768921,-4.3479764E-4,-0.026856313,0.9958599,2016-11-08 20:15:27,43.205312084807225
0.075348005,-0.515476,9.869392,-9.757504E-4,0.002788026,0.0023384187,189.0,0.033071693,-0.5242489,9.792571,-0.054236315,-0.003988887,-0.0816051,-5.7520973E-4,-0.02678583,0.9960767,2016-11-08 20:15:28,43.5203682406842
0.093288004,-0.521456,9.855041,0.0015214458,0.0024740882,-2.9813126E-4,191.0,0.035588525,-0.52143407,9.792713,-0.036171474,-0.010742088,-0.073092125,-3.4441391E-4,-0.026654836,0.99636173,2016-11-08 20:15:29,48.52125420442222
0.102856,-0.517868,9.850256,0.0015311912,0.0022000559,-4.7084875E-4,189.0,0.044197127,-0.527043,9.792377,-0.050286874,-0.00558697,-0.061467152,7.569401E-5,-0.026975742,0.99637014,2016-11-08 20:15:30,45.60904731209541
0.070564,-0.5083,9.898096,-8.8085234E-4,0.0019636117,0.0018259212,190.0,0.04457851,-0.52037275,9.792733,-0.041533493,0.0010832286,-0.07187457,7.859265E-5,-0.02663814,0.99624455,2016-11-08 20:15:31,47.44241528344161
0.080132,-0.510692,9.855041,-8.57532E-4,-6.977916E-4,0.0017016847,189.0,0.044265244,-0.5244683,9.792516,-0.03347475,-0.00779628,-0.07328911,-1.810887E-5,-0.026845181,0.9960412,2016-11-08 20:15:33,45.73910587216588
0.096876,-0.525044,9.86102,-8.415356E-4,-9.104386E-4,-8.503124E-4,191.0,0.045131426,-0.5233323,9.792573,-0.04576458,-0.009052271,-0.06844693,-9.5556345E-5,-0.026791003,0.9956318,2016-11-08 20:15:34,44.70520181526651
