ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
3.144784,2.7748797,12.891579,-1.0469525,0.5360288,0.24040541,76.98,23.5,4.125359,2.6137202,8.504055,-0.9805752,0.16115971,4.387524,0.20624499,-0.15451148,0.34315905,0.0,2016-12-29 19:19:57,-Infinity
5.0158525,-0.2885013,7.1059904,0.40288195,-0.23532677,-0.052561212,76.98,23.5,5.4581814,1.601272,7.988254,-0.44232875,-1.8897734,-0.8822633,0.22317158,-0.20713277,0.48750475,0.0,2016-12-29 19:19:58,70.3160055249187
4.4520183,0.4177882,5.625177,0.15893985,-0.2492133,-0.0845258,76.98,23.5,5.5614314,1.5215151,7.9324393,-1.1094133,-1.103727,-2.3072622,0.2149088,-0.22218674,0.45734733,0.0,2016-12-29 19:19:59,71.63631785785742
4.036624,0.30526072,4.309563,-0.032807216,0.5699708,0.6611585,76.98,23.5,5.7731686,2.0184617,7.665785,-1.7365444,-1.7132009,-3.356222,0.25051144,-0.21539178,0.4724922,0.0,2016-12-29 19:20:00,73.33165157474183
4.8003745,0.38187516,4.969166,-0.04345853,-0.051093277,0.08484778,44.71,23.5,5.5427265,2.1094413,7.8100357,-0.7423522,-1.7275661,-2.84087,0.24856222,-0.20003884,0.47869027,0.0,2016-12-29 19:20:01,74.07284862366946
6.408081,1.0702082,8.356961,-0.033871412,-0.03404692,-0.17933753,44.71,23.5,5.873575,1.1505636,7.7682867,0.53450555,-0.08035539,0.58867437,0.20551641,-0.24836928,0.45201427,0.0,2016-12-29 19:20:02,72.90270268139828
4.26527,-0.045489833,4.6339774,-0.7603807,0.14490685,-0.21236259,30.0,23.5,4.3333554,3.1744123,8.20448,-0.06808511,-3.219902,-3.570503,0.26393613,-0.109649844,0.4966432,0.0,2016-12-29 19:20:03,71.36916278639609
1.6376339,5.481525,3.549404,0.69157445,1.4296181,1.4217535,30.0,23.5,3.2659905,3.6999395,8.474127,-1.6283565,1.7815853,-4.924723,0.24716653,-0.082714945,0.37617248,0.0,2016-12-29 19:20:04,73.06054797439833
3.2273839,0.8774749,4.6603136,0.16000804,-0.4399252,-0.34019458,42.17,23.5,2.9595325,2.5424926,8.996961,0.26785132,-1.6650176,-4.3366475,0.18451242,-0.085059464,0.4073618,0.0,2016-12-29 19:20:05,69.80033931264806
0.9768343,2.7150247,5.1798553,1.2732091,-0.31635025,1.1692859,42.17,23.5,3.002628,4.15798,8.358458,-2.025794,-1.4429555,-3.178602,0.26840365,0.042353965,0.67814416,0.0,2016-12-29 19:20:06,70.44887598807847
0.8631097,2.5773582,2.790442,-0.555851,-0.9618901,-0.952719,42.17,23.5,3.2329204,3.1768064,8.69619,-2.3698108,-0.59944826,-5.9057474,0.22917148,-0.063967325,0.48426867,0.0,2016-12-29 19:20:07,70.48242964082274
2.0745757,-1.7154455,5.7065797,0.7693377,-0.46547475,-0.18998937,76.98,23.5,1.4969746,-1.0465654,9.6350155,0.57760113,-0.6688801,-3.928436,-0.01802695,-0.09178686,0.40244913,0.0,2016-12-29 19:20:09,73.68881396395865
1.6723499,0.34955344,5.6060233,0.5988959,-0.57946205,0.6664827,76.98,23.5,1.054197,1.2885294,9.664195,0.618153,-0.938976,-4.0581717,0.0828753,-0.0197641,0.43481502,0.0,2016-12-29 19:20:10,75.27872796941251
1.1935096,0.9947908,6.0716953,-0.7880789,-0.6881126,0.7549007,467.8,23.5,2.5360582,1.2650363,9.388114,-1.3425486,-0.27024552,-3.3164182,0.118094705,-0.08596148,0.45581645,0.0,2016-12-29 19:20:11,75.04382565425824
2.9580362,3.3961751,10.571598,-0.06796014,-0.7797254,-0.011024422,467.8,23.5,1.951424,1.2961609,9.522638,1.0066122,2.1000142,1.0489596,0.10564644,-0.057592973,0.46313292,0.0,2016-12-29 19:20:12,74.74583470556817
