ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
3.606865,2.4516625,8.746018,0.12065105,0.3882492,0.3020528,240.83,24.7,3.2296286,1.88289,9.065944,0.3772364,0.56877255,-0.3199252,0.15205875,-0.12098448,0.35554585,0.0,2016-12-29 19:22:28,-Infinity
2.9712043,1.3874398,9.27394,0.3070838,-0.24251065,0.118805215,240.83,24.8,2.8785787,1.4173675,9.266758,0.09262568,-0.029927522,0.007182605,0.12549952,-0.10849702,0.38436455,0.0,2016-12-29 19:22:29,70.25654510677303
4.285621,2.9700072,7.78355,0.26980457,-0.062538214,0.25940973,240.83,24.8,4.211401,2.7220576,8.427441,0.074220255,0.24794951,-0.6438906,0.23835658,-0.11619227,0.49855277,0.0,2016-12-29 19:22:30,75.4136854585944
3.3901896,2.681506,8.404845,-0.01674862,0.122788236,0.20827171,240.83,24.8,3.702633,2.679411,8.676437,-0.31244332,0.0020949265,-0.27159226,0.22608092,-0.08069638,0.5493498,0.0,2016-12-29 19:22:31,77.71102587811558
2.5246856,1.13964,9.356541,-0.17440535,-8.101336E-4,-0.40852118,240.83,24.9,3.7177463,2.4844332,8.727763,-1.1930606,-1.3447932,0.6287772,0.22649845,-0.060836464,0.6404632,0.0,2016-12-29 19:22:32,76.16169028071005
2.4480712,2.6120741,8.775947,-0.2638849,-0.37261513,-0.52783585,240.83,24.9,3.1652844,2.1722891,9.023896,-0.71721303,0.4397849,-0.24794951,0.1779906,-0.090701655,0.46808934,0.0,2016-12-29 19:22:33,75.1895328569149
3.894169,-0.1388637,7.7572136,-0.25642672,0.19622357,0.66099685,240.83,24.9,3.239654,2.642151,8.870816,0.6545149,-2.781015,-1.1136031,0.20610255,-0.072325714,0.50935054,0.0,2016-12-29 19:22:34,75.0078127009831
2.4768016,-0.15083471,8.835801,-0.20103031,0.10351574,-0.449014,240.83,24.9,2.8909986,0.46851534,9.359084,-0.4141969,-0.6193501,-0.5232827,0.0869199,-0.12354733,0.4321302,0.0,2016-12-29 19:22:35,75.21173394857449
2.3391352,1.7753005,9.434352,0.02693601,-0.31299838,-0.21252452,240.83,25.0,2.943222,1.608305,9.215133,-0.604087,0.16699557,0.21921909,0.13926499,-0.10373276,0.41095364,0.0,2016-12-29 19:22:36,76.65636448528932
3.301604,-0.06823475,8.432379,0.1718141,0.04703755,0.13687795,240.83,25.0,3.394529,0.4782418,9.187899,-0.09292495,-0.54647654,-0.7555203,0.09373915,-0.15086256,0.39765894,0.0,2016-12-29 19:22:37,75.81417123235398
3.6032736,1.0151415,8.51857,-0.0018229338,-0.081871964,-0.03143595,240.83,25.0,3.6127007,1.002123,9.0616045,-0.009427169,0.013018472,-0.54303485,0.12340909,-0.15083732,0.3955761,0.0,2016-12-29 19:22:38,75.48655650629723
3.2309752,0.9876082,8.576031,-0.0806517,0.13969664,-0.032502282,240.83,25.0,3.4810197,1.0027215,9.11293,-0.25004444,-0.015113398,-0.53689975,0.11908647,-0.14554398,0.3872501,0.0,2016-12-29 19:22:39,74.22046196228568
