ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.0,3.6008794,9.107543,19.0,2017-01-28 11:00:39,NaN
0.0,3.5913026,9.088389,20.0,2017-01-28 11:00:40,NaN
0.0,3.6008794,9.107543,18.0,2017-01-28 11:00:41,NaN
0.0,3.5913026,9.088389,19.0,2017-01-28 11:00:42,NaN
-0.009576807,3.5913026,9.097966,19.0,2017-01-28 11:00:43,NaN
0.019153614,3.620033,9.078813,19.0,2017-01-28 11:00:44,NaN
-0.009576807,3.6008794,9.11712,20.0,2017-01-28 11:00:45,NaN
0.0,3.5913026,9.107543,18.0,2017-01-28 11:00:46,NaN
-0.009576807,3.5913026,9.107543,20.0,2017-01-28 11:00:47,NaN
-0.009576807,3.5913026,9.11712,20.0,2017-01-28 11:00:48,NaN
0.0,3.5817258,9.11712,19.0,2017-01-28 11:00:49,NaN
0.0,3.6008794,9.097966,20.0,2017-01-28 11:00:50,NaN
-0.019153614,3.5913026,9.11712,20.0,2017-01-28 11:00:52,NaN
-0.009576807,3.5817258,9.107543,20.0,2017-01-28 11:00:53,NaN
0.0,3.6008794,9.126697,20.0,2017-01-28 11:00:54,NaN
-0.019153614,3.5817258,9.126697,15.0,2017-01-28 11:00:55,NaN
-0.009576807,3.5913026,9.107543,19.0,2017-01-28 11:00:56,NaN
-0.009576807,3.572149,9.126697,20.0,2017-01-28 11:00:57,NaN
0.0,3.5913026,9.11712,19.0,2017-01-28 11:00:58,NaN
-0.009576807,3.5817258,9.126697,19.0,2017-01-28 11:00:59,NaN
-0.009576807,3.572149,9.126697,19.0,2017-01-28 11:01:00,NaN
-0.019153614,3.5817258,9.126697,19.0,2017-01-28 11:01:01,NaN
-0.019153614,3.5817258,9.11712,21.0,2017-01-28 11:01:02,NaN
-0.009576807,3.5817258,9.11712,19.0,2017-01-28 11:01:03,NaN
-0.12449849,3.5051112,9.203311,20.0,2017-01-28 11:01:04,NaN
6.244078,-4.414908,5.9759274,16.0,2017-01-28 11:01:05,NaN
8.762778,-2.1068976,2.9017725,10.0,2017-01-28 11:01:06,NaN
5.7365074,-4.9224787,0.91937345,23.0,2017-01-28 11:01:07,NaN
0.25857377,0.31603462,10.0269165,7.0,2017-01-28 11:01:08,NaN
