ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
7.243,-6.713,0.581,6.0,2017-04-16 17:41:14,27.847018986081956
0.261,-9.79,0.198,5.0,2017-04-16 17:41:15,35.42822631918319
0.184,-9.494,2.28,7.0,2017-04-16 17:41:17,32.033123520421
-0.59,-9.771,0.112,5.0,2017-04-16 17:41:18,59.49547781905413
-0.38,-9.843,0.103,4.0,2017-04-16 17:41:19,68.7424262833182
-0.17,-9.79,0.06,5.0,2017-04-16 17:41:20,58.92864180618751
-0.351,-9.814,0.208,5.0,2017-04-16 17:41:21,64.98821653260624
-0.413,-9.814,0.505,4.0,2017-04-16 17:41:22,58.03246558185505
-0.17,-9.829,0.251,5.0,2017-04-16 17:41:23,63.2800108341866
-0.175,-9.79,0.428,5.0,2017-04-16 17:41:24,67.61730220595818
0.452,-9.58,-0.514,3.0,2017-04-16 17:41:25,60.18201556911034
-0.576,-9.546,-0.82,3.0,2017-04-16 17:41:26,58.75858608182444
-0.71,-9.771,-0.734,3.0,2017-04-16 17:41:27,61.08640603724049
-0.691,-9.776,0.064,3.0,2017-04-16 17:41:28,55.22819275097517
-0.873,-9.762,-0.901,3.0,2017-04-16 17:41:29,60.83565070401686
-0.772,-9.795,-0.404,3.0,2017-04-16 17:41:30,54.355974279607466
-0.777,-9.776,-0.451,3.0,2017-04-16 17:41:31,60.98233074748154
-0.777,-9.781,-0.442,3.0,2017-04-16 17:41:32,62.76924327604458
-0.811,-9.776,-0.375,3.0,2017-04-16 17:41:33,60.822356739211145
-0.791,-9.786,-0.361,3.0,2017-04-16 17:41:34,63.38981996334376
-0.796,-9.795,-0.351,3.0,2017-04-16 17:41:35,62.05452877385159
-0.825,-9.771,-0.341,3.0,2017-04-16 17:41:36,61.35696587182323
-0.801,-9.781,-0.346,3.0,2017-04-16 17:41:38,62.95482821820329
-0.82,-9.786,-0.322,3.0,2017-04-16 17:41:39,62.83266895290589
-0.801,-9.781,-0.322,3.0,2017-04-16 17:41:40,62.630825212808716
-0.787,-9.795,-0.337,3.0,2017-04-16 17:41:41,35.32153423021312
-0.811,-9.781,-0.294,3.0,2017-04-16 17:41:42,62.5495910072187
-0.787,-9.786,-0.289,3.0,2017-04-16 17:41:43,60.98473536409183
-0.815,-9.795,-0.313,3.0,2017-04-16 17:41:44,58.83224802060579
-0.811,-9.771,-0.317,3.0,2017-04-16 17:41:45,61.47692518669061
-0.619,-9.79,-0.346,3.0,2017-04-16 17:41:46,63.66246779403411
-0.772,-9.742,-0.451,3.0,2017-04-16 17:41:47,49.319776450658246
-0.705,-9.786,-0.332,3.0,2017-04-16 17:41:48,63.14851788434246
-0.71,-9.79,-0.346,3.0,2017-04-16 17:41:49,61.53448308847649
-0.744,-9.786,-0.317,3.0,2017-04-16 17:41:50,63.61187120269008
-0.72,-9.79,-0.346,3.0,2017-04-16 17:41:51,63.546748482872786
-0.72,-9.805,-0.322,3.0,2017-04-16 17:41:52,63.54603128288466
-0.724,-9.79,-0.327,3.0,2017-04-16 17:41:53,59.94346716223453
-0.696,-9.809,-0.308,3.0,2017-04-16 17:41:54,59.76422441657463
-0.753,-9.776,-0.313,3.0,2017-04-16 17:41:55,63.05183992897887
-0.739,-9.79,-0.327,3.0,2017-04-16 17:41:57,63.22524318444985
-0.729,-9.8,-0.313,3.0,2017-04-16 17:41:58,63.83956651251477
-0.734,-9.805,-0.322,3.0,2017-04-16 17:41:59,57.46482181959679
-0.715,-9.805,-0.313,3.0,2017-04-16 17:42:00,62.581512732012925
-0.748,-9.79,-0.337,3.0,2017-04-16 17:42:01,65.19371736467461
-0.715,-9.781,-0.317,3.0,2017-04-16 17:42:02,61.057287035526045
-0.72,-9.79,-0.313,3.0,2017-04-16 17:42:03,62.843218765805055
-0.734,-9.8,-0.294,3.0,2017-04-16 17:42:04,58.94136195785741
-0.715,-9.776,-0.279,3.0,2017-04-16 17:42:05,63.16434020601381
-0.705,-9.795,-0.294,3.0,2017-04-16 17:42:06,64.59873407234066
-0.72,-9.814,-0.246,3.0,2017-04-16 17:42:07,60.71814644061729
-0.71,-9.8,-0.27,3.0,2017-04-16 17:42:08,26.209184890368284
-0.734,-9.786,-0.241,3.0,2017-04-16 17:42:09,61.48136155550762
-0.734,-9.776,-0.274,3.0,2017-04-16 17:42:10,59.77497147043539
-0.724,-9.79,-0.246,3.0,2017-04-16 17:42:11,59.54424625646471
-0.71,-9.809,-0.227,3.0,2017-04-16 17:42:12,66.4493161844054
-0.71,-9.805,-0.26,3.0,2017-04-16 17:42:13,65.86783663423452
-0.705,-9.795,-0.255,3.0,2017-04-16 17:42:14,59.573295284891906
-0.724,-9.795,-0.236,3.0,2017-04-16 17:42:15,63.00137777639083
-0.715,-9.786,-0.26,3.0,2017-04-16 17:42:17,57.837452300384314
-0.729,-9.805,-0.231,3.0,2017-04-16 17:42:18,62.951994267453145
-0.71,-9.795,-0.227,3.0,2017-04-16 17:42:19,65.60048330634763
-0.72,-9.795,-0.222,3.0,2017-04-16 17:42:20,61.926822370052996
-0.748,-9.786,-0.198,3.0,2017-04-16 17:42:21,62.19470086229678
-0.729,-9.8,-0.217,3.0,2017-04-16 17:42:22,63.98039661120694
-0.715,-9.8,-0.222,3.0,2017-04-16 17:42:23,60.05089457428795
-0.748,-9.809,-0.193,3.0,2017-04-16 17:42:24,63.14651811380011
-0.734,-9.79,-0.212,3.0,2017-04-16 17:42:25,66.04361853744334
-0.724,-9.795,-0.174,3.0,2017-04-16 17:42:26,57.279066326508634
-0.753,-9.781,-0.179,3.0,2017-04-16 17:42:27,65.276747652132
-0.724,-9.814,-0.183,3.0,2017-04-16 17:42:28,57.00067059839712
-0.734,-9.781,-0.179,3.0,2017-04-16 17:42:29,54.350709078943154
-0.744,-9.786,-0.203,3.0,2017-04-16 17:42:30,61.58759874972043
-0.72,-9.795,-0.193,3.0,2017-04-16 17:42:31,49.875513457831026
-0.758,-9.805,-0.203,3.0,2017-04-16 17:42:32,58.21643984519514
-0.744,-9.79,-0.174,3.0,2017-04-16 17:42:33,58.58305835466501
-0.724,-9.795,-0.164,3.0,2017-04-16 17:42:34,61.39387868499526
-0.739,-9.809,-0.164,3.0,2017-04-16 17:42:35,61.49034670994804
-0.71,-9.814,-0.183,3.0,2017-04-16 17:42:37,64.45126434933208
-0.724,-9.786,-0.188,3.0,2017-04-16 17:42:38,59.09841439996924
-0.729,-9.781,-0.174,3.0,2017-04-16 17:42:39,64.53326466565525
-0.744,-9.776,-0.198,3.0,2017-04-16 17:42:40,64.00673186972396
-0.715,-9.79,-0.193,3.0,2017-04-16 17:42:41,33.036643366704595
-0.715,-9.795,-0.179,3.0,2017-04-16 17:42:42,61.02250488920727
-0.729,-9.786,-0.145,3.0,2017-04-16 17:42:43,57.52596498491723
-0.705,-9.795,-0.126,3.0,2017-04-16 17:42:44,61.55556198689248
-0.696,-9.79,-0.112,3.0,2017-04-16 17:42:45,62.81443159286284
-0.705,-9.781,-0.107,3.0,2017-04-16 17:42:46,63.60784557364366
-0.667,-9.819,-0.089,3.0,2017-04-16 17:42:47,59.39217844311065
-0.705,-9.805,-0.102,3.0,2017-04-16 17:42:48,61.771961009279664
-0.681,-9.8,-0.107,3.0,2017-04-16 17:42:49,63.02432110777118
-0.672,-9.824,-0.093,3.0,2017-04-16 17:42:50,56.44736412740813
-0.705,-9.805,-0.097,3.0,2017-04-16 17:42:51,47.42838362338042
-0.686,-9.814,-0.084,3.0,2017-04-16 17:42:52,63.41176679799857
-0.715,-9.809,-0.074,3.0,2017-04-16 17:42:53,57.060240944131635
-0.7,-9.79,-0.107,3.0,2017-04-16 17:42:54,53.83397060991018
-0.7,-9.795,-0.084,3.0,2017-04-16 17:42:56,63.55679025074811
-0.7,-9.795,-0.046,3.0,2017-04-16 17:42:57,51.48504990280746
-0.734,-9.79,-0.031,3.0,2017-04-16 17:42:58,42.05777110799258
-0.667,-9.805,-0.065,3.0,2017-04-16 17:42:59,63.70457989100192
-0.653,-9.809,-0.036,3.0,2017-04-16 17:43:00,53.12991896678554
-0.662,-9.814,0.122,3.0,2017-04-16 17:43:01,64.03984971309237
-0.667,-9.8,0.093,3.0,2017-04-16 17:43:02,34.57339221713361
-0.643,-9.809,0.098,3.0,2017-04-16 17:43:03,56.822695871830206
-0.633,-9.819,0.079,3.0,2017-04-16 17:43:04,50.00092042438966
-0.662,-9.805,0.127,3.0,2017-04-16 17:43:05,57.105317982819805
-0.643,-9.805,0.108,3.0,2017-04-16 17:43:06,39.33223939926461
-0.653,-9.843,0.299,3.0,2017-04-16 17:43:07,33.93545128569201
-0.662,-9.79,0.184,3.0,2017-04-16 17:43:08,36.6424498894559
-0.643,-9.795,0.203,3.0,2017-04-16 17:43:09,39.87323368183442
-0.653,-9.805,0.222,3.0,2017-04-16 17:43:10,60.99126905411978
-0.648,-9.8,0.227,3.0,2017-04-16 17:43:11,52.54717994603582
-0.653,-9.805,0.237,3.0,2017-04-16 17:43:12,55.251956634766756
-0.662,-9.786,0.27,3.0,2017-04-16 17:43:13,61.390310937736984
-0.643,-9.8,0.246,3.0,2017-04-16 17:43:14,59.40291049060896
-0.662,-9.8,0.27,3.0,2017-04-16 17:43:16,64.74035229137189
-0.643,-9.781,0.28,3.0,2017-04-16 17:43:17,57.03080491449854
-0.633,-9.79,0.265,3.0,2017-04-16 17:43:18,54.81506309075592
-0.667,-9.776,0.265,3.0,2017-04-16 17:43:19,54.877715756695444
-0.657,-9.79,0.289,3.0,2017-04-16 17:43:20,36.18177100701566
-0.633,-9.79,0.285,3.0,2017-04-16 17:43:21,39.850582979120325
-0.662,-9.8,0.318,3.0,2017-04-16 17:43:22,60.490164116733126
-0.633,-9.795,0.289,3.0,2017-04-16 17:43:23,61.605926454838134
-0.667,-9.771,0.285,3.0,2017-04-16 17:43:24,61.63210696745339
-0.643,-9.786,0.313,3.0,2017-04-16 17:43:25,64.27588961536257
-0.633,-9.795,0.323,3.0,2017-04-16 17:43:26,54.77718191465962
-0.667,-9.79,0.328,3.0,2017-04-16 17:43:27,56.1528628058791
-0.643,-9.795,0.318,3.0,2017-04-16 17:43:28,43.92426387917445
-0.648,-9.795,0.318,3.0,2017-04-16 17:43:29,59.51804912876524
-0.662,-9.795,0.356,3.0,2017-04-16 17:43:30,62.62855461100475
-0.633,-9.79,0.356,3.0,2017-04-16 17:43:31,64.80626203875713
-0.633,-9.776,0.347,3.0,2017-04-16 17:43:32,59.629856913670345
-0.667,-9.79,0.342,3.0,2017-04-16 17:43:33,63.539110095158584
-0.643,-9.781,0.342,3.0,2017-04-16 17:43:34,57.89496320087123
-0.629,-9.795,0.337,3.0,2017-04-16 17:43:36,62.6070199732185
