ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
5.597045,0.43754035,8.407239,0.018936822,-0.004581489,-0.01160644,56.0,5.421771,0.49283087,8.156709,0.18604803,-0.06486732,0.26369858,0.24682556,-0.1522608,0.7659098,64.67674,27.757017,2017-05-27 18:42:04,65.45485903918386
5.629367,0.43275195,8.36175,0.02687807,0.009162978,-0.009468411,58.0,5.4181232,0.6447662,8.148534,0.20106792,-0.20722586,0.25212097,0.24936844,-0.14957355,0.7568981,64.67674,27.757017,2017-05-27 18:42:05,74.8835664787095
5.6000376,0.4249708,8.412027,0.03573562,-0.005192355,-0.005192355,54.0,5.412003,0.7103173,8.14715,0.1898303,-0.2841494,0.2385416,0.24942216,-0.14957398,0.74985224,64.67674,27.757017,2017-05-27 18:42:06,74.95686123630506
5.6096144,0.42437226,8.384495,0.020463986,0.008246681,-0.010995574,60.0,5.415092,0.7059183,8.14548,0.18733978,-0.2701736,0.27911663,0.24966283,-0.14960082,0.7504091,64.323074,27.616064,2017-05-27 18:42:07,73.92812997963895
5.6066217,0.4177882,8.371326,0.01863139,0.005192355,-0.0067195175,59.0,5.4049635,0.66309774,8.155799,0.20225668,-0.23812693,0.2221117,0.25048453,-0.14641036,0.7613687,64.323074,27.616064,2017-05-27 18:42:08,77.1563499869765
5.614403,0.4345476,8.43178,0.015882496,6.1086525E-4,-0.009773844,60.0,5.434956,0.5996189,8.140768,0.20757866,-0.16866261,0.26228142,0.2497553,-0.15019536,0.76076746,64.323074,27.616064,2017-05-27 18:42:09,73.36080946560458
5.599439,0.45310268,8.462306,0.046120327,0.04550946,-0.013744468,62.0,5.4249744,0.55441916,8.150623,0.17745733,-0.11328751,0.31407642,0.24777287,-0.15216862,0.76054615,63.581413,27.669733,2017-05-27 18:42:10,71.47455586570969
5.85502,0.40462008,8.292916,0.040317107,0.06078109,-0.025961773,97.0,5.677911,0.45780194,7.9826145,0.16513824,-0.07113835,0.2935419,0.25838104,-0.16249527,0.7631093,63.581413,27.669733,2017-05-27 18:42:11,77.42949985492311
5.8262897,0.42676646,8.318654,0.0290161,-0.024740042,-0.0027488936,57.0,5.63563,0.46919617,8.011861,0.18467426,-0.02327609,0.29721642,0.25706232,-0.15921286,0.7659712,63.581413,27.669733,2017-05-27 18:42:12,74.93679003064801
7.3460093,2.3463178,5.93762,-0.035430185,0.07849618,0.028405234,88.0,7.401837,2.4520907,5.947307,-0.100718975,0.017528296,0.03759861,0.3977701,-0.19724071,0.63649863,62.98325,27.669733,2017-05-27 18:42:13,74.38579817767037
9.198523,1.0821792,6.83365,-0.07513642,0.07422013,0.49938235,99.0,7.9244795,1.3318118,5.6213236,1.0561714,-0.40525573,1.2099323,0.39361835,-0.24253103,0.66408247,62.98325,27.669733,2017-05-27 18:42:14,74.20367784231651
6.906075,3.6499605,8.282143,0.6808093,1.563815,-0.13805555,99.0,8.06721,1.6267569,5.3333077,-1.1359963,2.1327384,2.4280958,0.4490435,-0.18006542,0.7354603,62.98325,27.669733,2017-05-27 18:42:15,74.52254598445981
5.8280854,1.91596,8.6496525,0.5540548,0.021685716,0.86101454,94.0,4.6073394,1.4704806,8.531149,1.1561027,0.44248664,0.06164074,0.25006533,0.04632075,0.9595424,61.997543,27.821629,2017-05-27 18:42:16,77.09794301936208
4.394557,1.3581109,9.192537,-1.0054842,0.20158553,0.035124753,134.0,4.559778,2.6819158,8.25749,-0.093993664,-0.6510341,0.28023338,-0.15802243,-0.23645091,-0.8683955,61.997543,27.821629,2017-05-27 18:42:17,71.75971276338456
4.257489,2.5929205,9.785102,-0.31520647,1.3213016,0.43676865,148.0,2.1001048,2.8281808,9.152122,1.5600309,-0.47946882,1.0010891,-0.0074225203,-0.1877869,-0.80133265,61.997543,27.821629,2017-05-27 18:42:18,70.30239692478116
2.5169046,0.107739076,9.425373,0.43096542,0.4175264,0.636827,87.0,2.7433496,0.86683255,9.375128,-0.3467536,-0.6339964,0.10531235,-0.107813105,-0.103821605,-0.88112086,61.318863,27.773745,2017-05-27 18:42:19,78.1156388038426
4.919486,0.8571242,13.387777,-0.5412266,-0.49846604,-0.07422013,114.0,3.723308,0.7471765,9.04152,2.0904121,-0.741191,3.2934074,-0.106093116,-0.16435513,-0.69386536,61.318863,27.773745,2017-05-27 18:42:20,73.42557211693185
1.389834,0.7428011,6.969521,0.3491095,-0.25686884,1.1676689,98.0,4.3106174,1.6335281,8.655665,-3.1691818,-1.2324994,-1.8465557,-0.036530375,-0.2377098,-0.48421723,61.318863,27.773745,2017-05-27 18:42:21,73.55043056247158
2.867655,-0.97862995,8.695142,0.3549127,0.22815818,0.7162395,125.0,4.3543024,0.9706097,8.733175,-1.3603532,-1.8965672,-0.2457304,-0.019304989,-0.23388849,-0.288504,60.306984,27.773745,2017-05-27 18:42:22,74.84262396527632
4.1718965,1.9620483,8.957307,-0.2764165,-0.37598756,0.68875057,110.0,4.18952,1.5944562,8.722157,0.005121708,0.44420648,0.21061039,0.07154761,-0.22276567,-0.06568691,60.306984,27.773745,2017-05-27 18:42:23,76.3624383982847
3.8612487,1.6807296,8.775947,0.4202753,0.20005837,1.1838568,114.0,3.1507537,2.6819773,8.891015,0.38009524,-1.6069807,-0.21502686,0.21368471,-0.028677952,0.6510737,59.684467,27.755304,2017-05-27 18:42:24,71.2763781761048
