ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.7718811,-0.5679016,9.610382,-8.8500977E-4,-0.001373291,-0.004211426,0.0,1.82159,-0.685794,9.611549,-0.043621182,0.11742842,4.4059753E-4,-0.09406036,-0.014503078,-0.89170086,2017-06-04 18:50:46,27.498316933959742
1.7567291,-0.550354,9.63829,-0.0010681152,-9.765625E-4,-0.0029907227,0.0,1.7711678,-0.57813996,9.628038,-0.020966768,0.018543601,0.009303093,-0.09297001,-0.015345885,-0.8878697,2017-06-04 18:50:47,34.655252844878376
1.7455597,-0.5535431,9.637497,-6.713867E-4,-0.0013885498,-0.0037994385,0.0,1.75573,-0.56163836,9.631841,-0.014333367,0.0029767752,0.0037736893,-0.09228992,-0.015266346,-0.8874644,2017-06-04 18:50:48,34.74263398136379
1.7475586,-0.54914856,9.641083,-0.0010681152,-0.0013885498,-0.0039978027,0.0,1.7495337,-0.55859005,9.633146,-0.0039589405,0.012872994,7.1525574E-5,-0.09197789,-0.015341997,-0.8876214,2017-06-04 18:50:49,33.41409791841899
1.7395782,-0.5567322,9.629517,-0.001083374,-9.765625E-4,-0.005218506,2.0,1.7468562,-0.55927664,9.633591,-0.0032799244,0.0049552917,-0.0061922073,-0.09185674,-0.015607347,-0.8849407,2017-06-04 18:50:50,36.18360950730547
1.7296143,-0.57069397,9.639481,-2.1362305E-4,3.3569336E-4,3.6621094E-4,2.0,1.7361726,-0.56480575,9.6352005,0.002081275,0.0032179356,0.001999855,-0.09173124,-0.015272227,-0.8827178,2017-06-04 18:50:51,37.40840274112228
1.730011,-0.565506,9.642288,-1.5258789E-5,-2.746582E-4,-6.5612793E-4,0.0,1.7249123,-0.5702284,9.636904,-1.9526482E-4,0.0031133294,-3.528595E-4,-0.09149559,-0.014049496,-0.8880633,2017-06-04 18:50:52,35.18615715720693
1.7192535,-0.58065796,9.639496,1.8310547E-4,-2.89917E-4,1.5258789E-4,0.0,1.7187712,-0.57539004,9.637694,3.3438206E-4,-0.004317999,0.0014543533,-0.091344036,-0.01319023,-0.88938916,2017-06-04 18:50:53,37.08809551474707
1.7132568,-0.5798645,9.638687,-2.1362305E-4,1.2207031E-4,-4.5776367E-4,0.0,1.7122347,-0.5793613,9.638618,-0.00613904,0.004358709,8.2969666E-4,-0.09116628,-0.013682574,-0.88511264,2017-06-04 18:50:54,38.93423724606946
1.709671,-0.5866394,9.644669,-1.5258789E-5,-2.89917E-4,-6.5612793E-4,0.0,1.7107557,-0.580398,9.63882,-9.070635E-4,-8.7469816E-4,-1.0681152E-4,-0.091144174,-0.012944865,-0.8899816,2017-06-04 18:50:55,39.82672049422226
1.7008972,-0.58465576,9.639496,-1.5258789E-5,-6.866455E-4,-2.4414062E-4,0.0,1.705118,-0.5812005,9.63977,-0.0020389557,-5.8054924E-5,-0.004673004,-0.090743884,-0.0135676665,-0.8849294,2017-06-04 18:50:56,46.022596360712186
1.7005005,-0.58465576,9.638687,-8.239746E-4,-2.89917E-4,1.5258789E-4,0.0,1.7013109,-0.5837659,9.640288,-0.0020159483,-0.005243838,-0.003238678,-0.09079974,-0.0126594845,-0.8884462,2017-06-04 18:50:57,33.01761233772166
1.6957092,-0.5766754,9.643875,-1.5258789E-5,-2.89917E-4,-6.5612793E-4,0.0,1.7005388,-0.5827114,9.640488,-0.0017170906,0.0057548285,-0.0018434525,-0.09067027,-0.012440318,-0.88967854,2017-06-04 18:50:58,35.20527541311101
1.6957092,-0.58743286,9.63829,-1.5258789E-5,-7.6293945E-5,3.6621094E-4,0.0,1.6976517,-0.58481395,9.640868,-0.001483798,-0.003337562,-0.0038490295,-0.09066919,-0.012588704,-0.8885136,2017-06-04 18:50:59,35.52485891252673
1.6889343,-0.57547,9.6414795,1.8310547E-4,3.3569336E-4,9.765625E-4,0.0,1.6922542,-0.5811936,9.642036,-0.011041164,0.008720219,-7.696152E-4,-0.09026236,-0.012927745,-0.8883282,2017-06-04 18:51:00,34.13330679214513
1.6845398,-0.5814514,9.6362915,-2.1362305E-4,-2.746582E-4,3.6621094E-4,0.0,1.6889105,-0.58002466,9.6426935,-0.008964539,0.005161524,-0.005487442,-0.089933656,-0.012577463,-0.8895507,2017-06-04 18:51:01,35.56557649209091
1.6813507,-0.57388306,9.639084,-4.119873E-4,-4.8828125E-4,5.645752E-4,0.0,1.6861185,-0.5800845,9.643179,-0.0026590824,0.003849566,-0.003950119,-0.08990904,-0.012392547,-0.89015305,2017-06-04 18:51:02,34.78502239424786
1.6973114,-0.58943176,9.646271,-1.5258789E-5,-7.6293945E-5,9.765625E-4,2.0,1.6851408,-0.58146596,9.643266,0.0053263903,-0.005163789,0.005821228,-0.08977914,-0.013264928,-0.88521445,2017-06-04 18:51:03,34.448619901791325
