ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
3.5529952,3.2273839,8.781932,25.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:16,65.50447993741113
3.5338416,3.2848446,8.839393,25.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:17,68.77530168203992
3.5817258,3.3997664,8.66701,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:18,66.11584990832223
3.3518825,3.2752678,8.858546,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:19,70.67037320725014
3.3423057,3.2752678,8.829816,22.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:20,66.56361700403104
2.5761611,3.217807,9.184157,25.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:21,66.83591051462243
1.982399,2.3080103,9.595961,17.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:22,65.93316380368235
2.1452048,2.135628,9.576807,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:23,55.51001059223079
2.3175871,2.2026656,9.452309,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:24,63.734014202923
3.2369606,1.9440918,9.260772,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:25,57.81797569381324
2.9113493,2.135628,9.212888,19.0,0.12258312,0.23154591,9.80665,0.0,0.0,0.36774936,2017-06-18 18:19:26,66.11445156336025
