ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.8425872,-0.77885133,12.637728,187.0,0.40727782,1.1659645,9.728568,0.63343674,-1.414032,1.578332,-0.015600772,-0.061136637,-0.99430114,2017-06-27 20:07:26,46.696670462192216
-7.2995787,3.2770875,8.177802,89.0,-4.817638,1.9388577,8.318748,-5.5490746,1.0830816,4.411151,0.23661675,-0.00258698,-0.9149595,2017-06-27 20:07:27,57.26418562124409
-0.8408844,4.3877287,-3.1667235,58.0,-3.682341,8.99506,1.3037078,0.3314767,1.5849714,-4.9197955,0.60730505,-0.101156406,-0.4308801,2017-06-27 20:07:28,49.340825714501236
5.559186,-1.7344635,-6.1387568,6.0,2.2472262,2.973549,-9.070743,2.7716162,-4.669443,-1.4624987,0.35073668,0.9087476,0.22206664,2017-06-27 20:07:29,50.40876258724049
4.906049,2.0303528,-8.276552,0.0,3.3627336,1.7403116,-9.0462,0.9963279,0.5007231,0.12404251,-0.14388837,-0.96980613,-0.11518806,2017-06-27 20:07:30,35.10276006139674
3.551541,1.3724854,-7.9153814,0.0,3.9454787,0.98891145,-8.92332,-1.0878534,0.66219604,1.0069437,0.24046029,-0.94717556,6.4378907E-4,2017-06-27 20:07:31,13.415890722762601
-9.904605,-3.315808,2.6428535,0.0,-6.072012,-6.9016476,-3.4158921,-3.850306,2.2696357,4.3673697,-0.71667117,-0.40067998,0.5382466,2017-06-27 20:07:32,46.078209196358806
-3.6151154,-7.212949,4.090313,19.0,-4.5885787,-7.730787,3.9179423,0.5078759,0.8872552,0.16260338,-0.4937943,0.23750311,0.072974935,2017-06-27 20:07:33,51.96571295130141
-8.8856535,-1.2325561,6.279836,21.0,-8.838805,-1.7896992,3.8526464,-3.5058346,1.5561208,-0.30584836,0.35753825,0.39283288,-0.6712667,2017-06-27 20:07:34,42.62195414086959
1.0901916,-0.091671765,9.787021,10.0,-1.4200746,-0.15523565,9.7020445,1.5375259,0.24848656,0.39038754,0.05432481,0.048807718,-0.8099217,2017-06-27 20:07:35,43.8870808881518
1.0854614,-0.09449464,9.788903,8.0,0.48258638,0.15111187,9.793603,0.12172747,0.014114246,0.02974987,-0.015989175,-0.020237535,-0.82580626,2017-06-27 20:07:36,55.13531373943905
