ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-30 20:36:40,-Infinity
-0.50757074,1.5610195,9.299079,-0.0036651916,-0.010995574,0.0,1.0,-0.5931,1.9483999,9.5928,0.0906,-0.324,0.099599995,-0.011689,0.104906,0.978317,2017-06-30 20:36:41,68.53909283611004
-0.545878,1.541866,9.32781,0.0,0.0012217305,0.0036651916,0.0,-0.5078,1.6740999,9.6493,-0.0078,-0.0704,0.119899996,-0.010838,0.088898,0.98108,2017-06-30 20:36:42,76.28601646255079
-0.51714754,1.5514427,9.299079,0.0036651916,-0.004886922,0.002443461,0.0,-0.4752,1.6208,9.66,-0.058399998,0.0095999995,0.1195,-0.011011,0.085737,0.983927,2017-06-30 20:36:43,75.19524733457901
-0.4405331,1.5227122,9.260772,-0.0012217305,-0.0012217305,0.0036651916,0.0,-0.4881,1.6051999,9.662,-0.0616,0.0327,0.19649999,-0.012275,0.085127,0.984475,2017-06-30 20:36:44,72.78805466438543
-0.48841715,1.5514427,9.308656,0.0012217305,0.0012217305,0.004886922,1.0,-0.49989998,1.6029999,9.661799,-0.015299999,0.0363,0.0982,-0.012607,0.085003,0.984348,2017-06-30 20:36:45,75.07821749514599
-0.50757074,1.5514427,9.3182335,-0.0012217305,-0.0061086523,0.002443461,1.0,-0.514,1.5939,9.662499,-0.0056,0.016099999,0.0212,-0.013285,0.084667,0.984172,2017-06-30 20:36:46,71.43204595650457
-0.50757074,1.5610195,9.346964,-0.0036651916,0.004886922,0.0036651916,1.0,-0.534,1.5963999,9.660999,0.0477,0.024799999,0.0521,-0.01433,0.084962,0.98375,2017-06-30 20:36:47,77.81075624463034
-0.5363012,1.5801731,9.279925,-0.0036651916,-0.0061086523,0.0036651916,1.0,-0.4865,1.6064,9.6619,-0.061699998,0.0309,-0.0169,-0.012036,0.08518,0.984634,2017-06-30 20:36:48,77.20298564357113
-0.5267244,1.5610195,9.299079,0.002443461,-0.0012217305,0.0,1.0,-0.524,1.5855,9.6634,-0.0156,0.033999998,8.0E-4,-0.013837,0.084325,0.984152,2017-06-30 20:36:49,73.53951667238663
-0.49799395,1.5514427,9.155427,0.0,-0.007330383,0.0036651916,1.0,-0.4976,1.602,9.6621,-0.0356,0.018299999,-0.1349,-0.012865,0.084954,0.98449,2017-06-30 20:36:50,71.56301113299833
-0.49799395,1.5610195,9.32781,0.0,-0.007330383,0.0036651916,1.0,-0.4829,1.6037999,9.662499,-0.0061,0.0066,-0.0081,-0.012097,0.084855,0.984999,2017-06-30 20:36:51,75.04120877022274
-0.50757074,1.5610195,9.241618,0.0,-0.0036651916,0.0036651916,1.0,-0.5223,1.5981,9.6614,1.0E-4,0.0288,-0.0142,-0.014101,0.084881,0.98491,2017-06-30 20:36:52,72.21527759547625
-0.46926352,1.541866,9.299079,0.0012217305,-0.0012217305,0.0036651916,1.0,-0.52669996,1.5978999,9.6612,-0.012999999,0.0585,-0.0139,-0.014132,0.084968,0.984347,2017-06-30 20:36:53,73.33649724441658
-0.47884035,1.5514427,9.308656,0.0,-0.0061086523,0.0036651916,1.0,-0.5075,1.602,9.6615,-0.0042,0.0055,0.0738,-0.012965,0.085016,0.984276,2017-06-30 20:36:54,67.84680511997092
-0.49799395,1.541866,9.289502,-0.002443461,-0.0061086523,0.0061086523,1.0,-0.52669996,1.6077,9.659599,0.016099999,-0.0064,-0.0018,-0.013773,0.085484,0.984016,2017-06-30 20:36:55,67.10295469484409
-0.48841715,1.541866,9.308656,-0.0036651916,-0.0036651916,0.0061086523,1.0,-0.505,1.6048,9.6612,-0.0029,0.0157,0.1143,-0.01299,0.085155,0.984423,2017-06-30 20:36:56,73.81147049526695
-0.51714754,1.5227122,9.308656,-0.002443461,-0.0012217305,-0.0012217305,1.0,-0.49879998,1.6104,9.6606,-0.04,0.030199999,0.095199995,-0.012809,0.085324,0.984881,2017-06-30 20:36:57,77.64210242871063
-0.5267244,1.5610195,9.346964,0.0,-0.008552114,0.002443461,1.0,-0.52739996,1.6013,9.6606,-0.009699999,0.039899997,0.046099998,-0.013819,0.085168,0.983676,2017-06-30 20:36:58,74.51749571728993
-0.48841715,1.5610195,9.3182335,0.0,-0.0036651916,0.002443461,1.0,-0.4777,1.6146,9.660999,-0.0211,0.0064999997,0.0262,-0.011456,0.085407,0.98443997,2017-06-30 20:36:59,73.5981007151708
