ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.3287168,8.350976,-1.532289,3.0,1.4470999,9.1396,-3.247,2.6323,-0.1959,1.0896,0.647349,-0.485684,-0.266498,2017-07-06 22:47:41,53.703043318602
5.899313,7.0485296,-0.9959879,1.0,5.8707,7.7750998,-1.1184,-0.22209999,-0.67509997,-0.0583,0.507666,-0.544185,-0.104726,2017-07-06 22:47:42,58.84501428294173
8.0445175,4.6351743,-0.6512229,1.0,7.9765997,5.5102997,-1.4764999,0.3786,-0.76379997,0.88809997,0.39678898,-0.646406,-0.035172,2017-07-06 22:47:43,52.60693261027329
7.929596,4.55856,-2.030283,3.0,8.1151,5.0162997,-2.2695,0.1616,-0.5053,0.3866,0.386515,-0.681895,-0.022966,2017-07-06 22:47:44,55.59928488760296
7.469909,4.55856,-1.8387469,1.0,8.1977,4.8115997,-2.4115,-0.47,-0.0652,0.5679,0.371723,-0.695751,-0.024626,2017-07-06 22:47:45,53.34434263382463
7.5848308,4.55856,-2.336741,3.0,8.0332,4.9175,-2.7305,-0.3055,-0.2103,-0.0938,0.384296,-0.701094,-0.028755,2017-07-06 22:47:46,57.67712347084039
7.5465236,4.405331,-2.566584,1.0,7.8968997,4.6886997,-3.4385998,-0.1692,-0.1777,-0.0132,0.410803,-0.711733,-0.007028,2017-07-06 22:47:47,61.93949412598723
7.5082164,4.5202527,-2.2601264,1.0,8.0625,4.7804,-2.8832998,-0.3741,-0.1516,0.412,0.404443,-0.694258,-0.004376,2017-07-06 22:47:48,63.326519852991964
7.6231384,4.367024,-2.7581203,1.0,8.098599,4.7123,-2.8941,-0.4102,-0.2013,0.030499998,0.398683,-0.698994,-0.0046779998,2017-07-06 22:47:49,60.526438319236476
7.431602,4.4819455,-3.1794999,1.0,8.0506,4.7759,-2.9236,-0.20529999,-0.22559999,0.0993,0.399218,-0.700208,-0.009907,2017-07-06 22:47:50,57.34652169109491
7.699753,4.1371803,-2.7581203,1.0,8.1491995,4.6296997,-2.8853998,-0.1078,-0.4324,0.1003,0.380589,-0.706955,-0.011872,2017-07-06 22:47:51,59.38533346699358
8.274361,3.371036,-3.217807,3.0,8.6214,3.7998,-2.7207,-0.3053,-0.3479,-0.37809998,0.333737,-0.726181,0.009411,2017-07-06 22:47:52,53.55849532760022
8.465898,3.0262709,-2.183512,3.0,8.9798,3.4387,-1.9255999,-0.4676,-0.4183,-1.2909,0.312106,-0.707651,0.031467,2017-07-06 22:47:53,57.59550280132177
8.082825,3.7541082,-2.0685902,3.0,8.7569,3.9810998,-1.907,-0.59779996,-0.0977,-0.2504,0.299217,-0.713369,-0.018334,2017-07-06 22:47:54,56.49275420629575
8.0445175,4.1371803,-2.2218192,3.0,8.6207,4.1401997,-2.1706998,-0.42229998,-0.060599998,-0.1828,0.300429,-0.721346,-0.033834,2017-07-06 22:47:55,56.131905343089905
8.082825,4.060566,-1.9153614,3.0,8.564199,4.2051,-2.2672,-0.3266,-0.1255,0.1881,0.304771,-0.722986,-0.035623,2017-07-06 22:47:56,59.675127951274405
8.0445175,3.9839516,-1.6472107,3.0,8.5676,4.2748,-2.1194,-0.2908,-0.1952,-0.038,0.306607,-0.717444,-0.037322,2017-07-06 22:47:57,55.18865808190685
8.0445175,3.9073372,-2.2218192,3.0,8.654699,4.1668997,-1.9754,-0.2602,-0.205,-0.4565,0.304047,-0.712862,-0.028486,2017-07-06 22:47:58,54.16380362339318
7.776367,4.3287168,-1.7621324,3.0,8.387199,4.5898,-2.1811,-0.4242,-0.19649999,0.259,0.316952,-0.714888,-0.051672,2017-07-06 22:47:59,55.7639718679242
7.699753,4.4436383,-2.1452048,3.0,8.3126,4.8149,-1.9715999,-0.3888,-0.343,-0.1857,0.31699198,-0.707137,-0.065354,2017-07-06 22:48:00,56.67945284205076
7.699753,4.5202527,-2.4133554,3.0,8.2923,4.7946,-2.1021,-0.44689998,-0.32279998,-1.0359,0.320603,-0.711748,-0.063043,2017-07-06 22:48:01,49.61814576712362
7.8529816,4.367024,-2.2984335,3.0,8.333099,4.6969,-2.1605,-0.33089998,-0.225,-0.0361,0.320255,-0.712155,-0.056472998,2017-07-06 22:48:02,55.65379894296928
