ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.8635406,1.2356415,9.06134,-0.50575256,0.066970825,-1.3257141,14.0,35.002136,3.1806667,-0.5815539,9.258269,-0.2919538,1.8125929,-0.12365723,-0.08688115,-0.14286822,-0.35240886,2017-07-19 18:35:33,52.302640301160814
3.5303955,-0.4118805,8.786758,-0.055664063,-0.17601013,-0.19432068,20.0,35.102142,2.7171319,-0.6662871,9.39913,0.8467603,0.2461927,-0.49650002,-0.12150671,-0.07754913,-0.68335205,2017-07-19 18:35:34,45.54088929044362
1.9024963,-0.15690613,8.2964325,0.14381409,0.04736328,0.27540588,31.0,35.102142,2.936571,-0.6814254,9.331806,-1.016346,0.52040535,-0.9790354,-0.11643298,-0.1032167,-0.57193303,2017-07-19 18:35:35,36.58174624115431
1.3729248,-1.7455902,9.237869,-0.63153076,0.6904907,0.4083252,27.0,35.102142,2.4423044,-1.2878954,9.409934,-1.048816,-0.46853852,-0.09283543,-0.09210122,-0.10837089,-0.2151888,2017-07-19 18:35:36,26.96079587088425
2.294754,1.0787354,10.277374,0.31394958,-0.04547119,-0.8864441,21.0,35.20215,3.370103,-1.2858026,9.119184,-1.0799847,2.3663068,1.145647,-0.06033504,-0.17723073,0.035708554,2017-07-19 18:35:37,29.58036022966391
1.2944794,-2.902771,8.021835,0.44924927,0.058547974,1.2004395,30.0,35.20215,5.005014,-2.4736872,8.0623255,-3.673575,-0.44735098,0.019046783,0.21586871,-0.20575835,0.91118807,2017-07-19 18:35:38,52.864726095276794
0.823761,-2.510498,9.728195,0.14253235,0.0693512,0.075286865,24.0,35.20215,0.49290162,-1.7456404,9.637436,0.33124864,-0.7662363,0.09837055,9.1398327E-4,-0.09287992,0.9608272,2017-07-19 18:35:39,29.295211006311042
0.17651367,-2.07901,9.571289,-0.0027160645,-0.0051116943,0.0010223389,23.0,35.302155,0.31389073,-1.9233358,9.611069,-0.13733429,-0.15593624,-0.03847027,-0.0119970115,-0.09913605,0.955643,2017-07-19 18:35:40,46.04076873779667
0.05883789,-2.137848,9.64975,-0.005340576,-0.006210327,0.0016326904,26.0,35.302155,0.16908516,-2.1115327,9.575136,-0.1102197,-0.026659489,0.076174736,-0.026486032,-0.10536808,0.94166875,2017-07-19 18:35:41,23.519210584853056
0.17651367,-2.1182404,9.512451,-0.002532959,-0.008834839,9.613037E-4,26.0,35.302155,0.15602732,-2.1227202,9.572884,0.02073048,0.0011584759,-0.045454025,-0.030614587,-0.10479275,0.9311385,2017-07-19 18:35:42,29.325382360485218
0.13729858,-2.1182404,9.590897,-0.004852295,-0.0060272217,9.0026855E-4,26.0,35.40216,0.14084624,-2.115987,9.57461,-0.004057348,0.0054039955,-0.018361092,-0.031159932,-0.10421053,0.9313861,2017-07-19 18:35:43,23.86082604308967
0.13729858,-2.0594025,9.512451,-0.0018005371,-0.007675171,-1.5258789E-5,26.0,35.40216,0.13308577,-2.1223044,9.573322,0.0040913075,0.0648396,-0.069610596,-0.031564754,-0.104403436,0.9316291,2017-07-19 18:35:44,23.464100289117326
0.15690613,-1.9809418,9.630127,-0.0051574707,-0.0068206787,0.0024261475,26.0,35.40216,0.15653421,-2.1022727,9.577387,-1.026392E-4,0.12770438,0.023704529,-0.030328527,-0.10377557,0.93088096,2017-07-19 18:35:45,24.98528795113337
0.15690613,-2.07901,9.512451,-0.0035705566,-0.0051116943,0.0012054443,26.0,35.40216,0.16740282,-2.1188622,9.573545,-0.010676652,0.042129993,-0.07138634,-0.030090958,-0.10478325,0.9308462,2017-07-19 18:35:46,23.7322626201362
0.09806824,-2.1182404,9.590897,-0.0063171387,-0.0040740967,6.5612793E-4,26.0,35.40216,0.14480783,-2.1331918,9.570732,-0.047027484,0.019192457,0.0011367798,-0.031216787,-0.10513796,0.9315052,2017-07-19 18:35:47,24.6211711323988
0.07846069,-2.0594025,9.610519,-0.0025939941,-0.0074310303,0.0016937256,26.0,35.502167,0.14011116,-2.0803387,9.582429,-0.06164436,0.020845652,0.028508186,-0.03072796,-0.10241038,0.9309693,2017-07-19 18:35:48,24.7620646397335
0.15690613,-2.07901,9.64975,-2.746582E-4,-0.0048065186,0.0015716553,26.0,35.502167,0.1569807,-2.0969305,9.57855,-7.6040626E-5,0.017940283,0.07110882,-0.030240467,-0.10351506,0.9308062,2017-07-19 18:35:49,25.920402090006142
0.15690613,-2.020172,9.571289,-0.0049743652,-0.004562378,0.0024871826,26.0,35.502167,0.14514048,-2.0879018,9.580709,0.012122259,0.06259966,0.014120102,-0.030616676,-0.102870815,0.9309529,2017-07-19 18:35:50,26.810225271057906
