ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
4.9703627,-8.149862,1.8004397,0.0,6.238119,-7.2460246,2.1520147,-1.3620348,-0.83084124,-0.61291564,2016-11-08 00:24:21,42.49631671030638
5.104438,-7.9870567,1.9057846,0.0,5.09401,-8.172209,1.838747,-0.14982383,-0.05448139,-0.068101734,2016-11-08 00:24:22,21.36229925675628
4.7884035,-8.207323,1.6567876,0.0,4.985047,-8.253931,1.7842655,0.0,0.14982383,0.013620348,2016-11-08 00:24:23,20.359485301836333
4.8937483,-8.1881695,1.7812861,0.0,4.971427,-8.253931,1.7706451,0.027240695,0.16344418,0.0,2016-11-08 00:24:24,20.77929716869287
5.0374002,-8.121132,1.8866309,0.0,4.971427,-8.253931,1.7842655,0.027240695,0.17706451,0.068101734,2016-11-08 00:24:25,20.652645221600437
4.865018,-8.1881695,1.7046716,0.0,4.9578066,-8.267551,1.7570248,0.0,0.16344418,0.068101734,2016-11-08 00:24:26,20.473661472700172
4.817134,-8.264784,1.7429788,0.0,4.944186,-8.281172,1.7434045,-0.13620347,0.12258312,-0.12258312,2016-11-08 00:24:27,20.204972373929017
4.8745947,-8.082825,1.6184803,0.0,4.9578066,-8.267551,1.7706451,0.0,0.095342435,0.095342435,2016-11-08 00:24:29,20.17418135341829
5.133168,-8.025364,1.8962077,0.0,4.9986672,-8.240311,1.7842655,0.10896278,0.21792556,-0.068101734,2016-11-08 00:24:30,19.70651914425819
5.5258174,-7.929596,1.5897499,0.0,5.2438335,-8.090487,1.7297841,0.17706451,0.28602728,-0.05448139,2016-11-08 00:24:31,21.331095909399018
5.363012,-7.881712,1.5897499,0.0,5.4208984,-7.9951434,1.6616825,-0.013620348,0.10896278,-0.068101734,2016-11-08 00:24:32,20.192331601972775
5.449203,-7.8529816,1.6280571,0.0,5.4890003,-7.9542828,1.6344416,-0.027240695,0.12258312,0.027240695,2016-11-08 00:24:33,21.385543186534886
5.4204726,-7.9104424,1.6280571,0.0,5.529861,-7.927042,1.6344416,-0.068101734,0.068101734,-0.05448139,2016-11-08 00:24:34,20.728241030570572
6.090849,-7.489063,0.29688102,0.0,5.570722,-7.9406624,1.3892754,0.51757324,0.31326798,-1.2394516,2016-11-08 00:24:35,21.91437914168319
6.081272,-7.603985,0.38307226,0.0,5.9929533,-7.736357,0.50395286,0.05448139,0.16344418,-0.095342435,2016-11-08 00:24:36,20.276044006725918
6.0238113,-7.603985,0.4213795,0.0,6.115536,-7.641015,0.35412902,-0.10896278,0.027240695,0.08172209,2016-11-08 00:24:37,19.09505884588153
5.6120086,-7.517793,2.27928,0.0,6.0610547,-7.668256,0.58567494,-0.27240694,-0.013620348,1.4301364,2016-11-08 00:24:38,20.14356439788299
5.363012,-7.7093296,2.4420857,0.0,5.720546,-7.7499776,1.7978858,-0.31326798,0.027240695,0.5448139,2016-11-08 00:24:39,20.370465731586364
5.592855,-7.833828,1.6184803,0.0,5.4208984,-7.7908387,2.4380422,0.25878662,-0.013620348,-0.95342433,2016-11-08 00:24:40,20.258240974110908
5.3342814,-7.824251,1.982399,0.0,5.529861,-7.8453197,1.9613299,-0.068101734,0.068101734,-0.13620347,2016-11-08 00:24:41,19.12429652296401
5.544971,-7.7189064,1.8674773,0.0,5.5434813,-7.8453197,1.920469,-0.013620348,0.13620347,0.0,2016-11-08 00:24:42,20.608217382239133
5.659893,-7.7093296,1.8387469,0.0,5.529861,-7.8453197,2.002191,0.095342435,0.05448139,-0.2043052,2016-11-08 00:24:43,19.891298748875712
5.6407394,-7.680599,1.9153614,0.0,5.6796846,-7.763598,1.838747,-0.013620348,0.040861044,0.095342435,2016-11-08 00:24:44,20.948094704890224
5.717354,-7.6614456,1.8770541,0.0,5.693305,-7.736357,1.9068487,-0.013620348,0.068101734,0.2043052,2016-11-08 00:24:45,21.3029858117405
5.353435,-7.7667904,3.2561142,0.0,5.5162406,-7.7908387,2.233737,1.5527196,-0.83084124,-0.14982383,2016-11-08 00:24:46,20.319762107682607
5.535394,-7.422025,2.6048915,0.0,5.611583,-7.600154,2.6014864,-0.53119355,-0.51757324,-1.2394516,2016-11-08 00:24:47,19.570233263868847
8.073248,-4.8937483,0.2777274,0.0,6.1291566,-7.232404,2.4789033,1.648062,1.334794,-1.1985906,2016-11-08 00:24:48,20.450783747351878
-2.815581,9.864111,-1.7812861,0.0,9.00305,-3.759216,0.91256326,-8.131348,14.437568,-2.3971813,2016-11-08 00:24:49,31.861203156742373
-0.21068975,8.025364,4.232949,0.0,2.0566726,9.39804,1.9340893,-2.8875136,-1.5118586,2.3018386,2016-11-08 00:24:50,28.710910918027768
0.8331822,9.739613,1.5705963,0.0,-0.32688835,8.621679,4.6853995,0.83084124,0.6537767,-3.568531,2016-11-08 00:24:52,23.881372950242586
-0.80445176,9.461885,0.047884032,0.0,0.99428535,9.384419,2.6832085,-1.3484143,0.4086104,-2.1383946,2016-11-08 00:24:53,43.161867831185035
5.305551,4.175488,9.193734,0.0,0.4086104,9.752169,0.96704465,4.807983,-4.807983,6.769313,2016-11-08 00:24:54,32.498977878837394
2.920926,4.050989,8.561666,0.0,2.9964767,6.5105257,6.701211,-0.027240695,-2.6423473,1.8251265,2016-11-08 00:24:55,23.381077227061127
-0.9959879,8.303091,1.283292,0.0,2.9283745,4.2495484,8.349273,-3.445948,3.6638737,-3.7319753,2016-11-08 00:24:56,24.53002826743722
-1.6567876,6.244078,-6.9527617,0.0,-0.027240695,9.139253,3.5957716,-2.3018386,-1.6344416,-9.507003,2016-11-08 00:24:57,21.803006406558772
-0.41180268,-0.30645782,-10.0269165,0.0,-2.1383946,6.701211,-6.8374147,1.4301364,-6.5786276,-3.050958,2016-11-08 00:24:58,25.32674772268436
3.1411927,-1.5131354,-9.241618,0.0,-0.38136974,0.5448139,-9.779409,2.315459,-2.6014864,0.05448139,2016-11-08 00:24:59,21.095258175863147
4.9320555,-0.40222588,-8.169016,0.0,2.2201166,-0.8580819,-9.507003,1.8115062,0.87170225,0.8172208,2016-11-08 00:25:00,30.200361134898493
6.933608,-3.5338416,-6.4739213,0.0,5.257454,-1.1577295,-8.185829,1.5935806,-1.484618,1.9885707,2016-11-08 00:25:01,22.157366759413463
6.885724,-2.6048915,-6.5696893,0.0,6.973618,-2.669588,-6.3470817,0.2043052,0.10896278,0.21792556,2016-11-08 00:25:02,19.64429059227397
6.885724,-2.719813,-6.531382,0.0,6.9191365,-2.6832085,-6.387943,-0.7763598,0.08172209,-0.74911916,2016-11-08 00:25:03,19.73928423239442
8.236053,-1.2641385,-5.2289367,0.0,6.592248,-2.3563201,-6.851035,1.4165161,0.98066497,1.3075534,2016-11-08 00:25:04,21.32309729799095
8.504205,-0.19153613,-4.7022123,0.0,7.967903,-1.1304889,-5.5843425,0.6537767,1.0760074,1.0351465,2016-11-08 00:25:05,20.35573561905779
8.781932,-0.15322891,-4.060566,0.0,8.621679,-0.28602728,-4.6445384,0.14982383,0.095342435,0.38136974,2016-11-08 00:25:06,20.946839873301613
8.66701,-0.4213795,-4.510676,0.0,8.717022,-0.32688835,-4.4538536,-0.095342435,-0.14982383,-0.13620347,2016-11-08 00:25:07,19.412862144221332
8.274361,-1.1587936,-5.209783,0.0,8.703402,-0.43585113,-4.4810944,0.013620348,-0.50395286,0.040861044,2016-11-08 00:25:08,21.84047850640281
7.8050976,-1.4460979,-5.21936,0.0,8.308412,-0.98066497,-5.09401,-0.57205456,-1.1168685,-0.6946377,2016-11-08 00:25:09,21.211852555202817
8.169016,-0.9959879,-4.8745947,0.0,8.036005,-1.5935806,-5.366417,0.05448139,0.21792556,0.29964766,2016-11-08 00:25:11,21.078139143996367
8.561666,-1.283292,-4.7309427,0.0,8.294791,-1.4709975,-4.9986672,0.12258312,0.3405087,0.2043052,2016-11-08 00:25:12,20.044758755836696
