ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
1.944,0.766,10.668,78.0,2016-11-11 11:42:28,-Infinity
-2.921,-0.804,9.941,80.0,2016-11-11 11:42:29,-Infinity
0.986,-0.612,10.132,29.0,2016-11-11 11:42:30,-Infinity
1.063,-0.459,9.787,25.0,2016-11-11 11:42:31,-Infinity
1.063,-0.574,9.021,26.0,2016-11-11 11:42:32,-Infinity
1.101,-0.229,9.864,28.0,2016-11-11 11:42:33,-Infinity
1.101,-0.344,9.711,28.0,2016-11-11 11:42:34,-Infinity
1.177,-0.191,9.787,26.0,2016-11-11 11:42:35,-Infinity
1.101,-0.268,9.826,28.0,2016-11-11 11:42:36,-Infinity
1.139,-0.344,10.094,25.0,2016-11-11 11:42:37,-Infinity
1.216,-0.306,9.519,26.0,2016-11-11 11:42:38,-Infinity
1.216,-0.344,10.056,26.0,2016-11-11 11:42:39,-Infinity
1.139,-0.344,9.864,26.0,2016-11-11 11:42:40,-Infinity
1.369,-0.076,11.243,26.0,2016-11-11 11:42:41,-Infinity
1.139,-0.383,9.787,25.0,2016-11-11 11:42:42,-Infinity
1.177,-0.344,10.17,25.0,2016-11-11 11:42:43,-Infinity
1.177,-0.306,9.826,25.0,2016-11-11 11:42:44,-Infinity
1.254,-0.268,10.247,25.0,2016-11-11 11:42:45,-Infinity
1.177,-0.268,9.787,25.0,2016-11-11 11:42:46,-Infinity
1.216,-0.344,9.902,25.0,2016-11-11 11:42:47,-Infinity
1.139,-0.421,9.826,25.0,2016-11-11 11:42:48,-Infinity
1.101,-0.344,9.596,25.0,2016-11-11 11:42:49,-Infinity
1.177,-0.383,9.826,25.0,2016-11-11 11:42:50,-Infinity
1.216,-0.268,10.132,25.0,2016-11-11 11:42:51,-Infinity
1.216,-0.344,9.864,25.0,2016-11-11 11:42:52,-Infinity
1.139,-0.459,9.711,25.0,2016-11-11 11:42:53,-Infinity
1.139,-0.383,9.443,25.0,2016-11-11 11:42:54,-Infinity
1.024,-0.344,9.979,25.0,2016-11-11 11:42:55,-Infinity
1.216,-0.306,9.902,25.0,2016-11-11 11:42:56,-Infinity
1.331,-0.344,10.056,25.0,2016-11-11 11:42:57,-Infinity
1.063,-0.498,9.596,28.0,2016-11-11 11:42:58,-Infinity
1.101,-0.536,9.902,29.0,2016-11-11 11:42:59,-Infinity
1.216,-0.383,9.672,70.0,2016-11-11 11:43:00,-Infinity
1.407,-0.651,10.094,84.0,2016-11-11 11:43:01,-Infinity
1.216,-1.11,9.596,41.0,2016-11-11 11:43:02,-Infinity
2.901,-1.953,14.155,85.0,2016-11-11 11:43:03,-Infinity
1.637,-0.383,10.362,56.0,2016-11-11 11:43:04,-Infinity
4.357,-5.631,0.938,26.0,2016-11-11 11:43:05,-Infinity
7.805,-4.941,1.551,60.0,2016-11-11 11:43:06,-Infinity
7.92,-3.677,1.781,75.0,2016-11-11 11:43:07,-Infinity
8.954,-3.179,1.589,75.0,2016-11-11 11:43:08,-Infinity
9.031,-3.064,1.359,72.0,2016-11-11 11:43:09,-Infinity
9.069,-3.141,1.283,67.0,2016-11-11 11:43:10,-Infinity
9.031,-2.949,1.245,72.0,2016-11-11 11:43:11,-Infinity
8.954,-3.409,2.47,75.0,2016-11-11 11:43:12,-Infinity
7.115,-4.597,3.811,64.0,2016-11-11 11:43:13,-Infinity
8.724,-2.796,3.237,75.0,2016-11-11 11:43:14,-Infinity
7.269,-1.838,5.114,115.0,2016-11-11 11:43:15,-Infinity
6.502,7.048,3.16,105.0,2016-11-11 11:43:16,-Infinity
5.506,7.7,2.892,91.0,2016-11-11 11:43:17,-Infinity
6.119,7.202,2.93,106.0,2016-11-11 11:43:18,-Infinity
6.349,6.933,3.045,106.0,2016-11-11 11:43:19,-Infinity
6.081,7.202,2.968,108.0,2016-11-11 11:43:21,-Infinity
6.004,7.24,2.853,105.0,2016-11-11 11:43:22,-Infinity
5.928,7.508,2.892,102.0,2016-11-11 11:43:23,-Infinity
5.736,7.546,2.93,107.0,2016-11-11 11:43:24,-Infinity
5.851,9.194,2.777,92.0,2016-11-11 11:43:25,-Infinity
5.238,8.044,2.432,97.0,2016-11-11 11:43:26,-Infinity
