ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046758726,0.3142035,0.9473798,2016-11-22 09:23:43,25.44041384830578
4.962,2.076,7.826,-0.31449893,0.30383795,0.30383795,225.0,6.0960555,2.7036693,7.1901774,0.13357306,-0.22368407,1.1545877,-0.2394648,-0.2788051,-0.84396464,2016-11-22 09:23:44,48.187883784375614
5.809,2.747,6.957,0.09808102,-0.019189766,-0.014925373,225.0,6.238185,3.0890625,6.9074683,-0.23427391,-0.24030256,-0.1112628,-0.23493326,-0.30520958,-0.82862175,2016-11-22 09:23:45,76.11389867047274
5.661,2.221,7.555,-0.013859275,-0.054371003,-0.02238806,120.0,6.0741076,2.6218474,7.23889,-0.1289382,-0.2485857,-0.1294527,-0.23793359,-0.27235022,-0.8410221,2016-11-22 09:23:46,72.01516751870389
5.719,2.012,7.458,-0.012793177,0.0,0.06609808,80.0,6.027561,2.2638123,7.396893,-0.15905714,-0.12565613,-0.274086,-0.24357751,-0.25205824,-0.846057,2016-11-22 09:23:47,51.866550895572125
6.255,2.697,6.912,0.16950959,-0.17803837,-0.08422175,80.0,6.3359985,2.6267476,7.0089717,0.05563879,0.17759514,-0.37518024,-0.25113186,-0.28208977,-0.83360213,2016-11-22 09:23:48,78.51765737233855
5.731,2.103,7.72,-0.010660981,-0.018123668,-0.03304904,80.0,6.0882583,2.2619505,7.347591,-0.1658845,-0.0124640465,-0.1786952,-0.24955562,-0.2511955,-0.84892225,2016-11-22 09:23:49,78.4784985847642
5.78,2.111,7.507,0.008528785,-0.01705757,0.012793177,80.0,6.097075,2.2473896,7.3447475,-0.2423377,-0.023640633,-0.07649279,-0.24994718,-0.25089702,-0.84837383,2016-11-22 09:23:50,77.57171407425236
5.392,1.892,7.901,-0.13326226,0.09914712,-0.0074626864,80.0,5.981298,2.143518,7.469927,-0.18102837,-0.02930379,-0.3303604,-0.24603885,-0.23972405,-0.8521082,2016-11-22 09:23:51,51.62460377792128
5.464,1.972,8.04,0.023454158,0.0010660981,0.021321962,80.0,5.68718,2.0436213,7.72334,-0.111367226,0.1406231,-0.1971097,-0.23369206,-0.22624825,-0.86086947,2016-11-22 09:23:52,71.27274308887486
5.214,1.726,7.895,-0.051172707,0.030916844,-0.021321962,80.0,5.4713936,1.9052944,7.9122753,-0.063773155,-0.056238174,-0.38484812,-0.22595209,-0.21333306,-0.8681746,2016-11-22 09:23:53,81.70731899534587
